programm_id,nische,brand_haendler,url_programm,netzwerk,zielmarkt,provision,provision_datenqualitaet,cookie_dauer,cookie_datenqualitaet,aov_bekannt,social_media_erlaubt,instagram_erlaubt,deep_links,produktfeed_api,internationale_lieferung,besonderheiten,quelle_url,pruefdatum,quelle_datei
P-A037,Amazon (alle),Amazon DE – Bekleidung & Accessoires / Amazon Fashion Eigenmarken 6%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),6%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A038,Amazon (alle),Amazon DE – Luxus / Luxus Beauty Stores / Luxus Fashion Stores 6%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),6%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A039,Amazon (alle),"Amazon DE – Schuhe, Handtaschen & Geldbörsen 6%",https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),6%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A040,Amazon (alle),Amazon DE – Uhren 6%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),6%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A041,Amazon (alle),Amazon DE – Möbel 5%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),5%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A042,Amazon (alle),Amazon DE – Wohnen 5%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),5%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A043,Amazon (alle),Amazon DE – Küche & Esszimmer 5%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),5%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A044,Amazon (alle),Amazon DE – Baumarkt 5%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),5%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A045,Amazon (alle),Amazon DE – Elektro- & Handwerkzeuge 5%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),5%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A046,Amazon (alle),Amazon DE – Schmuck 5%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),5%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A047,Amazon (alle),Amazon DE – Auto & Motorrad 5%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),5%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A048,Amazon (alle),Amazon DE – Bücher / Kindle eBooks 5%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),5%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A049,Amazon (alle),Amazon DE – Handmade 5%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),5%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A050,Amazon (alle),Amazon DE – Beauty 4%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),4%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A051,Amazon (alle),Amazon DE – Gepäck 4%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),4%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A052,Amazon (alle),Amazon DE – Körperpflegegeräte 4%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),4%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A053,Amazon (alle),Amazon DE – Sport & Fitness 4%,https://partnernet.amazon.de/,Direct (Amazon PartnerNet),DE/AT (amazon.de),4%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – nutzergenerierte Social-Media-Inhalte gelten als 'Website'; akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur für amazon.de-Käufe; EU-Stores separat (eigene Tags),"Standard-Vergütungskatalog DE (identisch UK/EU-Anhang; gleiche Sätze für direkte/indirekte Käufe); Sätze liegen unter dem Stand 23.06.2025 (lt. ABAKUS-Forum z.B. Möbel/Wohnen 6%) -> weitere Senkung, Datum unbekannt; seit 14.04.2026: bezahlte/verstärkte Werbung disqualifiziert, 180-Tage-Frist; Direktnachrichten nur wenn 'angefordert' (Opt-in); Pflichttext 'Als Amazon-Partner verdiene ich an qualifizierten Verkäufen' + '#Anzeige'; Startseite wirbt 'bis zu 12%' (über Tabelle hinaus nur Sonderprogramme)",https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
