nr,bereich,nische,beispielprodukte,typischer_aov_eur,typische_provision,provision_pro_bestellung_eur,hauptprogramme_beleg,kaufintention_1_5,visual_viral_1_5,ai_fit_1_5,passivitaet_1_5,compliance_trust_risiko,cross_platform_1_5,produkte_pro_content,theme_page_affiliate_belegt,saisonalitaet,markt_hypothese,status,hauptgrund,datenqualitaet
17,Outdoor,Backyard Wellness: Sauna / Cold Plunge / Hot Tub,"Fass-Saunen, Infrarot, Plunges, Whirlpools",300–25.000,"5–10 % (Sun Home 5 %, RecoSauna 7 %, Sweat Kingdom 5–10 %; DE Sauna24 8 %, AIDA 10 %)",20–2.000,"Sun Home, RecoSauna, Sweat Kingdom (US); Mein-Saunashop Ø851 €, Sauna24 (DE) (C)",3,4,5,4,LOW-MEDIUM,4,2–4,unbekannt,gegenläufig (Sauna Winter/Pool Sommer),US,Shortlist K10/K11,nicht offensichtliche High-Ticket-Nische; CVR sehr niedrig,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
18,Outdoor,Pools,"Aufstellpools, Poolroboter, Wärmepumpen",100–3.000,"3–7 % (primepool 7 % Ø628 €, poolroboter 3–5 % Ø755 €)",10–50,"primepool, mein-poolroboter, poolmondo (C)",3,4,4,2,LOW-MEDIUM,4,2–4,unbekannt,sehr stark (Mai–Aug.),DE,in K11,Saison zu kurz für Stand-alone,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
19,Outdoor,Outdoor Living / Terrasse / Gartenmöbel,"Loungemöbel, Sonnenschirme, Beleuchtung",100–8.000,5–8 % (Outer 5–8 %/90 T; OTTO Living 12 % Content),10–400,"Outer (C), OTTO (D), Wayfair",3,4,4,2,MEDIUM,5,4–8,unbekannt,stark,US/DE,Longlist,in K12/K13 als Cross-Sell; Saisonalität,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
20,Outdoor,Garten / Gardening,"Pflanzen, Hochbeete, Werkzeug, Mähroboter",20–1.500,"5–10 % (STIHL 8 %, Baldur 8 %, hagebau 10 % Content)",2–60,"STIHL, Baldur, hagebau, Plantura (C)",3,3,4,2,MEDIUM,5,3–6,nein (EN-Theme-Pages nicht belegt – I),sehr stark,DE,Shortlist K26,Plantura-Stornoquote 41 %; DE-Community ähnlich aktiv (F),Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
21,Outdoor,Camping / Vanlife / Overlanding,"Zelte, Dachzelte, Kocher, Kühlboxen",50–3.000,"4–8 % (Bergfreunde 7 %, Backcountry 4–12 %)",3–60,"Bergfreunde, Campz, Backcountry (D)",3,4,4,3,LOW-MEDIUM,4,4–8,nein (Reichweite ohne Links – J),stark (Frühjahr/Sommer),DE/US,Shortlist K22,Bergfreunde Bestätigungsrate nur 65 %,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
22,Outdoor,Power Stations / Off-Grid,"EcoFlow, Jackery, Bluetti, Solarpanels",300–2.000,"5–10 % (Jackery 5–8 %/30 T, EcoFlow 5 %/7 T, Bluetti bis 10 %)",15–100,"EcoFlow, Jackery, Bluetti (D)",3,3,4,3,LOW-MEDIUM,3,1–3,unbekannt,mittel,DE/US,in K22,"hoher AOV, aber kurze Cookies und wenig virales Potenzial",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
23,Outdoor,Hiking / Outdoor-Bekleidung,"Jacken, Schuhe, Rucksäcke",80–400,"5–8 % (Bergfreunde 7 %, Arc'teryx 7 %)",4–25,"Bergfreunde, Arc'teryx, REI 5 %/15 T (D)",3,4,3,2,MEDIUM,4,3–5,nein,saisonal,DE,Longlist,Bekleidungsretouren (Bergfreunde 65 % Bestätigung),Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
24,Tech,Gaming Setups,"Monitore, Tastaturen, LED, Stühle, Tische",30–1.500,"1–5 % (Amazon PC 2,5 %, Spiele 1 %; Logitech 4–10 %)",1–15,"Logitech, Secretlab, Corsair, Amazon (B)",3,5,5,2,LOW-MEDIUM,4,6–10,ja (@killergamingsetups 213k u. a. – J),Q4,EN,Shortlist K03,"junges, globales Publikum; Billigprodukte (J)",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
25,Tech,Desk Setups / Home Office / Productivity,"Monitore, Lampen, Schreibtische, Stühle, Zubehör",40–2.300,"3–8 % (FlexiSpot 4–8 %, noblechairs 5 %, Herman Miller 4 % US-only)",2–90,"FlexiSpot, noblechairs, Logitech, Grovemade, Amazon (B)",4,4,4,3,LOW-MEDIUM,4,6–10,"ja (11 von 23 Setup-Pages monetarisieren, 7 mit Storefront – J)","Q1 (Neujahr), Q4",EN/DE,Shortlist K01/K02,Modell bewiesen; EN reif (Follower −8 bis −16 % seit 2023 – J),Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
26,Tech,PC-Zubehör / Peripherie,"Mäuse, Keyboards, Headsets",30–200,"1–5 % (Händler 1–3 %, Logitech 4–10 %)",1–8,"Logitech, Currys 3 % Creator (B)",4,4,3,2,LOW-MEDIUM,3,1–3,teilweise,Q4,EN,in K01/K03,niedrige Provision,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
27,Tech,Tech Gadgets / Amazon Finds (allgemein),Gadgets unter 50 €,15–80,"3–4 % Amazon; Ugreen 8 %, Casetify 10 %","0,5–3","Amazon, Ugreen, Casetify, Nomad (B)",5,5,2,2,MEDIUM-HIGH,4,1–5,"ja (Justice Buys, JayFindsThings 7,8 Mio. – F, I, J)",Q4,"DE (Lücke 25,6×)",Shortlist K14/K15,hyper-gesättigt (EN); Funktionsdemos per AI = Irreführungsrisiko,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
28,Tech,Smartphone-Zubehör,"Hüllen, Ladegeräte, MagSafe",20–80,"8–10 % (Casetify, Nomad), Amazon 2,5–4 %",1–5,"Casetify, Nomad, Ugreen, Anker (B)",4,3,3,2,LOW-MEDIUM,3,2–4,teilweise,Sept. (iPhone-Launch),EN,Longlist,kurze Produktzyklen,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
29,Tech,"Consumer Electronics (TV, Konsolen, Laptops)","TVs, Laptops, Konsolen",300–2.000,"1–3 % (Amazon TV 2 %, Konsolen 1 %)",5–30,"Best Buy, Currys 3 %, nbb 2 % (B)",3,3,2,2,MEDIUM,3,1–3,teilweise (Deal-Pages),Q4,EN,verworfen,"Provision zu niedrig, Tests/Reviews nötig",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
30,Tech,Fotografie / Kameras,"Kameras, Objektive, Gimbals",300–3.000,"2–5 % (B&H 2 %, Calumet 3–5 %, Sony 3 %)",10–60,"B&H, Adorama, Calumet (B)",3,3,1,3,MEDIUM-HIGH,3,1–4,nein (J: nicht belegt),Q4,EN,verworfen,Beweisfotos müssen echt sein – AI-Fit sehr gering,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
31,Tech,Audio / Hi-Fi / Kopfhörer,"Lautsprecher, Kopfhörer, Plattenspieler",80–2.000,"2–8 % (Teufel bis 8 % Multi-Touch, Sennheiser 3,5–7 %)",3–60,"Teufel, Sennheiser, B&O (B)",3,3,2,3,MEDIUM,3,2–4,nein (J: keine Accounts gefunden),Q4,DE,Longlist,Klang nicht per AI darstellbar,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
32,Tech,Music Equipment / Home Studio,"Synths, Mikrofone, Interfaces",100–2.000,"3–6 % (Thomann 4,5 % ab 5.000 Followern)",5–60,"Thomann, Sweetwater (B)",3,3,2,3,MEDIUM,3,3–6,unbekannt,Q4,DE,Longlist,Thomann erst ab 5.000 Followern; Sound nicht per AI,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
33,Tech,3D-Druck / Maker,"Drucker, Filament, Zubehör",30–1.500,"4–10 % (Bambu Lab 10 %, Creality 4–8 %, Anycubic 5 %/60 T)",3–80,"Bambu Lab, Creality, Anycubic (D)",4,4,2,3,MEDIUM,3,1–4,ja (The 3D Wizard – J),Q4,EN,Shortlist K28,Community lehnt AI-'Prints' ab,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
34,Tech,EDC (Everyday Carry),"Messer, Taschenlampen, Wallets",20–300,"4–10 % (Bellroy 7 %, Orbitkey 7–8 %)",1–15,"Bellroy, Orbitkey (B, D)",4,3,4,4,MEDIUM (Messer),3,4–8,ja (J: mittel belegt),gering,EN,Longlist,"kleine Nische, Messer rechtlich heikel (DE)",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
35,Reisen,Travel Gear / Packing,"Koffer, Rucksäcke, Packwürfel, eSIM",30–600,"4–15 % (NOMATIC 15 %, Tortuga 10 %, Travelpro 8–10 %, Saily 15 %)",2–40,"Tortuga, Travelpro, Bellroy, NOMATIC, Saily (D)",3,4,4,4,LOW-MEDIUM,5,4–8,unbekannt,Frühjahr/Sommer,EN/US,Shortlist K17,Pinterest-stark; US-Programme dominieren,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
36,Reisen,Travel Destinations / Dream Trips,"Touren, Hotels, Aktivitäten",100–1.000,"Booking-Anteil, GetYourGuide 8 %, Viator 8 %",5–40,"GetYourGuide, Viator, Booking (D)",2,5,3,3,MEDIUM-HIGH,5,1–3,teilweise,saisonal,EN,Shortlist K30 (Referenz),"Provision erst nach Reise, Stornos, AI-Orte irreführend",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
37,Sport,Home Gym / Fitness Equipment,"Racks, Hanteln, Laufbänder",50–3.000,"3–5 % (REP 5 % US-only, Bowflex 3 %; Rogue ohne Programm)",2–60,"REP, Bowflex, Hyperice (D)",3,4,3,4,MEDIUM,3,3–6,unbekannt,Jan.,US,Shortlist K27,Fitness-Claims; US-only Programme,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
38,Sport,Running,"Laufschuhe, Uhren, Bekleidung",80–500,"5–18 % (On 18 %?, Nike bis 15 %/7 T, adidas DE 2 %)",4–30,"On, Nike, Runnerinn (D)",3,3,2,2,MEDIUM,3,2–4,nein,Frühjahr,UK/US,Longlist,"Schuhretouren, Personen-Nische",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
39,Sport,Cycling / E-Bikes,"E-Bikes, Zubehör, Trainer",50–5.000,"2–5 % (Canyon 2 %, ROSE 5 %, Aventon 4 %)",5–150,"ROSE, Canyon, Aventon (D)",3,3,3,3,MEDIUM,3,1–3,nein (J),Frühjahr,DE,Longlist,kein E-Bike-Programm ≥5–10 % belegt (D),Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
40,Sport,Golf (inkl. Simulatoren),"Launch Monitors, Simulatoren, Schläger",50–15.000,"3–15 % (SkyTrak 10–15 %, 2nd Swing 5–15 %)",3–300,"SkyTrak, 2nd Swing, Golf House 6 % (D)",3,3,3,4,LOW-MEDIUM,3,2–4,nein (J: nicht belegt),Winter (Indoor),US,Shortlist K21,"kleiner Markt, US-only High-Ticket",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
41,Haustiere,Hunde-Produkte,"Betten, Leinen, Spielzeug, Futter-Abos",20–150,"3–20 % (Fressnapf 8 % Neukunden, LuckyPets 20 % Neukunden, Farmer's Dog 50 $ CPA)",1–50,"Fressnapf, ZooRoyal, Farmer's Dog, Butternut Box (C)",4,5,2,4,MEDIUM,4,2–5,"ja (round.boys, dogsofinstagram – I)",gering,DE/EN,Shortlist K23,"AI-Hunde, die Produkte nutzen = Irreführung; DE-Community aktiv (F)",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
42,Haustiere,Katzen-Produkte,"Kratzbäume, Katzenklos, Brunnen",20–700,"3–12 % (Litter-Robot 8 %/90 T, Tuft+Paw 12 %)",1–60,"Whisker, Tuft + Paw, Petlibro 15 % Creator (C)",4,5,2,4,MEDIUM,4,2–5,teilweise,gering,US,Longlist,wie Hund; Litter-Robot als High-Ticket-Anker,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
43,Haustiere,Aquaristik / Aquascaping,"Becken, Licht, CO2, Pflanzen",50–1.500,"3–5 % (Amazon 3 %, zooplus 3 % erste 3 Bestellungen)",2–40,"Amazon, zooplus (C)",3,4,3,4,MEDIUM,4,3–6,unbekannt,gering,DE/EN,Longlist,Lebewesen per AI = Irreführungsrisiko; Programme schwach,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
44,Beauty,Skincare,"Seren, Cremes, Sonnenschutz",20–80,"4–20 % (The Ordinary 13–20 %, Sephora DE 12 %, Lookfantastic 12–15 %)",2–8,"The Ordinary, Sephora, Lookfantastic (D)",4,4,2,3,HIGH,4,3–6,nein (faceless Beauty ohne Belege),gering,DE/UK,Shortlist K18,Wirkversprechen/HCVO-nahe Claims; faceless ohne Vertrauen,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
45,Beauty,"Beauty Devices (LED-Masken, Airwrap)","LED-Masken, Styler",150–600,"2–20 % (medicube 20 %, Foreo 6 %/60 T, CurrentBody DE 2–4 %)",10–60,"medicube, Foreo (D)",4,4,2,3,HIGH,3,1–2,nein,Q4,US,Shortlist K19,Wirkung nicht per AI zeigbar; HIGH Compliance,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
46,Beauty,Haircare,"Stylingtools, Pflege",20–500,"1–5 % (ghd 1–5 %, Dyson DE 5 %)",1–25,"ghd, Dyson (D)",3,4,2,3,MEDIUM-HIGH,4,1–3,nein,gering,DE,Longlist,Ergebnisse müssen echt sein,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
47,Mode,Fashion (faceless 'Shop the Look'),"Outfits, Basics",40–300,"6–15 % (Breuninger 12 %, Lounge 12 %, Amazon Fashion 6 %)",3–15,"Breuninger, Mango, OTTO via Stylink (D)",4,4,2,1,MEDIUM-HIGH,5,4–6,ja (Herrenmode-Theme-Page D01 – K),saisonal,DE/UK,Shortlist K20,DE-Retouren 45–55 %; Links sterben mit der Kollektion,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
