nische,markt,instagram_werbereichweite,e_commerce_markt,kaufkraft_1_5,amazon_und_provision,publikums_geo,cpm_kaufkraft_proxy,konkurrenz_1_5_(5=wenig),grosse_theme_pages_beleg,professionelle_ai_pages,affiliate_programme,typischer_aov,conversion_hinweis,versand_verfuegbarkeit,erreichbare_views_monat12_base_strong,gesamtbewertung_1_5,begruendung,datenqualitaet
Kaffee / Espresso-Setups,UK,"35,5 Mio. – VERIFIED","≈132,8 Mrd. £ (≈175 Mrd. USD), Onlineanteil 27,5 % – VERIFIED ONS",3,Amazon ≈25 % (schwache Drittquelle); Home/Kitchen/DIY 5 %,teilt EN-Content-Pool mit US; UK-Anteil EN-Publikum ≈14 %,"Meta-CPM 17,4",2,–,–,"Sage 8 %, De'Longhi UK bis 10 %",150–300 £,UNKNOWN,gut,Teil EN-Pool,3,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Kaffee / Espresso-Setups,International-EN,"≈259 Mio. EN-Kern (+481 Mio. Indien, kaum monetarisierbar)",Summe EN-Kern,3,"Mix: US 3–4,5 %, UK/CA/AU über OneLink/Geniuslink; Indien nicht routbar",≈24 % Indien im EN-Finds-Beispiel unmonetarisierbar,"Mix; Indien 1,35 USD",2,–,–,Mix,Mix,verwässert,mittel,3 Mio. / 10 Mio.,3,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
BBQ / Pizzaöfen / Outdoor Kitchen,DE/DACH,"38,5 Mio. (DE 31,3 · AT 3,35 · CH 3,8) – VERIFIED DataReportal 2026","≈137 Mrd. USD (DE 92,3 Mrd. € netto) – VERIFIED HDE",4,"Amazon.de 63,3 % des DE-Onlinehandels (VERIFIED HDE/IFH); Wohnen/Möbel/Küche/Baumarkt 5 %, Elektronik/Garten/Haustier 3 %","≈80 % DACH-Publikum bei deutschsprachigen Kanälen (NexLev, THIRD-PARTY)","Meta-CPM ≈14,8 € (THIRD-PARTY)",3,DE-Grill-Community stark personenzentriert; faceless nicht belegt,keine,"SANTOS 10 %/7 %, Ooni 10 %, Kuppelofen Ø766 €/90 T, Gozney 5 %",60–800 €,UNKNOWN (Home-Proxy),"gut, Speditionsware",1 Mio. / 4 Mio.,4,"starke Programme, Saison März–Aug.","Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
BBQ / Pizzaöfen / Outdoor Kitchen,US,182 Mio. – VERIFIED,"1.233,7 Mrd. USD – VERIFIED US Census",5,"Amazon ≈40,5 % (THIRD-PARTY); Home/Furniture/Garden/Pets 3 %, Kitchen 4,5 %, Electronics 4 %",EN-Content: nur ≈42 % US-Publikum (NexLev-Beispiel),"Meta-CPM 23,4 USD",2,nicht gezielt belegt,keine,"BBQGuys 6 %, Ooni 10 %, Solo Stove 5–10 %, Blackstone/BGE 5 %",60–5.000 $,UNKNOWN,gut,3 Mio. / 10 Mio.,4,Outdoor-Küchen = High-Ticket,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
BBQ / Pizzaöfen / Outdoor Kitchen,UK,"35,5 Mio. – VERIFIED","≈132,8 Mrd. £ (≈175 Mrd. USD), Onlineanteil 27,5 % – VERIFIED ONS",3,Amazon ≈25 % (schwache Drittquelle); Home/Kitchen/DIY 5 %,teilt EN-Content-Pool mit US; UK-Anteil EN-Publikum ≈14 %,"Meta-CPM 17,4",3,–,–,"Ooni 10 %, Gozney 5 %; Weber UK inaktiv",100–600 £,UNKNOWN,gut,Teil EN-Pool,3,Programmangebot dünn,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
BBQ / Pizzaöfen / Outdoor Kitchen,International-EN,"≈259 Mio. EN-Kern (+481 Mio. Indien, kaum monetarisierbar)",Summe EN-Kern,3,"Mix: US 3–4,5 %, UK/CA/AU über OneLink/Geniuslink; Indien nicht routbar",≈24 % Indien im EN-Finds-Beispiel unmonetarisierbar,"Mix; Indien 1,35 USD",2,–,–,Ooni global,Mix,verwässert,mittel,3 Mio. / 10 Mio.,3,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
"Backyard Wellness (Sauna, Plunge, Whirlpool, Pool)",DE/DACH,"38,5 Mio. (DE 31,3 · AT 3,35 · CH 3,8) – VERIFIED DataReportal 2026","≈137 Mrd. USD (DE 92,3 Mrd. € netto) – VERIFIED HDE",4,"Amazon.de 63,3 % des DE-Onlinehandels (VERIFIED HDE/IFH); Wohnen/Möbel/Küche/Baumarkt 5 %, Elektronik/Garten/Haustier 3 %","≈80 % DACH-Publikum bei deutschsprachigen Kanälen (NexLev, THIRD-PARTY)","Meta-CPM ≈14,8 € (THIRD-PARTY)",3,nicht gezielt belegt,keine,"Mein-Saunashop Ø851 €, Sauna24 8 %/90 T, AIDA 10 %, primepool 7 % Ø628 €",300–10.000 €,sehr niedrig (High-Ticket),"Speditionsware, DE/AT","0,5 Mio. / 2 Mio.",3,"gemessene Warenkörbe hoch, Reichweite klein","Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
"Backyard Wellness (Sauna, Plunge, Whirlpool, Pool)",US,182 Mio. – VERIFIED,"1.233,7 Mrd. USD – VERIFIED US Census",5,"Amazon ≈40,5 % (THIRD-PARTY); Home/Furniture/Garden/Pets 3 %, Kitchen 4,5 %, Electronics 4 %",EN-Content: nur ≈42 % US-Publikum (NexLev-Beispiel),"Meta-CPM 23,4 USD",3,nicht gezielt belegt,keine,"Sun Home 5 % (Social erlaubt), RecoSauna 7 %, Sweat Kingdom 5–10 %, Renu 7 %",1.000–45.000 $,sehr niedrig,Lower 48 only (Peak),"1,5 Mio. / 5 Mio.",3,"Provision pro Sale 200–2.000 $, CVR unbekannt","Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
"Backyard Wellness (Sauna, Plunge, Whirlpool, Pool)",UK,"35,5 Mio. – VERIFIED","≈132,8 Mrd. £ (≈175 Mrd. USD), Onlineanteil 27,5 % – VERIFIED ONS",3,Amazon ≈25 % (schwache Drittquelle); Home/Kitchen/DIY 5 %,teilt EN-Content-Pool mit US; UK-Anteil EN-Publikum ≈14 %,"Meta-CPM 17,4",3,–,–,"Bast Sauna UK 6 %, Wave Spas",UNKNOWN,UNKNOWN,–,Teil EN-Pool,2,dünn,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
"Backyard Wellness (Sauna, Plunge, Whirlpool, Pool)",International-EN,"≈259 Mio. EN-Kern (+481 Mio. Indien, kaum monetarisierbar)",Summe EN-Kern,3,"Mix: US 3–4,5 %, UK/CA/AU über OneLink/Geniuslink; Indien nicht routbar",≈24 % Indien im EN-Finds-Beispiel unmonetarisierbar,"Mix; Indien 1,35 USD",3,–,–,US-Programme nur für US-Käufer,–,–,schlecht (Versand),"1,5 Mio. / 5 Mio.",2,Versand begrenzt,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Desk Setups / Home Office,DE/DACH,"38,5 Mio. (DE 31,3 · AT 3,35 · CH 3,8) – VERIFIED DataReportal 2026","≈137 Mrd. USD (DE 92,3 Mrd. € netto) – VERIFIED HDE",4,"Amazon.de 63,3 % des DE-Onlinehandels (VERIFIED HDE/IFH); Wohnen/Möbel/Küche/Baumarkt 5 %, Elektronik/Garten/Haustier 3 %","≈80 % DACH-Publikum bei deutschsprachigen Kanälen (NexLev, THIRD-PARTY)","Meta-CPM ≈14,8 € (THIRD-PARTY)",4,"keine DE faceless Setup-Page relevanter Größe; @cleandesksetup (48k, amazon.de-Links) – J",keine,"Amazon.de 3–5 %, noblechairs 5 %, FlexiSpot DE 4 %, nbb 2 %",40–600 €,"Amazon.de 5,94 %",gut,1 Mio. / 4 Mio.,3,"Lücke, aber DE-Gamer nutzen EN-Content (F)","Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Desk Setups / Home Office,US,182 Mio. – VERIFIED,"1.233,7 Mrd. USD – VERIFIED US Census",5,"Amazon ≈40,5 % (THIRD-PARTY); Home/Furniture/Garden/Pets 3 %, Kitchen 4,5 %, Electronics 4 %",EN-Content: nur ≈42 % US-Publikum (NexLev-Beispiel),"Meta-CPM 23,4 USD",2,"11 von 23 Setup-Pages monetarisieren (thedreamsetup 374k, setuputic 241k) – J","@topdailysetups (67k, 3D + Storefront) – J","FlexiSpot, Logitech 4–10 %, Herman Miller 4 % (US-only), Amazon 2,5–4 %",60–2.300 $,"Amazon.com 11,1 %",gut,3 Mio. / 10 Mio.,3,Modell bewiesen; Markt reif (Follower −8 bis −16 %),"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Desk Setups / Home Office,UK,"35,5 Mio. – VERIFIED","≈132,8 Mrd. £ (≈175 Mrd. USD), Onlineanteil 27,5 % – VERIFIED ONS",3,Amazon ≈25 % (schwache Drittquelle); Home/Kitchen/DIY 5 %,teilt EN-Content-Pool mit US; UK-Anteil EN-Publikum ≈14 %,"Meta-CPM 17,4",2,teilt EN-Pool,–,"FlexiSpot UK 4–8 % AOV 292 £, Currys 3 % Creator",–,–,gut,Teil EN-Pool,3,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Desk Setups / Home Office,International-EN,"≈259 Mio. EN-Kern (+481 Mio. Indien, kaum monetarisierbar)",Summe EN-Kern,3,"Mix: US 3–4,5 %, UK/CA/AU über OneLink/Geniuslink; Indien nicht routbar",≈24 % Indien im EN-Finds-Beispiel unmonetarisierbar,"Mix; Indien 1,35 USD",2,wie US,–,Mix,Mix,verwässert,mittel,3 Mio. / 10 Mio.,3,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Gaming Setups,DE/DACH,"38,5 Mio. (DE 31,3 · AT 3,35 · CH 3,8) – VERIFIED DataReportal 2026","≈137 Mrd. USD (DE 92,3 Mrd. € netto) – VERIFIED HDE",4,"Amazon.de 63,3 % des DE-Onlinehandels (VERIFIED HDE/IFH); Wohnen/Möbel/Küche/Baumarkt 5 %, Elektronik/Garten/Haustier 3 %","≈80 % DACH-Publikum bei deutschsprachigen Kanälen (NexLev, THIRD-PARTY)","Meta-CPM ≈14,8 € (THIRD-PARTY)",4,"#zockerzimmer 3,6k Posts – DE-Ökosystem fehlt (F)",–,"Amazon.de Spiele 1 %, Elektronik 3 %",30–1.500 €,–,gut,1 Mio. / 4 Mio.,2,Gamer konsumieren EN-Content,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Gaming Setups,US,182 Mio. – VERIFIED,"1.233,7 Mrd. USD – VERIFIED US Census",5,"Amazon ≈40,5 % (THIRD-PARTY); Home/Furniture/Garden/Pets 3 %, Kitchen 4,5 %, Electronics 4 %",EN-Content: nur ≈42 % US-Publikum (NexLev-Beispiel),"Meta-CPM 23,4 USD",2,@killergamingsetups 213k u. a. – J,–,"Amazon PC 2,5 %, Spiele 1 %",30–1.500 $,Billigprodukt-Tendenz (J),gut,5 Mio. / 20 Mio.,2,Provision zu niedrig,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Gaming Setups,UK,"35,5 Mio. – VERIFIED","≈132,8 Mrd. £ (≈175 Mrd. USD), Onlineanteil 27,5 % – VERIFIED ONS",3,Amazon ≈25 % (schwache Drittquelle); Home/Kitchen/DIY 5 %,teilt EN-Content-Pool mit US; UK-Anteil EN-Publikum ≈14 %,"Meta-CPM 17,4",2,–,–,"Scan 1 %, Overclockers bis 2 %, Currys 3 %",–,–,gut,Teil EN-Pool,2,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Gaming Setups,International-EN,"≈259 Mio. EN-Kern (+481 Mio. Indien, kaum monetarisierbar)",Summe EN-Kern,3,"Mix: US 3–4,5 %, UK/CA/AU über OneLink/Geniuslink; Indien nicht routbar",≈24 % Indien im EN-Finds-Beispiel unmonetarisierbar,"Mix; Indien 1,35 USD",2,–,–,–,–,stark verwässert,mittel,5 Mio. / 20 Mio.,3,"global viral, aber junge/globale Zuschauer","Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Tech Gadgets / Amazon Finds,DE/DACH,"38,5 Mio. (DE 31,3 · AT 3,35 · CH 3,8) – VERIFIED DataReportal 2026","≈137 Mrd. USD (DE 92,3 Mrd. € netto) – VERIFIED HDE",4,"Amazon.de 63,3 % des DE-Onlinehandels (VERIFIED HDE/IFH); Wohnen/Möbel/Küche/Baumarkt 5 %, Elektronik/Garten/Haustier 3 %","≈80 % DACH-Publikum bei deutschsprachigen Kanälen (NexLev, THIRD-PARTY)","Meta-CPM ≈14,8 € (THIRD-PARTY)",4,"kein dedizierter DE-Finds-Kanal in Top-20 (F); mydealz 546k = Deals, anderes Format (I)",–,"Amazon.de 2,5–3 %",15–80 €,"Amazon.de 5,94 %",gut,2 Mio. / 7 Mio.,3,"Lücke 25,6×, aber 3 % und niedriger AOV","Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Tech Gadgets / Amazon Finds,US,182 Mio. – VERIFIED,"1.233,7 Mrd. USD – VERIFIED US Census",5,"Amazon ≈40,5 % (THIRD-PARTY); Home/Furniture/Garden/Pets 3 %, Kitchen 4,5 %, Electronics 4 %",EN-Content: nur ≈42 % US-Publikum (NexLev-Beispiel),"Meta-CPM 23,4 USD",1,"Justice Buys, JayFindsThings 7,8 Mio., Money Saving Man 3,9 Mio. – F",US Shop (AI) – H,Amazon 4 %,15–80 $,"Amazon.com 11,1 %",gut,5 Mio. / 20 Mio.,2,hyper-gesättigt,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Tech Gadgets / Amazon Finds,UK,"35,5 Mio. – VERIFIED","≈132,8 Mrd. £ (≈175 Mrd. USD), Onlineanteil 27,5 % – VERIFIED ONS",3,Amazon ≈25 % (schwache Drittquelle); Home/Kitchen/DIY 5 %,teilt EN-Content-Pool mit US; UK-Anteil EN-Publikum ≈14 %,"Meta-CPM 17,4",1,–,–,"Amazon.co.uk 2,5–5 %",–,–,gut,Teil EN-Pool,2,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Tech Gadgets / Amazon Finds,International-EN,"≈259 Mio. EN-Kern (+481 Mio. Indien, kaum monetarisierbar)",Summe EN-Kern,3,"Mix: US 3–4,5 %, UK/CA/AU über OneLink/Geniuslink; Indien nicht routbar",≈24 % Indien im EN-Finds-Beispiel unmonetarisierbar,"Mix; Indien 1,35 USD",1,–,–,–,–,stark verwässert (24 % Indien),mittel,5 Mio. / 20 Mio.,2,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Hunde-/Haustierprodukte,DE/DACH,"38,5 Mio. (DE 31,3 · AT 3,35 · CH 3,8) – VERIFIED DataReportal 2026","≈137 Mrd. USD (DE 92,3 Mrd. € netto) – VERIFIED HDE",4,"Amazon.de 63,3 % des DE-Onlinehandels (VERIFIED HDE/IFH); Wohnen/Möbel/Küche/Baumarkt 5 %, Elektronik/Garten/Haustier 3 %","≈80 % DACH-Publikum bei deutschsprachigen Kanälen (NexLev, THIRD-PARTY)","Meta-CPM ≈14,8 € (THIRD-PARTY)",2,"#hundeliebe 13,7 Mio.; DE-Community pro Nutzer ähnlich aktiv (2,0×) – F",–,"Fressnapf 8 % Neukunden/60 T, ZooRoyal 11 %, zooplus 3 % (erste 3 Bestellungen)",35–70 €,"DY Pet 4,71 %",gut,2 Mio. / 7 Mio.,3,kein Konkurrenzvorteil,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Hunde-/Haustierprodukte,US,182 Mio. – VERIFIED,"1.233,7 Mrd. USD – VERIFIED US Census",5,"Amazon ≈40,5 % (THIRD-PARTY); Home/Furniture/Garden/Pets 3 %, Kitchen 4,5 %, Electronics 4 %",EN-Content: nur ≈42 % US-Publikum (NexLev-Beispiel),"Meta-CPM 23,4 USD",1,"round.boys, dogsofinstagram – I",–,"Farmer's Dog 50 $ CPA, Litter-Robot 8 %/90 T, Chewy 1 %",30–700 $,"DY Pet 4,71 %",gut,5 Mio. / 20 Mio.,3,"hohe Viralität, gesättigt","Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Hunde-/Haustierprodukte,UK,"35,5 Mio. – VERIFIED","≈132,8 Mrd. £ (≈175 Mrd. USD), Onlineanteil 27,5 % – VERIFIED ONS",3,Amazon ≈25 % (schwache Drittquelle); Home/Kitchen/DIY 5 %,teilt EN-Content-Pool mit US; UK-Anteil EN-Publikum ≈14 %,"Meta-CPM 17,4",2,–,–,"Butternut Box 40 £ (Social ausdrücklich), zooplus UK 7 %",40–80 £,zooplus UK Konv. >22 %,gut,Teil EN-Pool,3,Butternut Box stark,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Hunde-/Haustierprodukte,International-EN,"≈259 Mio. EN-Kern (+481 Mio. Indien, kaum monetarisierbar)",Summe EN-Kern,3,"Mix: US 3–4,5 %, UK/CA/AU über OneLink/Geniuslink; Indien nicht routbar",≈24 % Indien im EN-Finds-Beispiel unmonetarisierbar,"Mix; Indien 1,35 USD",1,–,–,–,–,verwässert,mittel,5 Mio. / 20 Mio.,2,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
