niche,label,segment_definition,topics,n_topics,topic_median_of_medians,topic_max_median,topics_with_supply_label,supply_sum_reels_on_topic,supply_median_reels_on_topic,median_views_per_1k_reels,n_slots,fresh_share_180d,n_recent,recent_median_adj,slot_ai_share,slot_theme_page_share,slot_unique_handles,seg_n_small_lt100k,seg_small_median_views,seg_n,seg_n_adj,seg_median_adj,seg_median_views,seg_p90_views,seg_share_viral_5x,seg_median_comments_per_view,seg_fresh_share_180d,seg_share_of_all_ai,seg_unique_handles,seg_specialists_ge2,seg_top_handles,seg_share_high_shoppability,seg_share_people,low_confidence,ratio_vs_rest_ai,ci95_low,ci95_high,mannwhitney_p
cliff,Cliff homes,AI & landscape=cliff,cliff-house;house-on-cliff,2,9288.0,18350.0,1.0,423000.0,423000.0,43.3806146572104,24.0,0.125,3.0,0.076,0.958,0.333,22.0,22,1604.0,37,35,0.482,14900.0,1480000.0000000005,0.229,0.00056943670382165,0.189,0.0533,30,5,epocraftdiy:3;interior_home_design1:3;sunt_mrr:2;whatif.real:2,0.0,0.135,False,0.55,0.246,1.423,0.26615281904363497
pick_one,'Pick one' rooms / homes,AI & caption hook=choice,,0,,,,,,,,,,,,,,22,162000.0,26,25,1.372,259000.0,3100000.0,0.68,0.00455617876289585,0.269,0.0375,17,4,ayeshadeary5:4;insmultiverse:4;yourfantasyhomes:3;_crystalvisual:2,0.154,0.0,False,1.637,0.868,6.106,0.03165346907233088
tropical,AI tropical luxury homes,AI & (style=tropical or landscape=jungle_tropical),tropical-villa;tropical-house;tropical-house-architecture-styles;bali-luxury-villas-with-private-pools;bali-villa;bali-infinity-pool-villas,6,199750.0,452000.0,3.0,7214000.0,2800000.0,81.42857142857143,72.0,0.389,28.0,1.95,0.236,0.222,54.0,22,42000.0,44,44,1.214,248500.0,6800000.000000003,0.364,0.0003387409615008,0.409,0.0634,37,5,sunt_mrr:4;diniz_nasaroba:2;naturesms:2;baliinteriordesign:2,0.023,0.136,False,1.44,0.703,2.415,0.5061382666698504
tropical_style,AI tropical (style only),AI & style=tropical,tropical-villa;tropical-house;tropical-house-architecture-styles,3,228000.0,238000.0,2.0,3014000.0,1507000.0,441.415220293725,36.0,0.361,13.0,1.95,0.306,0.222,28.0,10,55300.0,20,20,1.702,305500.0,3980000.0000000326,0.35,0.0003408207934336,0.25,0.0288,16,3,sunt_mrr:3;diniz_nasaroba:2;baliinteriordesign:2;luxquisit:1,0.0,0.05,False,2.018,0.878,3.872,0.23525054772267362
tropical_jungle,AI jungle setting (landscape only),AI & landscape=jungle_tropical,bali-luxury-villas-with-private-pools;bali-villa;bali-infinity-pool-villas,3,162000.0,452000.0,1.0,4200000.0,4200000.0,38.57142857142857,36.0,0.417,15.0,1.95,0.167,0.222,28.0,17,28300.0,33,33,0.729,189000.0,6900000.000000001,0.364,0.0003387409615008,0.455,0.0476,29,3,sunt_mrr:3;naturesms:2;miladeshtiyaghi:2;sandiwara_multiverse.99:1,0.03,0.152,False,0.838,0.325,2.581,0.8982708697968839
night_penthouse,Night penthouses / skyline,AI & (building=penthouse or landscape=city_skyline),luxury-penthouse;penthouse-tour;dubai-penthouse;dubai-luxury-penthouse,4,243750.0,1500000.0,3.0,425000.0,42000.0,4021.4477211796248,48.0,0.104,5.0,1.067,0.043,0.149,36.0,30,68750.0,49,49,0.768,133000.0,5320000.000000005,0.408,0.0003853459972862,0.388,0.0706,42,6,siyad_abdali:3;facade_designn:2;luxurydreamhub:2;remodel_design_:2,0.082,0.286,False,0.878,0.28,1.29,0.5170936178261185
future_bedrooms,Future bedrooms,AI & room=bedroom & (style=futuristic or space_sky or stars fx),futuristic-interior;dream-bedrooms;dream-bedroom,3,659000.0,1121000.0,3.0,1314700.0,9500.0,55673.07692307692,36.0,0.111,4.0,1.007,0.667,0.361,23.0,7,109000.0,10,10,0.532,158000.0,2179999.9999999995,0.4,0.00025757828114585,0.1,0.0144,9,1,perfect_decorss:2;luxuryhouseview:1;pvc_delhi.1:1;insmultiverse:1,0.0,0.1,True,0.61,0.229,4.813,0.6613633947378003
ai_bedrooms,AI bedrooms (reference),AI & room=bedroom,dream-bedrooms;dream-bedroom;luxury-bedroom;luxury-bedroom-design;luxury-master-bedroom,5,348000.0,1121000.0,5.0,3235500.0,102000.0,3411.764705882353,60.0,0.017,1.0,,0.508,0.424,35.0,67,91700.0,112,110,0.765,198000.0,4090000.0000000005,0.4,0.00026086051353219997,0.339,0.1614,85,18,siyad_abdali:4;ayeshadeary5:4;drcozyvibes:3;calm_neststudio:3,0.179,0.08,False,0.868,0.596,1.261,0.7673305783811302
cozy_night,Cozy night retreats,"AI & ambience fx in (rain, snow, fireplace)",cozy-rain;rainy-day;rain-cozy;cozy-room;cozy-bedroom-ideas;cozy-cabin;cozy-cabin-in-the-snow;cozy-winter-cabin;rain-sounds;ai-cozy-cabin,10,405000.0,3850000.0,6.0,122155600.0,763500.0,338.87268469235687,120.0,0.475,57.0,1.271,0.565,0.591,90.0,75,102000.0,142,140,0.7,214000.0,5060000.000000002,0.4,0.0004278968253968,0.401,0.2046,103,22,siyad_abdali:6;naturesms:6;ayeshadeary5:4;drcozyvibes:3,0.035,0.113,False,0.78,0.563,1.088,0.7215644577004324
ai_hotels,AI hotels / future resorts,AI & (building=hotel_resort or room in hotel_room/lobby),treehouse-hotel;luxury-resort;overwater-villa;unique-airbnb;hotel-bathroom-designs;glamping-ideas;luxury-hotel;underwater-hotel;maldives-resort;best-rooftop-pools;arctic-treehouse-hotel-rovaniemi;luxury-suite;luxury-hotel-suite;hotel-design;boutique-hotel;bora-bora-luxury-hotels;cook-islands-luxury-resorts;hotel-suite-design-ideas;hunza-valley-luxury-resorts;hotel-room-interior-design-ideas;luxury-hotel-room,21,167000.0,1600000.0,11.0,64997050.0,172000.0,2051.963048498845,252.0,0.302,76.0,0.705,0.094,0.145,217.0,5,47600.0,9,9,0.576,47600.0,355400.0000000001,0.111,0.0007349081364829,0.444,0.013,9,0,indonesiajuaratrip:1;studio_mek:1;andrew.design_lab:1;build.and.believe:1,0.0,0.111,True,0.661,0.097,2.98,0.35966859752475
pools,Infinity pools (standalone),AI & room=pool,infinity-pools;luxury-pool;indoor-pool;rooftop-pool;villa-with-pool;luxury-villa-with-pool,6,230000.0,1850000.0,5.0,4598000.0,1000000.0,439.31398416886543,72.0,0.028,2.0,1.566,0.141,0.183,67.0,8,39700.0,24,23,1.163,226000.0,6220000.000000002,0.391,0.0001939183673469,0.292,0.0346,21,2,sunt_mrr:3;tinylivingdesignsi:2;elitebuildhq:1;whatif.real:1,0.0,0.167,False,1.37,0.508,3.714,0.43148957224664386
art_deco,Neo-Deco statement rooms,ALL & style=art_deco,art-deco-interior-design;minimalist-art-deco-interior-design,2,221750.0,305500.0,1.0,11000.0,11000.0,27772.727272727272,24.0,0.708,17.0,0.963,0.364,0.182,21.0,6,115650.0,8,8,0.635,160000.0,591900.0,0.5,0.00039982836066165,0.75,0.0115,8,0,mednikovadesign:1;byselimfurniture:1;luxhilspace:1;theacedesignco:1,0.375,0.25,True,,,,
library,Dark-academia home libraries,ALL & caption/notable matches library,dark-academia-home-library;home-library,2,401250.0,636000.0,1.0,2500000.0,2500000.0,254.4,24.0,0.292,7.0,0.554,0.056,0.111,20.0,11,135000.0,25,25,1.94,243000.0,2360000.0000000014,0.52,0.0005390946502057,0.28,0.036,25,0,longingtocomehome:1;lux_mommy:1;greenitecture:1;nikimariephoto:1,0.24,0.16,False,,,,
cyberpunk,Cyberpunk night cities,ALL & style=cyberpunk,cyberpunk-city,1,648500.0,648500.0,1.0,916000.0,916000.0,707.9694323144105,12.0,0.667,8.0,2.825,0.25,0.417,9.0,7,495000.0,15,15,3.041,802000.0,4559999.999999999,0.667,0.00043766544117645003,0.667,0.0216,12,2,abeastinside:3;la_barbed:2;imtiazsahib33:1;kevouthere:1,0.0,0.467,False,,,,
unique_stays,Unique stays (glamping / Airbnb),AI & building=hotel_resort (proxy),unique-airbnb;glamping-ideas,2,442750.0,615000.0,2.0,183000.0,91500.0,14083.245243128962,24.0,0.083,2.0,0.118,0.0,0.0,22.0,4,35100.0,8,8,0.474,42850.0,427599.9999999999,0.0,0.0007349081364829,0.5,0.0115,8,0,indonesiajuaratrip:1;studio_mek:1;build.and.believe:1;brutalistbrunch:1,0.0,0.0,True,0.543,0.093,2.293,0.2119942602052245
desert,Desert concept homes,AI & landscape=desert,desert-house;desert-modern-house-tours;desert-house-interior-design-ideas,3,47450.0,71050.0,1.0,123000.0,123000.0,326.8292682926829,36.0,0.361,13.0,0.795,0.583,0.167,32.0,14,31250.0,22,22,0.675,41700.0,975200.0000000006,0.364,0.00037030224821720003,0.409,0.0317,20,1,harmosai:3;mt.constructiondiary:1;neuraltransform:1;diycraftstvofficial:1,0.0,0.182,False,0.772,0.299,1.938,0.5428359652338923
underwater,Underwater homes,ALL & landscape=underwater,underwater-hotel,1,255450.0,255450.0,1.0,20000.0,20000.0,12772.5,12.0,0.083,1.0,0.379,0.182,0.455,10.0,1,3447.0,14,14,0.386,551000.0,2280000.0000000005,0.071,0.00042286901787425,0.286,0.0202,10,3,vacations:3;sunt_mrr:2;cyborg.digitalart:2;worldtraveladventurers:1,0.0,0.286,True,,,,
