id,titel,content_pillar,hook,visual_hook_first_2s,raum,location,stil,farbschema,kamera,laenge_sek,text_overlay,cta,monetarisierung,warum_laut_daten,test_variable,prioritaet
"C015","Unbuilt No. 015 – The Terraced Mountain","P1 Impossible Homes","A house that is mostly garden, stacked down a mountain.","Night view of glowing garden terraces cascading down a slope; tiny figure on a lit path","garden_landscape + terrace_outdoor","mountain (fictional)","traditional_regional + warm_luxury","dry stone walls, olive green, lantern amber, night blue","descending drone glide along the terraces","10-12","Unbuilt No. 015 · AI concept","Which terrace do you wake up on?","Outdoor-Möbel-'similar items' (Wayfair bis 7 %, THIRD-PARTY ESTIMATE – q02)","KI garden_landscape 1,61 (n=43) + KI mountain 1,72 (n=33) (04-DB); traditional_regional gesamt 1,33 (n=111, Digest-Segment; Stil-Kruskal n.s.)","Kamera: Abwärts-Gleitflug vs. Aufwärts","A (Start, Woche 1–2)"
"C016","Unbuilt No. 016 – The Library Bridge","P1 Impossible Homes","A library that's also a bridge. You'd cross it slowly.","Covered timber bridge over a dark river, lined with lit bookshelves; figure reading mid-span","office (library)","lake_river (fictional)","mid_century + warm_luxury","walnut shelves, brass lamps, dark water reflections, night blue","slow walk-through dolly from one bank to the other","10-12","Unbuilt No. 016 · AI concept","Which book would you take across?","Reichweite; Leuchten/Sessel-'similar items' (q02)","office gesamt 1,22 (n=25), mid_century 1,50 (n=29), lake_river 1,02 (n=60) (Digest-Segment; Raum/Stil-Kruskal n.s.)","Kamera: Walk-through vs. Außen-Drift","B (Woche 3–4)"
"C017","Unbuilt No. 017 – The Rock-Cut Bathhouse","P1 Impossible Homes","Carved straight into the mountain: one bath, no ceiling.","Steam rising from a warm-lit stone bath cut into rock, stars overhead, figure at the edge","bathroom + pool","mountain (fictional)","warm_luxury","travertine, warm steam glow, dark rock, star-lit night","slow crane down from the stars to the water surface","8-10","Unbuilt No. 017 · AI concept","Sunrise soak or midnight soak?","Bad-'similar items' (q02); Tool-Credit in Caption (q03)","KI bathroom 1,45 (n=28), KI mountain 1,72 (n=33), KI night_artificial 1,27 (n=93) (04-DB)","Licht: Sterne/Nacht vs. Blue Hour","A (Start, Woche 1–2)"
"C018","Unbuilt No. 018 – The Sea Stack Tower","P1 Impossible Homes","The only way in is a staircase inside the rock.","Slim lit tower on a lone sea stack, surf below, figure on the top deck","stairs_hall + exterior_facade","ocean_beach (fictional sea stack)","futuristic + warm timber","dark rock, amber windows, white surf, night blue","orbit around the stack, rising","10-12","Unbuilt No. 018 · AI concept","Would you row out here every evening?","Reichweite/Follows","KI ocean_beach 1,81 (n=26, 04-DB); Achtung: KI cliff nur 0,48 (n=35, 04-DB) → Felsnadel im Meer statt Klippenhaus","Setting: ocean_beach vs. cliff (C031)","B (Woche 3–4)"
"C019","Unbuilt No. 019 – The Hall Inside the Mountain","P1 Impossible Homes","Somewhere inside this mountain there's a staircase you could get lost on.","Tiny figure at the foot of a monumental lit staircase inside a hollow mountain","stairs_hall","mountain interior (fictional)","neoclassical + warm_luxury","warm sandstone, brass, deep shadow, amber","slow push-in from a high vantage point; figure stays tiny","10-12","Unbuilt No. 019 · AI concept","How many steps? Guess before you count.","Reichweite/Kommentare","KI stairs_hall 2,24 (n=16, 04-DB); neoclassical 1,63 (n=29, Digest-Segment); Cover dramatic_scale innerhalb Accounts −13 Pp (Digest-Within) → Figur als Maßstab testen (Hypothese; KI mit Personen 1,68×, p≈0,02, Digest Key contrasts)","Figur: groß im Bild vs. winzig","A (Start, Woche 1–2)"
"C020","Unbuilt No. 020 – The Canopy Pool","P1 Impossible Homes","The pool is at the height of the treetops.","Glowing infinity pool floating at canopy level in a tropical forest at dusk; swimmer silhouette","pool","jungle_tropical (fictional)","tropical","teak, deep green, turquoise glow, blue hour into night","drone rise from the forest floor to pool level","8-10","Unbuilt No. 020 · AI concept","Would you swim here at night?","Outdoor-'similar items' (Liegen/Leuchten – q02)","KI tropical 1,70 (n=20, 04-DB); jungle_tropical gesamt 1,14 (n=92, Digest-Segment), aber KI jungle nur 0,73 (n=33, 04-DB) → Setting testen","Kamera: Rise vom Boden vs. horizontale Fahrt","B (Woche 3–4)"
"C021","Unbuilt No. 021 – The Aqueduct House","P1 Impossible Homes","The house is the aqueduct. The pool runs along the top.","Monumental stone aqueduct at night with lit rooms in the arches; a lone swimmer in the glowing pool channel on top","pool + exterior_facade","none (valley, fictional)","neoclassical","honey limestone, amber arches, turquoise water, night blue","long lateral drone track along the top channel","10-12","Unbuilt No. 021 · AI concept","Swim the full length or pick an arch to sleep in?","Reichweite/Follows","neoclassical 1,63 (n=29) und Cover water_feature 1,09 (n=167) (Digest-Segment); KI pool 1,16 (n=23, 04-DB)","Länge: 10 s vs. 18 s","B (Woche 3–4)"
"C022","Unbuilt No. 022 – The Waterfall Staircase","P1 Impossible Homes","Inside this house, a waterfall runs down the stairs with you.","Grand stair with a warm-lit indoor waterfall cascading beside it; figure halfway down","stairs_hall","none (interior only)","warm_luxury","dark stone, brass rails, amber light, white water","slow pedestal down alongside the water","8-10","Unbuilt No. 022 · AI concept","Relaxing or too loud to sleep? Vote.","B2B-Showcase Innenarchitektur (q06)","KI stairs_hall 2,24 (n=16, 04-DB); Cover water_feature 1,09 (n=167, Digest-Segment; innerhalb Accounts aber −12 Pp in Top-10 %)","Audio: Wassergeräusch vs. Musik","B (Woche 3–4)"
"C023","Unbuilt No. 023 – Hanging Gardens, Livable","P1 Impossible Homes","What if the ancient hanging gardens were somewhere you could live?","Stepped villa overflowing with lit greenery at night, water trickling between levels, figure on a balcony","garden_landscape + terrace_outdoor","none (fictional river plain)","tropical + warm_luxury","sandstone, lush green, lantern amber, night blue","slow crane up the tiers","10-12","Unbuilt No. 023 · AI concept","Which level is your bedroom?","Pflanzen/Outdoor-'similar items' (q02)","KI garden_landscape 1,61 (n=43), KI tropical 1,70 (n=20), KI Curiosity-Hook 1,50 (n=67) (04-DB)","Hook: What-if-Frage vs. Statement","B (Woche 3–4)"
"C024","Unbuilt No. 024 – The Lagoon Rooms","P1 Impossible Homes","Every room is its own island. The hallway is water.","Lit pavilions scattered across a shallow glowing lagoon; figure hopping stepping stones","other (pavilions) + pool","ocean_beach (fictional lagoon)","tropical + minimalist","bleached timber, turquoise water, amber lanterns, night blue","high drone pull-back revealing all islands","10-12","Unbuilt No. 024 · AI concept","Which island is the bedroom?","Reichweite; Outdoor-Leuchten-'similar items' (q02)","KI ocean_beach 1,81 (n=26, 04-DB); Cover water_feature 1,09 (n=167, Digest-Segment); KI mit Personen 1,68× (p≈0,02, Digest Key contrasts)","Kamera: Pull-back-Reveal vs. Push-in","A (Start, Woche 1–2)"
"C025","Unbuilt No. 025 – The Summit Pool Tower","P1 Impossible Homes","The tower is carved out of the mountain. The pool is the summit.","Warm-lit pool glowing at the summit of a mountain-carved tower; swimmer silhouette","pool + exterior_facade","mountain summit (fictional)","futuristic + warm_luxury","granite, amber light, turquoise pool, night blue","orbiting drone rise to the summit","8-10","Unbuilt No. 025 · AI concept","Would you swim at the summit?","Reichweite/Follows","KI mountain 1,72 (n=33), KI pool 1,16 (n=23), KI unusual_structure 1,10 (n=98) (04-DB)","Ende: Loop vs. Rückfahrt in die Nacht","B (Woche 3–4)"
"C026","Unbuilt No. 026 – The Bath in the Bridge Arch","P1 Impossible Homes","The bathroom lives inside the arch of a stone bridge.","Warm-lit tub set inside a massive stone arch above a dark river; robed figure","bathroom","lake_river (fictional)","neoclassical + warm_luxury","limestone, brass, amber, river reflections","slow push-in along the river toward the arch","8-10","Unbuilt No. 026 · AI concept","Would you bathe above a river?","Bad-'similar items' (freistehende Wanne – q02)","KI bathroom 1,45 (n=28, 04-DB); bathroom gesamt 1,43 (n=60), neoclassical 1,63 (n=29) (Digest-Segment)","Figur: mit vs. ohne","B (Woche 3–4)"
"C027","Unbuilt No. 027 – The Monastery Home in the Clouds","P1 Impossible Homes","A mountain monastery, reimagined as one family's home.","Ridge-top monastery glowing warm above a layer of cloud; figure on a courtyard wall","exterior_facade + other (courtyard)","mountain (fictional ridge, Himalaya-inspired)","traditional_regional","whitewashed walls, timber, saffron-amber lights, night blue","slow drone drift above the clouds toward the courtyard","10-12","Unbuilt No. 027 · AI concept","Would you trade the city for this?","Reichweite/Follows","traditional_regional 1,33 (n=111, Digest-Segment; Stil-Kruskal n.s.); KI mountain 1,72 (n=33, 04-DB)","Stil: traditional_regional vs. warm_luxury","C (Test/Backlog)"
"C028","Unbuilt No. 028 – The Stepwell House","P1 Impossible Homes","A house built like a stepwell: you walk down to get home.","Geometric stone steps descending around a lit sunken courtyard pool; figure mid-descent","stairs_hall + pool","India-inspired (concept, fictional)","traditional_regional + warm_luxury","sandstone, turquoise water, brass lanterns, night blue","slow rotating top-down descent","10-12","Unbuilt No. 028 · AI concept · India-inspired","How many steps to the water? Guess.","Reichweite; B2B-Showcase (q06)","India adj 1,95 (n=48, v. a. reale Designer-Accounts; Location-Kruskal n.s., Digest-Segment); KI stairs_hall 2,24 (n=16, 04-DB)","Kamera: Top-down-Rotation vs. Augenhöhe","A (Start, Woche 1–2)"
"C029","Unbuilt No. 029 – The Floating Rock House","P1 Impossible Homes","Gravity: optional. Sofa: included.","House on a floating boulder above a still lake, warm windows mirrored below, figure on the edge","exterior_facade + living_room","lake_river (fictional)","futuristic + warm_luxury","dark rock, amber glow, mirror-still lake, night blue","slow orbit with the reflection in frame","8-10","Unbuilt No. 029 · AI concept","Comment FLOAT for the similar sofa list (similar, not exact).","Kommentar-Keyword→DM Similar-Items (q02) – Hybrid 'impossible places, possible furniture'","fantasy_impossible adj 2,10 (n=62), aber zu 95 % low shoppability (Digest Fantasy vs. realistic); Shoppability high 0,98 (n=530) vs. low 0,97 (n=1.217) = 1,01×, p=0,91 (Digest Key contrasts) → Hybrid-Hypothese testen","CTA: Kommentar-Keyword vs. keine CTA","A (Start, Woche 1–2)"
"C030","Unbuilt No. 030 – The Opening Dome","P1 Impossible Homes","At night the roof slides open and the bedroom becomes an observatory.","Dome roof sliding open above a warm-lit bed; figure lying back looking at the stars","bedroom (nur mit Fantasy-Mechanik)","mountain (fictional, dark-sky site)","mid_century + warm_luxury","walnut, brass, cream linen, star-lit night blue","static top-down, then slow rise out through the opening","8-10","Unbuilt No. 030 · AI concept","Roof open or roof closed tonight? Pick one.","Bettwäsche/Leuchten-'similar items' (q02)","KI bedroom nur 0,77 (n=110, 04-DB) → Schlafzimmer nur mit Fantasy-Mechanik; innerhalb Accounts bedroom +15 Pp und stars +4,5 Pp in Top-10 % (Digest-Within, 25 Accounts; Top-10 % = 28 Reels, kleine n); Abweichung vom Brief (Bedrooms nur als Choice-Format) → Choice-CTA, explorativ","Kamera: statisch vs. Rise","B (Woche 3–4)"
"C031","Unbuilt No. 031 – The Canyon Stair House","P1 Impossible Homes","Every floor steps one level closer to the river.","Stepped lit volumes cascading down a canyon wall to a river; figure on the lowest deck","exterior_facade + terrace_outdoor","cliff / canyon (fictional)","warm_luxury","red-sand rock, amber windows, dark river, night blue","descending drone glide along the steps","10-12","Unbuilt No. 031 · AI concept","Top floor or river floor?","Reichweite","Gegenevidenz-Test: KI cliff 0,48 (n=35, 04-DB), cliff gesamt 0,89 (n=46, Digest-Segment) → nur als Test gegen C015 (mountain)","Setting: cliff vs. mountain (C015)","C (Test/Backlog)"
"C032","Unbuilt No. 032 – The Sea-Floor Lounge","P1 Impossible Homes","The living room is on the sea floor. The front door is a lift.","Warm-lit glass-dome lounge on a dark sea floor, fish silhouettes, figure on the sofa","living_room","underwater (fictional)","futuristic + warm_luxury","amber interior, deep teal water, brass","slow descent from the surface to the dome","10-12","Unbuilt No. 032 · AI concept","Would you last a week down here?","Reichweite","Gegenevidenz-Test: underwater 0,39 (n=14, low confidence, Digest-Segment), KI 0,39 (n=7, low, 04-DB); teal 0,76 (n=60) → nur 1 Test, bei Flop streichen","Setting: underwater vs. above-clouds (C008)","C (Test/Backlog)"
"C033","Unbuilt No. 033 – The Garden Staircase","P1 Impossible Homes","The garden is the staircase. The front door is at the top.","Monumental exterior stair lined with lit planted terraces; figure climbing toward a glowing pavilion","stairs_hall + garden_landscape","mountain slope (fictional)","warm_luxury + tropical planting","travertine, lush green, lantern amber, night blue","slow crane up the stair axis","10-12","Unbuilt No. 033 · AI concept","Worth the climb? Yes or no.","Outdoor-/Pflanzgefäße-'similar items' (q02); B2B-Landschaftsbau (q06)","KI stairs_hall 2,24 (n=16) + KI garden_landscape 1,61 (n=43) (04-DB); KI Outdoor/Bad/Treppe/Pool-Gruppe 2,07×, p<0,001 (post-hoc, Digest Key contrasts)","Kamera: Crane-up vs. Follow hinter der Figur","A (Start, Woche 1–2)"
"C034","Unbuilt No. 034 – The Monolith Bath","P1 Impossible Homes","One block of stone. The bath is carved into the top.","Massive warm-lit stone monolith on a plain, steam rising from a carved tub on top, figure silhouetted","bathroom","none (open plain, fictional)","minimalist","travertine, amber, star-lit night blue","slow rise up the monolith face to the tub","8-10","Unbuilt No. 034 · AI concept","How do you get up there? Wrong answers welcome.","Reichweite/Kommentare","KI bathroom 1,45 (n=28, 04-DB); minimalist 1,22 (n=167, Digest-Segment; Stil-Kruskal n.s.)","Hook: Statement vs. Frage","B (Woche 3–4)"
"C035","Unbuilt Recap – Three Homes Nobody Has Built","P1 Impossible Homes","Three homes nobody has built yet. You keep one.","Strongest past Unbuilt already mid-reveal in frame one","mixed (recap of P1 assets)","fictional (various)","warm_luxury","series palette: travertine, walnut, brass + night blue","three single takes, hard cuts, no zooms","12-15","1 / 2 / 3 · AI concepts","Keep 1, 2 or 3?","Reichweite; Recycling bestehender Assets","YT-Proxy: viele Schnitte Kanal-Index 0,40 vs. wenig Bildwechsel 1,67 (je n=73, konfundiert mit Dauer, Digest-YT) → Montage nur als Test; Choice Kommentare/View 5,67× (Digest Key contrasts)","Tempo: 3 Takes vs. 1 Take (Vergleich mit Einzel-Reveal)","C (Test/Backlog)"
"C036","Pick One – The Staircase","P2 Pick One","Same house, three staircases. You only get one.","Staircase 1 (floating stone) already lit with a figure on it, small '1' in the corner","stairs_hall","none (interior)","warm_luxury / futuristic / neoclassical (je Variante)","travertine, walnut, brass; night-lit","identical slow push-in per variant, sequential (no split screen)","10-12","1 / 2 / 3 (small, corner)","Comment 1, 2 or 3.","Kommentar-Keyword→DM Similar-Items zu Geländer/Leuchten (q02)","Choice-Hook Kommentare/View 5,67× (n=39, p<0,001), Views 1,65× n.s. (p≈0,05) (Digest Key contrasts); KI stairs_hall 2,24 (n=16, 04-DB)","Anzahl Varianten: 3 vs. 4","A (Start, Woche 1–2)"
"C037","Pick One – The Bathtub","P2 Pick One","Three bathtubs, three impossible places. Pick where you soak.","Tub 1 (carved into rock) steaming under warm light, robed figure stepping in, '1' in the corner","bathroom","fictional (rock / terrace / skylight hall)","warm_luxury","travertine, brass, amber, night blue","same framing per variant, slow push-in, sequential","10-12","1 / 2 / 3","Comment 1, 2 or 3.","Bad-'similar items' (Wanne/Armatur) per DM (q02)","KI bathroom 1,45 (n=28) und KI Choice-Hook 1,37 (n=25) (04-DB); Choice Kommentare/View 5,67× (Digest Key contrasts)","Reveal-Reihenfolge: stärkste Variante zuerst vs. zuletzt","A (Start, Woche 1–2)"
"C038","Pick One – Where You Sleep Tonight","P2 Pick One","Treehouse, cloud tower or underground garden: where do you sleep tonight?","Bed 1 in a treehouse, lanterns on, figure pulling back the covers, '1' in the corner","bedroom","fictional (forest / above clouds / underground)","warm_luxury / mid_century / tropical","walnut, cream linen, amber, night blue","static wide per variant, about 3 s each, sequential","9-12","1 / 2 / 3","Comment 1, 2 or 3.","Bettwäsche/Leuchten-'similar items' (q02)","KI bedroom nur 0,77 (n=110, 04-DB) → nur als Choice-Format (Brief); innerhalb Accounts bedroom +15 Pp in Top-10 % (Digest-Within, 25 Accounts)","Kamera: statisch vs. langsamer Push-in","A (Start, Woche 1–2)"
"C039","Pick One – The Pool","P2 Pick One","Mountain roof, lagoon or cave. Pick your pool.","Pool 1 on a mountain summit glowing at night, swimmer at the edge, '1' in the corner","pool","fictional (mountain / lagoon / cave)","warm_luxury / tropical / futuristic","turquoise glow, warm stone, night blue","same slow drone push per variant","10-12","1 / 2 / 3","Comment 1, 2 or 3.","Pool-/Outdoor-'similar items' (q02); B2B-Poolbau-Lead (q06)","KI pool 1,16 (n=23, 04-DB); Topic-Gruppe pool reel-level adj 1,19 (n=68, Digest Topic groups)","Setting-Mix vs. gleiches Setting in 3 Stilen","B (Woche 3–4)"
"C040","Pick One – The Reading Nook","P2 Pick One","Under the stairs, inside the wall or up in a tree. Pick your nook.","Nook 1 glowing under a stone staircase, figure with a book","other (reading nook) + stairs_hall","none (interior)","mid_century / warm_luxury / traditional_regional","walnut, cream boucle, brass lamp, amber","slow push-in per variant","9-12","1 / 2 / 3","Comment 1, 2 or 3.","Sessel/Leuchten-'similar items' per DM (q02)","mid_century 1,50 (n=29), office/library 1,22 (n=25) (Digest-Segment, n.s.); Fensterblick 0,70× (p≈0,02, Digest Key contrasts) → Nischen ohne Fenster-Klischee; leather 0,73 (n=110) → kein Leder","Figur: mit Buch vs. leerer Raum","B (Woche 3–4)"
