shortcode,handle,meta_status,visual_status,media_type,followers_text,followers_at_fetch,posts_at_fetch,likes,comments,caption_len,caption_hashtags,caption_has_question,caption_emojis,caption_mentions,caption_link_hint,caption_comment_cta,caption,coder,source_file,room_primary,building_type,landscape,style_primary,style_secondary,palette_temp,brightness,lighting,view_through_window,people_present,cover_text,realism,production,production_evidence,shoppability,visual_quality,notable,caption_hook_category,caption_first_line,cta_type,location_claimed,price_claimed,ai_disclosed,account_kind_hint,language,rooms_visible,dominant_colors,materials,ambience_fx,cover_hooks
DQZn8KpgKe4,loyalconstructionga,ok,ok,reel,14K followers,14000,392,1792,29,1103,17,True,7,0,False,False,"🌿 Where Nature Meets Modern Design: The 2026 Vision for Inspiring Interiors  Are you ready to transform your home into an oasis of organic and modern design?  ✨ Welcome to the 2026 Vision , where natural elegance fuses with contemporary sophistication.  Redefine Your Space in 2026 with:  1️⃣Nature-Inspired Shapes 🍃  2️⃣Soft, Inviting Textures ☁️  3️⃣Calming Neutral Tones that balance and soothe 🤍  From minimalist wood accents to sculptural stone details and fluid architectural lines, every element is meticulously designed to bring life and harmony to your home. 🏡 Embrace innovative design ideas that turn everyday living into a form of art!  Discover How We Turn These Inspiring Concepts into Reality  Every detail is crafted just for you.  👉 Tap the link in our bio for exclusive interior design tips and transformations!  #OrganicDesign #InteriorInspiration #HomeDecor #2026Vision #ModernDesign #OrganicDesign #ModernInteriors #DesignTrends2026 #InteriorDesignInspo #LuxuryRemodel #BiophilicDesign #HomeDesignIdeas #ModernArchitecture #SustainableInteriors #InteriorDesign #HomeDecor #DreamHome",cover-v2-embed,cover_p1a_000.json,stairs_hall,none_visible,none,organic_modern,mediterranean,warm,bright,daylight,False,False,ORGANIC MODERN Inspiration,aspirational_realistic,unclear,"soft low-res Pinterest-style still; left steel door frame reads ladder-like/incoherent, possible AI but not disclosed",medium,medium,"Plaster archway with black steel glass door, olive trees, wood beams and a candle chandelier framing a layered arch-within-arch vista.",aspirational,🌿 Where Nature Meets Modern Design: The 2026 Vision for Inspiring Interiors,link_in_bio,,,False,contractor_trade,en,stairs_hall,white;beige;black;brown,plaster;wood;natural_stone;glass;metal;plants;fabric,none,text_overlay;door_or_threshold
DVl-qpzDfjP,nuspace.interiorss,removed,no_cover,unknown,,,,,,0,0,False,0,0,False,False,,cover-v2-embed,cover_p1a_000.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQzx59pEsqO,lisi.quietdiaries,ok,ok,reel,153K followers,153000,128,1956353,2614,60,3,False,0,0,False,False,a quiet life feels like home #aesthetic #quietlife #slowlife,cover-v2-embed,cover_p1a_001.json,living_room,none_visible,none,minimalist,,warm,dark,night_artificial,False,True,a quiet life,real_existing,real_footage,real camera footage with low-light noise and a natural candid pose,medium,high,Moody night shot of a woman in an oversized sweater sipping a drink on the carpet by sheer-curtained windows; it sells a cozy feeling more than a room.,aspirational,a quiet life feels like home #aesthetic #quietlife #slowlife,none,,,False,lifestyle_influencer,en,living_room,beige;brown;black;white,fabric;plants;rattan;glass,none,text_overlay;person
DSkATNfk26Q,buttercreme.home,ok,ok,reel,4K followers,4000,147,525,102,406,5,False,1,0,False,False,a walkthrough of our warm minimalist home 🤍 . . . . . . . home tour | minimalist home | cream minimalist | neutral home aesthetic | soft tones | warm and cozy home | our first home | girl and boy apartment | home renovation | home inspo | home tour | home vibes | small apartment | interior design | slow living | soft mornings | bright and airy home  #sgbto #homedecor #sghomes #interiordesign #minimalist,cover-v2-embed,cover_p1a_001.json,living_room,none_visible,none,minimalist,,warm,bright,mixed,False,False,WARM MINIMALIST HOME TOUR,real_existing,real_footage,smartphone footage of a real apartment with natural perspective and lighting,high,medium,"Calm cream living room with floor-to-ceiling sheer curtains, cove lighting and cylinder side tables, under a serif title that names the trending 'warm minimalist' look.",descriptive,a walkthrough of our warm minimalist home 🤍,none,,,False,lifestyle_influencer,en,living_room,white;beige;grey;black,fabric;plaster;glass,none,text_overlay
DTDCwQUCOof,nemoza_interiors,ok,ok,reel,96K followers,96000,466,348,13,893,5,True,3,0,False,True,"Is your home passive... or is it alive? 🌿  Welcome to the era of Integrated Biophilia. We are moving past the ""potted plant"" phase of design and entering the age of Living Architecture.  In this concept, the boundaries between nature and structure dissolve: 1️⃣ The Kitchen: Cabinetry replaced by active hydroponic walls that purify the air and provide food. 2️⃣ The Bath: A ""Grotto"" concept using raw stone and steam-loving moss to lower heart rate. 3️⃣ The Lounge: Fractal ceiling beams mimicking a forest canopy to reduce cognitive fatigue. This isn't just aesthetic; it's Neuroarchitecture. It's design that actively heals.  Which space lowers your stress levels the most? A. The Living Kitchen B. The Stone Grotto C. The Forest Lounge  👇 Drop a letter below. Save this for your dream home mood board. 📌  #biophilicdesign #bangaloreinteriors #dreamhome #luxuryinteriors #sustainabledesigns",cover-v2-embed,cover_p1a_001.json,kitchen,none_visible,jungle_tropical,biophilic,organic_modern,warm,medium,daylight,True,False,Nature is the new luxury in interiors,stylized_dreamy,ai_generated,"typical AI-image look: over-smoothed textures, a monolithic island that melts stone into live-edge wood, generic foliage; caption calls it 'this concept'",low,medium,"Kitchen with shelves of living plants and a boulder-like stone and wood island under a skylight, opening onto lush greenery; a green 'nature is luxury' fantasy.",question,Is your home passive... or is it alive? 🌿,question_engagement,Bangalore,,False,designer_studio,en,kitchen,green;brown;beige;yellow,wood;natural_stone;glass;plants;metal,none,text_overlay;view_reveal
DU9dD8WDtvp,clearcreekcollective,removed,no_cover,unknown,,,,,,0,0,False,0,0,False,False,,cover-v2-embed,cover_p1a_001.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC9jCIkN74C,diotti.com_interiors,ok,ok,reel,15K followers,15000,795,196,,615,12,True,0,0,False,False,"How to furnish home in industrial style? 5 practical tips for a home / loft inspired by the look of factory and warehouse. 1. Furniture: simple, bare-bone furnishings 2. Material: rough, old and raw 3. Colours: dark, natural shades, metallic colours 4. Accessories: vintage, typical industrial accessories 5. Lighting: lights which recall a factory What do you think? Write it in the comments. . . . #industrialstyle #industrialdesign #industrialinterior #industrialfurniture #industrialdecor #industrialhome #industrialstylefurniture #industrialstyledecor #industrialstyleinterior #interiorstyle #diotti #diotticom",cover-v2-embed,cover_p1a_001.json,living_room,none_visible,none,industrial,,warm,medium,daylight,False,False,but you don't know how?,aspirational_realistic,ai_generated,"AI-image look: overly clean surfaces, soft generic detail and slightly incoherent shelving and window mullions, no camera noise",medium,medium,"Double-height warehouse loft with steel beams, factory windows and twin cognac chesterfields; the mid-sentence subtitle 'but you don't know how?' sets up a how-to.",instructional,How to furnish home in industrial style? 5 practical tips for a home / loft inspired by the look of factory and warehous,question_engagement,,,False,brand_manufacturer,en,living_room;kitchen,grey;brown;beige;black,metal;leather;concrete;glass;wood;plants,none,text_overlay;dramatic_scale
DS25S1ojBv8,tarakanovadesign,ok,ok,reel,347K followers,347000,3725,371774,187,288,5,False,0,0,False,False,"Гостиная — это пространство, в котором вечер замедляется. #tarakanovadesign #dianatarakanova #гостиная #премиуминтерьер #тихаяроскошь интерьерснастроением неоклассика архитектураинтерьера светвинтерьере пространстводляжизни interiordesign luxuryinterior interiorarchitecture interiorinspo",cover-v2-embed,cover_p1a_001.json,living_room,none_visible,none,neoclassical,classical_luxury,warm,medium,night_artificial,False,False,,real_existing,real_footage,handheld phone footage with wide-lens distortion and low-light noise,medium,medium,"Lamp-lit evening walk-through of a neoclassical living room with a tufted cream sofa and moulded ceiling, looking through glazed French doors to a chandelier-lit dining room.",aspirational,"Гостиная — это пространство, в котором вечер замедляется.",none,,,False,designer_studio,ru,living_room;dining,beige;brown;white;gold,wood;fabric;glass;metal,none,door_or_threshold
DbvGuZ_xYxg,briarandlinen,ok,ok,reel,21K followers,21000,98,8827,51,378,5,False,0,0,False,False,"Some homes never go out of style. From grand entryways and richly layered living spaces to elegant kitchens, luxurious baths, and timeless bedrooms, every detail is designed to feel warm, refined, and collected. It's a style built on beautiful craftsmanship, classic materials, and enduring elegance. #moderntraditional #luxuryhomes #interiordesign #homedecor #designerinteriors",cover-v2-embed,cover_p1a_001.json,stairs_hall,house,none,classical_luxury,,warm,medium,mixed,False,False,Timeless Luxury,aspirational_realistic,ai_generated,"AI-image look: over-perfect symmetry, garbled wall art and sconce details, uniformly glossy textures",medium,high,"Symmetrical black-trimmed archway framing a dining room, with herringbone floors, a lantern chandelier and a black-and-white staircase; a polished 'timeless luxury' entry shot.",aspirational,"Some homes never go out of style. From grand entryways and richly layered living spaces to elegant kitchens, luxurious b",none,,,False,theme_page,en,stairs_hall;dining,black;white;brown;beige,wood;leather;metal;fabric;plants,none,text_overlay;door_or_threshold
DVlteM0ErvJ,ekastudiobysana,ok,ok,reel,128K followers,128000,385,5839,1531,1084,0,False,1,0,False,True,"Comment ""EKA"" to get the Interior Design Styles PDF guide.  Interior design styles every design lover should know ✨  From Minimalist and Scandinavian to Art Deco, Japandi and Wabi-Sabi, each interior design style has its own story, mood and personality. Understanding these styles helps you design spaces that feel intentional, timeless and truly beautiful.  Whether you're an architect, interior designer, or someone who loves home decor inspiration, knowing these styles will completely change how you see spaces.  Save this reel so you always have these interior design styles handy when designing your next space.  [interior design styles, interior design inspiration, home decor inspiration, luxury interior design, modern interior design, minimalist interior design, scandinavian interior design, japandi interior design, art deco interiors, wabi sabi interiors, contemporary interior design, home design ideas, architecture inspiration, luxury home interiors, interior styling, home decor ideas, designer homes, modern home decor, interior design guide, interior design trends]",cover-v2-embed,cover_p1a_001.json,living_room,none_visible,forest,organic_modern,modern_luxury,neutral,medium,mixed,False,True,Interior Styles,aspirational_realistic,unclear,real creator footage (talking head) composited over a render/AI-looking interior background,medium,medium,Educator talking head green-screened over a luxe stone-fireplace living room under a bold yellow and white 'Interior Styles' title; a classic edu-reel cover.,promotional,"Comment ""EKA"" to get the Interior Design Styles PDF guide.",comment_keyword,,,False,designer_studio,en,living_room,beige;grey;brown;white,natural_stone;wood;glass;metal;fabric;fire,fireplace,text_overlay;person
DYFX94PpG8R,dhrh_construction,ok,ok,reel,125K followers,125000,187,1410,21,317,5,True,1,0,True,False,Modern Mediterranean ✨ Is there anything in this reel inspiring your future home? Let us know in the comments below.  Now booking custom homes & remodels for 2027. Book your complimentary consultation through the link in bio.  #ModernMediterranean #SantaBarbaraHomes #LuxuryHomeDesign #HomeRemodel #mediterraneanstyle,cover-v2-embed,cover_p1a_001.json,exterior_facade,villa,desert,mediterranean,minimalist,neutral,bright,daylight,True,False,MODERN Mediterranean,aspirational_realistic,unclear,"photographic look with convincing pool reflection, but the source of this inspiration compilation is not stated",low,high,"White arched stucco facade with steel-framed glass doors, reflected in a green-blue pool with sculptural desert plants and a large clay urn; a calm, editorial Mediterranean mood.",descriptive,Modern Mediterranean ✨ Is there anything in this reel inspiring your future home? Let us know in the comments below.,link_in_bio,Santa Barbara,,False,contractor_trade,en,exterior_facade;pool;terrace_outdoor,white;beige;green;brown,plaster;water;glass;metal;wood;plants,none,text_overlay;exterior_reveal;pool;door_or_threshold
DJ7w5V1xje3,explore_home_inspo,removed,no_cover,unknown,,,,,,0,0,False,0,0,False,False,,cover-v2-embed,cover_p1a_001.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUoWEaHEZ5U,casatropicaltulum,ok,ok,reel,15K followers,15000,166,10888,24,383,0,False,0,0,False,True,"If this feels like your kind of stay, comment ""VILLA"" and we'll send you the details. Welcome to Casa Tropical a private, eco-conscious villa located in Tulum, designed to live in harmony with its natural surroundings. The home features 4 bedrooms and comfortably accommodates up to 10 guests, making it ideal for families or groups seeking privacy, space and connection with nature.",cover-v2-embed,cover_p1a_001.json,exterior_facade,villa,jungle_tropical,tropical,organic_modern,warm,bright,daylight,False,True,the front door,real_existing,real_footage,"real phone footage of a person at the villa entrance, natural daylight",low,high,Barefoot host waving in front of a tall timber front door framed by lush tropical plants and blue sky; a personal 'the tour starts here' opener.,promotional,"If this feels like your kind of stay, comment ""VILLA"" and we'll send you the details. Welcome to Casa Tropical a private",comment_keyword,Tulum,,False,real_estate,en,exterior_facade;garden_landscape,green;beige;brown;blue,wood;plaster;plants;concrete,none,text_overlay;person;door_or_threshold;exterior_reveal
DLcijPxNikv,miladeshtiyaghi,ok,ok,reel,642K followers,642000,1709,,176,1376,12,True,14,1,False,False,"🌿 Welcome to the Jungle Home Not just a house — a sanctuary rooted in the heart of the forest. This retreat doesn't sit on the land. It breathes with it.  Designed to harmonize with its tropical surroundings, this architectural escape merges raw natural elements with serene, intentional living.  🪵 Crafted from the Earth: stone, wood, water, and soul. 💧 A cascading water stair flows from top to bottom, connecting every level like a living vein. 🌱 Native plants flourish among tiered ponds and tranquil walkways. 🏡 Warm interiors glow softly under wide overhangs — always open, always in touch with the trees.  Inspired by organic architecture and tropical modernism, this home doesn't intrude on the landscape — it becomes part of it.  Every element — from material choices to the flow of light and water — was selected to create balance, calm the spirit, and reconnect you with the rhythms of the natural world. 🌞🌧️🌀  📐 Designed for peace. 🌎 Built sustainably. ✨ Meant to dissolve into the green.  This is more than architecture. This is living with nature.  Jungle House 🌱🤎🪵 Architect & Interior Designer: @miladeshtiyaghi  Which element speaks to you most?  #JungleHouse #BiophilicDesign #TropicalModernism #DesignInNature #SustainableArchitecture #ModernSanctuary #ZenArchitecture #InteriorInspiration #OrganicDesign #LiveWithNature #DesignThatHeals #ArchitectureLovers",cover-v2-embed,cover_p1a_001.json,exterior_facade,house,jungle_tropical,biophilic,tropical,warm,medium,mixed,False,False,,stylized_dreamy,ai_generated,"Midjourney-style image: idealized painterly foliage, cantilevered slabs merging into moss rocks, too-perfect composition",low,high,"Cantilevered glass house set into dense jungle, with a small waterfall spilling into a mossy pond and warm interior lamps glowing; lush dream-home escapism.",aspirational,🌿 Welcome to the Jungle Home,question_engagement,,,False,designer_studio,en,exterior_facade;garden_landscape;living_room,green;brown;grey;beige,wood;natural_stone;glass;water;plants,none,exterior_reveal;water_feature;unusual_architecture
DYmzKjXta1v,mednikovadesign,ok,ok,reel,20K followers,20000,21,16489,109,75,5,False,0,0,False,False,#designinteriors #designdubai #interiordesign #studiodesign #dubaiinteriors,cover-v2-embed,cover_p1a_002.json,living_room,none_visible,none,art_deco,,warm,medium,mixed,False,True,Art Deco,aspirational_realistic,ai_generated,"4-panel collage of interiors with typical AI-image look (pseudo-script rug pattern, generic idealized art/furnishings); real presenter footage overlaid; no AI mention in caption",medium,high,Designer talking-head explainer over a 4-panel Art Deco mood collage with a large 'Art Deco' label - educational style-guide format.,none,#designinteriors #designdubai #interiordesign #studiodesign #dubaiinteriors,none,Dubai,,False,designer_studio,en,living_room;bedroom,beige;brown;gold;black,wood;leather;fabric;metal;glass;plants,none,text_overlay;person
DbXmQ4LqfbJ,eloisepreen,removed,no_cover,unknown,,,,,,0,0,False,0,0,False,False,,cover-v2-embed,cover_p1a_002.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZHvTL7thqm,abeastinside,ok,ok,reel,182K followers,182000,2052,129866,363,33,0,False,0,0,False,False,i feel lost in the Cyberpunk city,cover-v2-embed,cover_p1a_002.json,other,none_visible,city_skyline,cyberpunk,futuristic,cool,dark,night_artificial,False,True,,real_existing,real_footage,"photographic night skyline with coherent LED facades and street-level signage, heavy blue color grading; no AI mention in caption",low,high,"Lone figure crouching on a rooftop ledge with a red light above a neon-blue skyscraper canyon - cinematic cyberpunk mood, no interior at all.",pov,i feel lost in the Cyberpunk city,none,,,False,theme_page,en,other,blue;black;red;white,glass;concrete,city_lights,person;view_reveal;dramatic_scale
DUqxZBfEmhR,tuesday_leroux,ok,ok,reel,1M followers,1000000,402,306512,4213,99,3,True,0,2,False,False,$41M Mansion with a Cinema! Thoughts? . @vipluxuryhomesuae @eddiecavella #mansion #luxury #property,cover-v2-embed,cover_p1a_002.json,pool,mansion,none,modern_luxury,minimalist,neutral,bright,daylight,False,True,,real_existing,real_footage,"wide-angle phone footage with real presenter, natural sunlight, water ripples and real shadows",low,high,Presenter posing arms-wide on stepping stones across a reflecting pool in front of a travertine-clad modern mansion - bright 'welcome to the mansion' shot.,money,$41M Mansion with a Cinema! Thoughts?,question_engagement,,$41M,False,lifestyle_influencer,en,pool;terrace_outdoor;exterior_facade;garden_landscape,beige;white;blue;green,natural_stone;water;wood;glass;plants,none,person;pool;water_feature;exterior_reveal
DZ5u1gbI4fE,luxuryhouseview,ok,ok,reel,389K followers,389000,961,5675,28,136,4,False,3,0,False,False,Such A Home Where luxury meets starlight and every corner feels like a dream. ✨💎🌙 #LuxuryVibes #HomeAesthetic #Beautiful Homes #cozyhome,cover-v2-embed,cover_p1a_002.json,living_room,none_visible,none,modern_luxury,,warm,medium,night_artificial,False,False,@Luxuryhouseview,stylized_dreamy,3d_render,"clean CG interior render look (flawless gold-veined marble, uniform cove lighting) with added sparkle particle effects; no AI mention in caption",medium,medium,"Glossy gold-veined marble living room render with a star-field ceiling, sparkle particles and a linear fireplace - dreamy 'starlight luxury' feel.",aspirational,Such A Home Where luxury meets starlight and every corner feels like a dream. ✨💎🌙,none,,,False,theme_page,en,living_room,white;beige;gold;black,marble;glass;fire;fabric;plants,fireplace;stars,none
DaIsDsXNx78,ibuilddevelopers,ok,ok,reel,601K followers,601000,3909,52581,258,12,1,False,0,0,False,False,#sweetdreams,cover-v2-embed,cover_p1a_002.json,terrace_outdoor,house,none,modern_luxury,,warm,bright,daylight,False,False,,real_existing,real_footage,"handheld wide-angle phone footage (tilted horizon, lens distortion, rounded screen-capture corners), real sunlight and shadows",medium,medium,"Wide-angle walkthrough frame of a sunny backyard with redwood deck, covered outdoor kitchen/bar and open-plan house behind - real but generic, tilted framing.",none,#sweetdreams,none,,,False,contractor_trade,en,terrace_outdoor;exterior_facade;garden_landscape;living_room;kitchen,white;brown;blue;green,wood;glass;plaster;concrete;metal;fabric;plants,none,exterior_reveal
