channel,video_id,title,duration_sec,published,views,likes,comments,ch_index,bucket,visual_change,change_bucket
Isla | Interior Designer,54i_SsczV7Y,Aquarium Wall and Wine Storage — My House Tour,14,2026-09-17,42776,318.0,,0.06931996716797889,13-20s,15.75,low (static/slow)
Isla | Interior Designer,pcXlI6XwmJ0,My House Has a Dancing Pole and an Indoor Garden,14,2026-09-16,17561,88.0,,0.028458199537985725,13-20s,26.95,mid
Isla | Interior Designer,tzt-5s1oYrY,RenoMuse app designed a Shawarma Grill Machine and a Mini Golf,16,2026-09-15,201482,1410.0,,0.32650845392132793,13-20s,13.67,low (static/slow)
Vinarch Group Official,gvibCosKCvc,How to make your home secure 🔥 #interiordesign #interior #furniture #foryou #fyp #shorts,64,2025-12-13,76672760,748514.0,,14.196198584837887,30s+,38.7,high (cuts/fast)
Vinarch Group Official,KgO-ubTaqiU,#interiordesign #interior #furniture #furnituredesign #foryou #fyp #shorts,60,2026-08-09,42379904,597468.0,,7.846770263524693,30s+,49.24,high (cuts/fast)
Vinarch Group Official,fI4FrAtjYVc,Amazing concepts 🎥: @超人不会飞 #interiordesign #interior #furniture #furnituredesign #homedecor #shorts,17,2026-05-29,36467832,160818.0,,6.752131852701087,13-20s,27.87,mid
Vinarch Group Official,4UwFOEkcjn0,Amazing designs 💯 #furniture #furnituredesign #interiordesign #interior #foryou #fyp #shorts,36,2026-03-19,29865025,271236.0,,5.529601720886898,30s+,45.62,high (cuts/fast)
Vinarch Group Official,hQiCZeIAF5I,Space saving folding stair 🎥 江苏梯卫士阁楼梯工厂#interiordesign #interior #furniture #spacesaving #shorts,18,2026-06-13,8727881,42923.0,,1.6159941536059677,13-20s,23.66,low (static/slow)
Vinarch Group Official,6Xq4Jndj6uE,Sink designs 💯 #interiordesign #interior #furniture #furnituredesign #foryou #fyp #shorts,32,2026-07-16,6175273,27722.0,,1.1433708897865111,30s+,35.54,high (cuts/fast)
Vinarch Group Official,Vcra7Iiqc9c,Amazing designs💯 #interiordesign #interior #furniture #furnituredesign #creative #innovation #shorts,63,2026-06-08,6116397,104329.0,,1.132469816342945,30s+,29.55,mid
Vinarch Group Official,JrUg0Txm_l4,#interiordesign #interior #furniture #furnituredesign #architecture #foryou #fyp #shorts,62,2026-09-03,4685475,59877.0,,0.867530183657055,30s+,47.12,high (cuts/fast)
Vinarch Group Official,ubwjzHrwGCE,#interiordesign #interior #kitchen #kitchengadgets #furniture #kitchenappliance #foryou #fyp #shorts,81,2026-01-15,2184391,24984.0,,0.4044467477489087,30s+,42.28,high (cuts/fast)
Vinarch Group Official,lGDKOkpKBsE,These designs are completely secret 🤫 #interiordesign #interior #furniture #secrets #fyp #shorts,59,2026-01-10,727293,7121.0,,0.13466054772728284,30s+,37.75,high (cuts/fast)
Vinarch Group Official,q_SR-u4h7_I,Stair designs 💯 #architecture #interiordesign #interior #furniture #creative #foryou #fyp #shorts,74,2026-09-18,25400,399.0,,0.004702888536357402,30s+,26.33,mid
Vinarch Group Official,EIXMUkHep5U,Amazing designs 💯💯💯 #interiordesign #interior #furniture #furnituredesign #foryou #fyp #shorts,57,2026-07-26,474502,5802.0,,0.08785551245191574,30s+,51.49,high (cuts/fast)
Vinarch Group Official,H9F0BAzfJ-A,Amazing ideas 💯💯💯 (📽: 超人不会飞/Douyin) #interiordesign #interior #furniture #furnituredesign #shorts,16,2026-07-08,136861,1473.0,,0.02534023732182718,13-20s,26.52,mid
Vinarch Group Official,qrTlDNIUvHU,Incredibly creative furniture #interiordesign #interior #furniture #creative #foryou #fyp #shorts,59,2026-04-05,409160,3068.0,,0.07575723911559033,30s+,31.5,mid
UnrealLife,i5ot2RecvDw,Choose your dream bedroom 😴💤 #aesthetic #relatable #chill #vibes,15,2024-09-07,22610298,920817.0,,157.11743000687943,13-20s,33.12,high (cuts/fast)
UnrealLife,of5xFqBa1cY,Choose your dream bedroom🛏️😳 #vibes #chill #bedroom #aesthetic,16,2024-10-01,1900361,84054.0,,13.205479928009062,13-20s,42.06,high (cuts/fast)
UnrealLife,wRGN9nroHwo,Wich bedroom do you choose?💤😳 #vibes #chill #bedroom #aesthetic,16,2024-09-27,1423900,45979.0,,9.894584697061296,13-20s,33.13,high (cuts/fast)
UnrealLife,ZBJ19hYhutg,Choose your DREAM bedroom😴🛏️ #aesthetic #vibes #relatable #chill,15,2024-09-12,689478,50908.0,,4.7911359419625175,13-20s,23.51,low (static/slow)
UnrealLife,sRITGiBWk9M,Choose your dream bedroom 🛏️💭 #vibes #bedroom #chill #aesthetic,16,2024-09-28,428178,28832.0,,2.975379932873314,13-20s,29.55,mid
UnrealLife,JHkIBsXpPoU,Choose your dream bedroom 🛏️ #relatable #aesthetic #chill #vibes,12,2024-09-04,319595,21039.0,,2.220844017316739,9-12s,20.15,low (static/slow)
UnrealLife,nSbscUhsdoQ,Choose your dream bedroom 😴🛏️ #vibes #bedroom #aesthetic #chill,16,2024-10-12,311439,14856.0,,2.164168525506056,13-20s,17.3,low (static/slow)
UnrealLife,lypvRveNodg,Choose your dream bedroom😳💤 #vibes #chill #aesthetic #bedroom,16,2024-10-19,236925,14785.0,,1.646375784360733,13-20s,27.85,mid
UnrealLife,0KXLG7CSFFw,Choose your dream bedroom🛏️💤 Pt.27 #vibes #chill #bedroom #aesthetic,16,2024-09-26,219560,16723.0,,1.5257075750310964,13-20s,43.83,high (cuts/fast)
UnrealLife,IP6kf2iUWjY,Choose your dream bedroom💤 #aesthetic #vibes #chill,15,2024-09-11,213639,17550.0,,1.4845629469032082,13-20s,21.79,low (static/slow)
UnrealLife,2Qy1C42y2oI,Choose your dream bedroom 😴🛏️ #aesthetic #cozy #relatable #viral,15,2026-05-29,10579,381.0,,0.07351275476523032,13-20s,34.48,high (cuts/fast)
UnrealLife,8h2k3EKp904,Choose your dream bedroom 😴🛏️ #cozy #relatable #vibes #aesthetic,15,2026-05-28,9594,326.0,,0.06666805645312597,13-20s,19.6,low (static/slow)
UnrealLife,d_CqoUpZ_GM,Choose your dream bedroom 😴🛏️ #aesthetic #cozy #relatable #vibes,15,2026-05-27,12750,453.0,,0.08859888678104609,13-20s,25.63,mid
UnrealLife,5DyiLMQu68M,Choose your dream bedroom 😴🛏️ #aesthetic #cozy #relatable #vibes,15,2026-05-26,23288,737.0,,0.16182673532211775,13-20s,14.19,low (static/slow)
UnrealLife,tP3TXvIdbUg,Choose your dream bedroom 😴🛏️ #aesthetic #cozy #relatable #vibes,15,2026-05-25,74175,1487.0,,0.5154370530967917,13-20s,18.5,low (static/slow)
UnrealLife,AiJMvJiYmw4,Choose your dream bedroom 😴🛏️ #aesthetic #cozy #relatable #vibes,15,2026-05-25,19250,698.0,,0.13376694670863823,13-20s,27.97,mid
UnrealLife,NwGHZTv2VZc,Choose your dream bedroom 😴🛏️ #bedroom #relatable  #cozy #aesthetic,15,2026-05-24,23601,651.0,,0.16400175113093873,13-20s,28.09,mid
UnrealLife,tUXoCOSQU3M,Choose your dream bedroom 😴🛏️ #bedroom #cozy #aesthetic #relatable,15,2026-05-23,30144,714.0,,0.20946861514728263,13-20s,18.0,low (static/slow)
UnrealLife,lBZyDhbXXBQ,Choose your dream bedroom 😴🛏️ #bedroom #cozy #aesthetic #relatable,15,2026-05-21,26253,1005.0,,0.18243031958139633,13-20s,17.81,low (static/slow)
UnrealLife,VjMaKrjW1gg,Choose your dream bedroom 😴🛏️ #bedroom #cozy #aesthetic #relatable,15,2026-05-20,18574,720.0,,0.12906946847616863,13-20s,23.92,low (static/slow)
Dreamy Interior,ABCQ2EDzW7U,This Tiny Bedroom Transformation Is Genius #shorts,71,2026-07-11,32351336,407298.0,,15.702592082677164,30s+,32.15,mid
Dreamy Interior,lR68CsyPaSM,Smart Renovation Ideas For A Family Of 3 In A Small Apartment #shorts,78,2026-06-19,18200053,308552.0,,8.833885813621569,30s+,48.15,high (cuts/fast)
Dreamy Interior,mJm-Djq2iUk,A Tiny Home Designed For Comfortable Living #shorts,84,2026-06-26,13064255,242118.0,,6.341087957822687,30s+,60.14,high (cuts/fast)
Dreamy Interior,Rias-p0ruUA,This Clever Bedroom Design Creates Two Private Spaces #shorts,92,2026-05-20,12419322,292767.0,,6.028052359550726,30s+,23.9,low (static/slow)
Dreamy Interior,lUEarC0456Q,This Setup Turns One Room Into An Entire Living Space #shorts,101,2026-05-02,10602446,326454.0,,5.146182668209194,30s+,33.51,high (cuts/fast)
Dreamy Interior,Pff79HV9yKQ,The Perfect Small Bedroom Layout For Gaming Study & Storage #shorts,86,2026-04-25,9317812,154386.0,,4.522650963752294,30s+,24.02,low (static/slow)
Dreamy Interior,ZIA41R35c7Q,Perfect Bedroom Design For Siblings #shorts,77,2026-07-03,8252322,220398.0,,4.005486700793519,30s+,39.61,high (cuts/fast)
Dreamy Interior,-2YBC2vOkKk,Two Kids One Room? Genius Bedroom Design That Creates Privacy #shorts,77,2026-04-04,7256232,109704.0,,3.522007596634299,30s+,34.3,high (cuts/fast)
Dreamy Interior,DksNoEkKqXU,A 3㎡ Space Transformed Into A Luxury Home #shorts,97,2026-08-21,4665581,128131.0,,2.264565372870196,30s+,50.95,high (cuts/fast)
Dreamy Interior,_Vq-xYWO1BU,Tiny Room Transformed Into Study Gaming and Relaxation Zone #shorts,78,2026-04-10,3962979,70094.0,,1.9235385725404313,30s+,30.01,mid
Dreamy Interior,6D61H_KaFFQ,The Perfect Modern Bedroom Design For Small Spaces #shorts,85,2026-09-25,4286,282.0,,0.002080325513182959,30s+,31.19,mid
Dreamy Interior,WquYQzVWIoI,This Bedroom Is Small but Brilliantly Designed #shorts,77,2026-09-23,30309,1026.0,,0.014711289309160592,30s+,34.44,high (cuts/fast)
Dreamy Interior,WWmjIGLpaPM,A Tiny Room With A Surprisingly Big Transformation #shorts,72,2026-09-19,105553,2384.0,,0.05123299087564182,30s+,45.12,high (cuts/fast)
Dreamy Interior,EsIgvhcW3ps,The Perfect Bedroom Design For Growing Kids #shorts,80,2026-09-18,83105,2220.0,,0.04033724959707648,30s+,28.95,mid
Dreamy Interior,5TDlGBOwFPY,The Perfect Layout For A Tiny Bedroom #shorts,81,2026-09-16,80768,2122.0,,0.03920292371646318,30s+,43.64,high (cuts/fast)
Dreamy Interior,6cIXpyp7f2s,A Genius Renovation For A Tiny Bedroom #shorts,78,2026-09-12,123658,3207.0,,0.060020740156131194,30s+,35.22,high (cuts/fast)
Dreamy Interior,vEc0ZTi9mes,Brilliant Makeover Of A Tiny Family Home #shorts,91,2026-09-11,104289,2799.0,,0.050619474438716186,30s+,30.34,mid
Dreamy Interior,oFgk0F2dgNw,A Small Bedroom Transformed Into A Smart And Cozy Space #shorts,63,2026-09-09,62120,1644.0,,0.03015161476409832,30s+,36.0,high (cuts/fast)
Dreamy Interior,BJGhXIz9R3s,A Genius Makeover For A Small Bedroom #shorts,68,2026-09-05,76648,2568.0,,0.037203170773319506,30s+,32.6,mid
Dreamy Interior,-wDM4tqVLfY,This Living Room Makeover Is Surprisingly Practical #shorts,80,2026-09-04,157530,4807.0,,0.07646142745956871,30s+,36.9,high (cuts/fast)
Kou Yang,K8bDEG-n9Ak,Backyard Glow Up From Abandoned,22,2025-09-30,30278949,200474.0,,13.114568699574779,21-30s,25.01,mid
Kou Yang,Im_IxXzGtdk,Shocking Abandoned Backyard Renovation #adobefirefly #renovation #shorts,16,2025-08-25,18211681,104926.0,,7.887933679905492,13-20s,13.59,low (static/slow)
Kou Yang,llYawO4Esdk,Shocking House Transformation  #adobefirefly #homeimprovement,21,2025-08-27,14489765,76417.0,,6.2758789459037745,21-30s,15.63,low (static/slow)
Kou Yang,bOIYYqdNiRY,Shocking Modern Kitchen Transformation,20,2025-09-17,9740169,71113.0,,4.218710348763049,13-20s,20.53,low (static/slow)
Kou Yang,iMFNoo4koXE,This Tiny Room Makeover Will Shock You!,16,2025-12-01,8785567,36341.0,,3.8052483917528677,13-20s,21.57,low (static/slow)
Kou Yang,NHm5fbvGD0g,Amazing Abandoned Mini House Restore! #photoshop #adobe #renovation,19,2025-09-04,7811118,36873.0,,3.383190203579561,13-20s,11.61,low (static/slow)
Kou Yang,cO5O65ZDd9Q,Amazing Clean up Then Rebuild #photoshop #adobe #renovation,16,2025-08-28,7701736,35336.0,,3.3358141287528924,13-20s,14.47,low (static/slow)
Kou Yang,gV2yL4lLB7s,Amazing Old to Modern Kitchen,21,2025-09-18,5802971,29648.0,,2.5134116062331016,21-30s,28.71,mid
Kou Yang,mgYdJXOO37I,Ruined Room Restoration,20,2025-11-12,5277845,21153.0,,2.285966426318405,13-20s,21.38,low (static/slow)
Kou Yang,lBiVWnIoFjQ,Backyard Glow Up From Plain to Pool Paradise,25,2025-10-04,4601388,39753.0,,1.992976012456674,21-30s,29.34,mid
Kou Yang,SAQnYHNpMG4,The Ultimate Budget Gaming Room Transformation,15,2026-08-06,3363,23.0,,0.0014565992543753743,13-20s,39.45,high (cuts/fast)
Kou Yang,pZPClJilmY8,From Dirt and Dust to RGB Gaming Setup,16,2026-08-05,2800,17.0,,0.001212749899569149,13-20s,41.03,high (cuts/fast)
Kou Yang,C-D6HWtwnYc,Watch This Slum Room Become a Modern Gaming Haven,17,2026-08-04,2774,21.0,,0.0012014886505017212,13-20s,23.99,low (static/slow)
Kou Yang,NTrNCHFWyeg,This Tiny Slum Room Got an Epic Gaming Makeover,15,2026-08-03,3024,25.0,,0.0013097698915346808,13-20s,27.55,mid
Kou Yang,dArIpB6QJuQ,You Won't Believe This Gaming Room Makeover,15,2026-08-02,16217,52.0,,0.0070239875433260315,13-20s,22.14,low (static/slow)
Kou Yang,KoSTBAbq3bs,From Slum Room to Ultimate Gaming Setup,16,2026-08-01,3660,22.0,,0.0015852373687225303,13-20s,28.59,mid
Kou Yang,57D1JqgeyRU,From Empty Slum Room to Modern Gaming Room,16,2026-07-31,5417,37.0,,0.0023462379307021713,13-20s,25.41,mid
Kou Yang,2qEweUhvbD4,From Broken Room to Clean Gaming Paradise,16,2026-07-29,5787,30.0,,0.0025064941674309517,13-20s,29.04,mid
Kou Yang,mTujR3w5gw0,Epic RGB Gaming Bedroom Upgrade,61,2026-06-15,2296,40.0,,0.0009944549176467022,30s+,41.04,high (cuts/fast)
Kou Yang,idrxrlZHm3A,Watch This Old Room Turn Into Something Amazing,90,2026-05-17,1267,14.0,,0.0005487693295550399,30s+,27.83,mid
Calm Creations,11hXysGlPu0,I Built a Secret Room Under My Swimming Pool,40,2026-03-06,181328741,2895649.0,,31.316354891217525,30s+,33.08,high (cuts/fast)
Calm Creations,nPq4uS1sP4M,I Built a Secret Bunker Under My Backyard,39,2026-02-28,24771124,208505.0,,4.2780935110466345,30s+,34.78,high (cuts/fast)
Calm Creations,bEn4kXbUzfo,From Container to Luxury Underground Poker Lounge,45,2026-04-16,15806872,244312.0,,2.729923621275512,30s+,38.72,high (cuts/fast)
Calm Creations,qGbjwkrK2vQ,I Built a Secret Room Under My Front Door,42,2026-03-22,15767194,175753.0,,2.7230710378266823,30s+,27.59,mid
Calm Creations,DAWqDAWfVxg,I Built a Secret Ocean Container Home,44,2026-02-27,14596143,123737.0,,2.520824838413015,30s+,36.48,high (cuts/fast)
Calm Creations,sXKdcBBz8M0,I Built a Tiny Guest House Inside My Shed,41,2026-02-09,12085090,98782.0,,2.087153780725274,30s+,20.92,low (static/slow)
Calm Creations,n6KkiGZQW2Q,I Built a Secret Container Room Inside a Cliff,39,2026-03-05,8875103,56268.0,,1.53277342417609,30s+,42.83,high (cuts/fast)
Calm Creations,8wSuwIudz6E,I Built a Secret Room Under My Golf Course,44,2026-03-07,6524162,35998.0,,1.126754487088153,30s+,25.73,mid
Calm Creations,tI0qcoxSomQ,I Built a Secret Room Under My Koi Pond,43,2026-03-11,6463382,70996.0,,1.1162574856762906,30s+,28.28,mid
Calm Creations,ZtVC70pb0rk,Secret Underwater Container Home Build,38,2026-02-23,5790225,46806.0,,1.0,30s+,30.51,mid
Calm Creations,D94mRvHkb80,I Built a Hidden Room Under My Backyard Helipad,44,2026-04-18,363989,4331.0,,0.06286266941267395,30s+,26.89,mid
Calm Creations,xeoYx3rWbLs,I Built a Hidden Room Under a Lazy River,38,2026-04-17,950567,8803.0,,0.16416754098502218,30s+,36.56,high (cuts/fast)
Calm Creations,FDAdHn2KC_M,I Built a Secret Room Inside a Giant Vintage Radio,44,2026-04-01,150382,2162.0,,0.02597170230863222,30s+,29.57,mid
Calm Creations,1l2CFjq86Ag,Turning a Giant Pringles Can Into a Luxury Room,46,2026-03-31,309762,3001.0,,0.05349740295066254,30s+,27.95,mid
Calm Creations,FLHFBJP_hrA,I Built a Secret Gym Inside a Giant Kettlebell,44,2026-03-30,161859,1651.0,,0.027953835990829373,30s+,34.2,high (cuts/fast)
Calm Creations,E1vUXLrCtGw,I Built a Secret Room in the Forest,43,2026-03-29,666646,5002.0,,0.11513300433057437,30s+,23.26,low (static/slow)
Calm Creations,fU9XIzmE38w,I Hid a Secret Room Under My Football Field,64,2026-03-27,206900,2415.0,,0.03573263560569753,30s+,35.96,high (cuts/fast)
Calm Creations,xyQMjwdRlhE,I Turned My Garage Into a Secret Underground Bunker,44,2026-03-25,1296374,13751.0,,0.22389009062687545,30s+,20.23,low (static/slow)
Calm Creations,ruy0Bf919DA,I Built a Secret Room on a Cliff Edge,43,2026-03-23,118699,2413.0,,0.020499894218273036,30s+,43.89,high (cuts/fast)
BuildFlow,10SmTJT6kds,Turning a giant strawberry into a tiny  house 🏡,73,2026-04-12,24610511,462510.0,,37.131519192266666,30s+,38.45,high (cuts/fast)
BuildFlow,CCqPQbyfSiA,Turning a giant lemon into tiny House 🍋,73,2026-04-01,6144188,,,9.270146184404481,30s+,40.73,high (cuts/fast)
BuildFlow,4j4Qoh2Yvj0,Building My Dream Container Home over a flowing river side 😀,82,2026-05-10,4796908,,,7.237414999856667,30s+,26.88,mid
BuildFlow,OOZX47gAa8E,Turning a giant papaya into a tiny room #satisfying #timelapse #asmr,54,2026-03-30,4639140,,,6.9993798968908845,30s+,32.64,mid
BuildFlow,ACq6UhYbgVY,Turning a giant pomegranate into  luxury room #satisfying #timelapse #asmr,61,2026-03-28,4401194,,,6.6403748983468445,30s+,36.74,high (cuts/fast)
BuildFlow,yVURcmVWeYw,Turning a giant watermelon into a tiny house 🏠,71,2026-04-09,4056752,,,6.12069228250751,30s+,33.82,high (cuts/fast)
BuildFlow,fX_q44wUUlc,Turning a giant apple into a tiny house 🏡,69,2026-04-14,3232489,,,4.877071725259621,30s+,25.2,mid
BuildFlow,i1Y_Xf3zUGo,turning a giant pomegranate into the lursxy room,61,2026-04-03,1643186,,,2.4791843003773426,30s+,36.94,high (cuts/fast)
BuildFlow,MB7aBfutfEE,Turning a giant carrots into a tiny house 🏡 🥕,62,2026-05-07,1389703,,,2.0967375937887094,30s+,20.74,low (static/slow)
BuildFlow,5RnUXshgQjk,Don't Throw Away old Glove's! Brilliant Diy concrete planter,23,2026-08-15,662793,,,1.0,21-30s,28.83,mid
BuildFlow,Q4K7rAl-Fj8,100 gram bavdi #funny #viral,10,2026-09-04,40101,,,0.06050305298939488,9-12s,38.3,high (cuts/fast)
BuildFlow,9i4aN5-futw,I Built a secret pool for my neighbors..,47,2026-08-17,592203,,,0.8934961594343935,30s+,24.46,low (static/slow)
BuildFlow,4B_kYl_33LE,"One person one dream, building a cozy off grid Roundhouse from scratch",120,2026-08-16,2245,,,0.0033871812164582306,30s+,42.05,high (cuts/fast)
BuildFlow,j3K0rt7f0Uo,Funny 😂🤣 #funny #fyp #foryou #viralvideo #baby,9,2026-08-15,2782,,,0.004197388928368284,9-12s,21.35,low (static/slow)
BuildFlow,tSHsEN9oPNY,Funny 🤣🤣#funny #fyp #foryou,11,2026-08-14,10599,119.0,,0.015991418135073848,9-12s,31.43,mid
BuildFlow,ACVF184B9nk,Baby funny 🤣 #lifeisbutadream #funny,10,2026-08-14,35794,,,0.05400479486053715,9-12s,27.82,mid
BuildFlow,eQC6nWf0yH0,#podcast,30,2026-08-11,423,2.0,,0.0006382083093816621,21-30s,3.22,low (static/slow)
BuildFlow,3aSJTusSLtA,29 July 2026,30,2026-07-28,892,8.0,,0.001345819886450219,21-30s,3.96,low (static/slow)
BuildFlow,vXar9LFuCMg,Mrbeastpodcast #mrbeast#paidpartner,30,2026-07-24,1070,4.0,,0.0016143803570647247,21-30s,3.96,low (static/slow)
Deck Haven,EZC6eXmJuz4,Three Kids. One Tiny Room. Endless Storage #shorts #interiordesign,74,2026-08-01,6703229,60839.0,,71.44090846113674,30s+,28.02,mid
Deck Haven,rz-B_0CIkbA,The Smartest Small Kids' Room I've Seen #shorts,79,2026-06-24,2742524,34553.0,,29.22895906382888,30s+,25.43,mid
Deck Haven,1byd3p5Hq0c,"4 Kids, 1 Room — This Layout Solved Everything #shorts",96,2026-04-04,738315,13812.0,,7.868729284123246,30s+,29.83,mid
Deck Haven,fB0iji2Dexo,From One Bed to Two Private Zones #shorts,84,2026-04-17,311158,4748.0,,3.3162241950782807,30s+,25.66,mid
Deck Haven,muf3HiOkvjA,This 12㎡ Room Feels Twice as Big 🤯 #shorts,80,2026-03-21,204181,4430.0,,2.1760969423099468,30s+,25.01,mid
Deck Haven,EQZpxJvehHM,The Most Insane Kids’ Room Ever Built 🔥 #shorts,98,2026-04-07,161082,3135.0,,1.7167613424421022,30s+,19.85,low (static/slow)
Deck Haven,-9xfSOcDmAk,How Americans will Design Tiny Kid's Bedroom #shorts,102,2026-06-28,118186,2588.0,,1.2595892527896493,30s+,41.26,high (cuts/fast)
Deck Haven,o7K6qmmE5vk,"2 Kids, 1 Room, Perfect Layout #shorts",77,2026-04-05,114388,2454.0,,1.2191113621588208,30s+,37.59,high (cuts/fast)
Deck Haven,GOkyP8wpjyY,This Brother & Sister Shared Bedroom Changes Everything #shorts,69,2026-07-19,93829,1344.0,,1.0,30s+,32.84,mid
Deck Haven,Bn9MRBMtbEo,We Removed Our Daughter’s Platform Bed… Look What We Built Instead #shorts,60,2026-08-16,66939,1071.0,,0.7134148291040083,30s+,27.22,mid
Deck Haven,VjsE8cb1M5o,7 Genius Space-Saving Ideas for a Small Home #shorts,86,2026-09-19,4832,114.0,,0.051497937737799614,30s+,32.44,mid
Deck Haven,JSsZWgi76C0,Our Twins Were Fighting Over Space… So I Got Rid of Both Beds #shorts,77,2026-09-11,36607,833.0,,0.3901459037184666,30s+,31.97,mid
Deck Haven,nHrtVDuwM5c,Why Don’t People in the US Design Tiny Bedrooms Like This?#shorts #smallliving,94,2026-08-27,26451,577.0,,0.28190644683413446,30s+,39.61,high (cuts/fast)
Deck Haven,wLyaRdGmaIE,Why Don’t People in the US Put Washing Machines Like This? #shorts,62,2026-08-25,20924,393.0,,0.22300141747221008,30s+,30.78,mid
Deck Haven,0U5J1mI_dRs,How to Give 2 Kids Their Own Space in One Bedroom #shorts,72,2026-08-13,24366,495.0,,0.2596851719617602,30s+,41.33,high (cuts/fast)
Deck Haven,WupwxUx4Om0,Every gamer dreams of a bedroom like this... 🎮 #shorts,41,2026-08-05,20252,347.0,,0.2158394526212578,30s+,28.4,mid
Deck Haven,-Kd1gkIStYw,This Built-In Bedroom Changes Everything #shorts,71,2026-07-12,42995,2216.0,,0.4582272005456735,30s+,25.15,mid
Simple Vision,t3P14HN8vVg,Folding attic ladder project. Stairs hidden in a closet #interior #diningtabledesign #home,7,2025-09-29,66304634,540403.0,,33.031759336362114,6-8s,13.38,low (static/slow)
Simple Vision,Xi0N_TYABXM,Design of solid wood inverted folding bookshelf #furnituredesign #interiordesign #home #furniture,10,2025-08-07,52592027,410798.0,,26.20038863159185,9-12s,15.96,low (static/slow)
Simple Vision,Mjcbv9382bo,hidden staircase is very convenient #furnituredesign #interior #furniture #staircase,5,2025-08-15,51741813,143408.0,,25.77682752374521,0-5s,13.29,low (static/slow)
Simple Vision,AYr3KRLI3Eo,Convenient and beautiful hidden staircase #home #furnituredesign #staircase,5,2025-10-10,37251120,155796.0,,18.557828565194182,0-5s,8.29,low (static/slow)
Simple Vision,s090QlrnpMk,Smart Furniture Hidden Chairs and Expanding Table  #interiordesign #furniture #furnituredesign,10,2025-08-18,33405995,283349.0,,16.642257420977785,9-12s,15.29,low (static/slow)
Simple Vision,g4hqlcttK3U,Auto Close Premium Slide Door Latch Design,5,2025-05-20,14665814,18464.0,,7.306241046739662,0-5s,9.71,low (static/slow)
Simple Vision,z_LjV9g7rec,Folding Staircase to Hidden Room – Smart Home Design  #home #interiordesign,10,2025-10-31,5970325,29407.0,,2.9743070229430137,9-12s,22.71,low (static/slow)
