nische,plattform,handle,url,markt_sprache,follower,follower_datenqualitaet,groessenklasse,posting_frequenz,typische_views,median_views,top_views,views_datenqualitaet,content_format,ai_real_mixed,link_in_bio,affiliate,amazon_storefront,ltk,shopmy,eigene_collections,andere_affiliate_systeme,affiliate_nachweis,case_study,quelle_url,pruefdatum,notizen
Interior/Real Estate Design (Kuration),Instagram,the_real_houses_of_ig,https://www.instagram.com/the_real_houses_of_ig/,EN/US,2500000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,„the very best of design and real estate“ – kuratierte Häuser/Interiors,real,UNKNOWN,unklar,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,kein Nachweis,nein,https://insta-stories-viewer.com/the_real_houses_of_ig/ ; https://pikory.com/explore/category/home-decor,2026-09-26,Pikory: 2.236.933 Follower. Gegründet von @katerumson (personengeführte Kuratoren-Marke).
Interior/Home Decor – Amazon Home Finds,Instagram,cool_amazon_homefinds,https://www.instagram.com/cool_amazon_homefinds/,EN/international,89000,ESTIMATED,10k-100k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Amazon-Home-Finds-Reels/Posts (2.555 Posts laut Snippet),real (ESTIMATED),UNKNOWN,ja,"ja (amazon.com/shop/cool_amazon_homefinds „Chamli Nawod Shops’s Amazon Page“, Tag ndaamazon1220-20)",nein,UNKNOWN,ja (Storefront),UNKNOWN,Amazon-Storefront unter identischem Handle inkl. Associate-Tag ndaamazon1220-20,ja,"https://www.amazon.com/shop/cool_amazon_homefinds ; WebSearch-Snippet instagram.com/cool_amazon_homefinds (89K followers, 114 following, 2.555 posts)",2026-09-26,Kleinklasse-Beispiel; Storefront-Inhaber-Name deutet auf Offshore-Betreiber einer reinen Theme-Page. Viewer lieferte keine Daten.
Amazon Home Finds,Instagram,onlinee_finds,https://www.instagram.com/onlinee_finds/,EN/international,18400,ESTIMATED,10k-100k,"UNKNOWN (2,8k Posts gesamt)",UNKNOWN,UNKNOWN,UNKNOWN,Likes VERIFIED (Post DFfP9YnNyMD 31.01.2025: 887 Likes/1 Kommentar),Home-Tools/Amazon-Home-Finds-Posts; Caption „Amazon home finds Link in my bio to shop … #amazoninfluencer“,real (ESTIMATED),UNKNOWN,wahrscheinlich,nein unter Handle (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,IG-Caption (Meta-Tag) „Amazon home finds Link in my bio to shop @onlinee_finds … #amazonhome #amazoninflu…“,nein,https://www.instagram.com/p/DFfP9YnNyMD/ ; https://insta-stories-viewer.com/onlinee_finds/,2026-09-26,"Beispiel für kleine, hochfrequente Finds-Page mit schwachem Engagement."
Amazon Home Finds (Personen-Vergleich),Instagram,jodie.thedesigntwins,https://www.instagram.com/jodie.thedesigntwins/,EN/US,2300000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"„AMAZON Home Finds“, „make your home look expensive“ – Creator mit Gesicht",real (Person),Linktree (linktr.ee/jodie.thedesigntwins),ja,ja (Linktree „The Design Twins Amazon Shop“ via urlgeni.us),ja (Linktree „TheDesignTwins on LTK“),UNKNOWN,ja (Blog thedesigntwins.com),geni.us-Linkmanagement,Bio: „*All links earn commission“; Linktree-Links Amazon Shop + LTK,ja,https://linktr.ee/jodie.thedesigntwins ; https://insta-stories-viewer.com/jodie.thedesigntwins/,2026-09-26,Person (kein Faceless) – Benchmark für das Modell. WebSearch-Snippet: 2 Mio./3.676 Posts.
Amazon Finds Home/Fashion (Personen-Vergleich),Instagram,toponlinefinds,https://www.instagram.com/toponlinefinds/,EN/US,527900,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Amazon-Finds Home/Fashion/Lifestyle (Person, Dallas TX)",real (Person),UNKNOWN,ja,ja (amazon.com/shop/toponlinefinds „TopOnlineFinds’s Amazon Page“),UNKNOWN,UNKNOWN,ja (Storefront) + Co-Founder @fable_lane,UNKNOWN,Bio „👇🏼 Shop my Amazon finds“ + Storefront unter identischem Handle,ja,https://www.amazon.com/shop/toponlinefinds ; https://insta-stories-viewer.com/toponlinefinds/,2026-09-26,Person Ciara Andrus (laut WebSearch-Snippet 526K).
"Amazon Home Finds (Personen-Vergleich, klein)",Instagram,inmyamazonprime,https://www.instagram.com/inmyamazonprime/,EN/US,43200,ESTIMATED,10k-100k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Amazon-Finds Home & Style (Arin / @happilyinspired),real (Person),UNKNOWN,unklar,nein unter Handle (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"nur Bio („Amazon addict … ‚add to cart‘ queen“), Storefront vermutl. unter Hauptaccount",nein,https://insta-stories-viewer.com/inmyamazonprime/,2026-09-26,"Zweitaccount einer Person, 67 Posts."
Home Decor/Lifestyle (Personen-Vergleich),Instagram,decor.snippets,https://www.instagram.com/decor.snippets/,EN/US,3100000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Home Decor & Lifestyle (Person „Rue“, Mom of 4, TX)",real (Person),UNKNOWN,ja,"ja (amazon.com/shop/decor.snippets „Rue’s Amazon Page“, Tag decorue.inc-20)",UNKNOWN,UNKNOWN,ja (Storefront),UNKNOWN,Storefront unter identischem Handle inkl. Associate-Tag,ja,https://www.amazon.com/shop/decor.snippets ; https://insta-stories-viewer.com/decor.snippets/ ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor ; https://hypeauditor.com/top-instagram-diy-design-united-states/,2026-09-26,"orbitvibe führt sie als „Theme Page“, tatsächlich Person. 7,7k Following."
"Amazon Home (Marke, Kontext)",Instagram,amazonhome,https://www.instagram.com/amazonhome/,EN/US,5700000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Offizieller Amazon-Home-Account, Regrams von UGC (#amazonhome)",real,UNKNOWN,nein (Händler selbst),n/a,nein,nein,n/a,n/a,n/a,nein,https://insta-stories-viewer.com/amazonhome/,2026-09-26,Kontext: Amazon regrammt Creator-Content – zeigt Nachfrage nach Home-Finds-Content.
"Amazon Finds (Marke, Kontext)",Instagram,amazonfinds,https://www.instagram.com/amazonfinds/,EN/US,402800,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Amazon-eigener #AmazonFinds-Hub,real,UNKNOWN,nein (Händler selbst),n/a,nein,nein,n/a,n/a,n/a,nein,https://insta-stories-viewer.com/amazonfinds/,2026-09-26,Kontext.
Interior/Design (Theme-Page),Instagram,design.only,https://www.instagram.com/design.only/,EN/international,2700000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Design-/Interior-Kuration (#Design_Only), Business-Inquiries",real (Kuration),UNKNOWN,unklar,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,kein Nachweis; Modell vermutl. Sponsored Posts,nein,https://insta-stories-viewer.com/design.only/,2026-09-26,"2,3k Posts, folgt nur 3 Accounts – klassische Theme-Page."
Interior/Home Design (Theme-Page),Instagram,noruxhome,https://www.instagram.com/noruxhome/,EN/international,1600000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,„Home Design | Interior Decor | Interior Design“,UNKNOWN,UNKNOWN,unklar,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,kein Nachweis,nein,https://orbitvibe.com/rankings/instagram/lifestyle/home-decor,2026-09-26,Nur über orbitvibe-Ranking (Rang 22) belegt; Viewer/Threads ohne Daten.
AI/3D Interior & Architektur (Dienstleistung),Instagram,homecraft.designer,https://www.instagram.com/homecraft.designer/,EN/Malaysia,2500000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"3D-/Render-Designs, B2B-Aufrufe („Companies with regular design needs, Contractors“)",mixed/3D-Render (ESTIMATED),UNKNOWN,nein,nein (404),nein,nein,nein,nein (Dienstleistungs-Leads),Bio „Let’s collaborate … #PartnerWithUs“ → Lead-Generierung für Designservice,nein,https://insta-stories-viewer.com/homecraft.designer/ ; https://orbitvibe.com/rankings/instagram/shopping-retail,2026-09-26,"orbitvibe 4,1 Mio. vs. Viewer 2,5 Mio.; nur 165 Posts → sehr hohe Reichweite je Post."
Interior/Architektur (Kontext),Instagram,westwingde,https://www.instagram.com/westwingde/,DE,1800000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Händler-Account (Interior, Milan Design Week)",real,UNKNOWN,nein (Händler),n/a,n/a,n/a,eigener Shop,n/a,n/a,nein,https://insta-stories-viewer.com/westwingde/ ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor,2026-09-26,"Kontext DE: größter „Home Decor“-Account DE ist ein Händler (westwingcom global 8,7 Mio. laut orbitvibe)."
Küchengadgets/Home & Tech Gadgets (Amazon Finds),Instagram,justice_buys,https://www.instagram.com/justice_buys/,EN/US,616100,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Produkt-Review-Shorts „Amazon Gadgets“ (Küche, Home, Tech), Produkt im Video + Link",real (faceless Produktdemo laut NexLev),Linktree (linktr.ee/justice_buys),ja,nein unter Handle; Amazon-Links auf justicebuys.com (amzn.to + Amazon-Attribution maas),nein,UNKNOWN,ja (Website justicebuys.com „All Product Links“),"Walmart Creator (goto.walmart.com, 20 Links), Impact (sjv.io, pxf.io)","Linktree-Beschreibung „As an affiliate, I earn from qualifying purchases.“ + 26 Links (20× goto.walmart.com, Impact-Links); Website justicebuys.com: amzn.to-Links + amazon.com/dp/…?maas=…&tag=maas",ja,https://linktr.ee/justice_buys ; https://www.justicebuys.com/ ; https://insta-stories-viewer.com/justice_buys/,2026-09-26,"Management: Undercurrent (Agentur) laut YT-Beschreibung → professionell geführtes Faceless-Produkt-Network. TikTok @justicebuys 1,5 Mio. Follower/49,8 Mio. Likes (VERIFIED TikTok-Seite)."
Küchengadgets/Home & Tech Gadgets (Amazon Finds),YouTube Shorts,@justicebuys1,https://www.youtube.com/channel/UCKaWD4ZM7ixlot6ysBVKP_g,EN/US,2130000,VERIFIED,1M+,~0.8 Uploads/Woche (155 Shorts seit 2023-02-14; NexLev),"Ø 12,3 Mio./Short",26500000,81 Mio. („BEST Amazon Kitchen Gadgets“),ESTIMATED (NexLev-Datenbank),"Kompilationen „BEST Amazon Kitchen Gadgets“, „Top 15 Amazon Products“",real,Kanal-Link justicebuys.com („All Product Links“),ja,nein (Website statt Storefront),nein,UNKNOWN,ja (justicebuys.com),"Walmart Creator, Impact","YT-Beschreibung „All products are linked on www.justicebuys.com“; Website mit Amazon-Links + Disclosure „As an affiliate, I earn…“",ja,https://www.youtube.com/channel/UCKaWD4ZM7ixlot6ysBVKP_g ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26) ; NexLev youtube_channel_about ; https://www.justicebuys.com/,2026-09-26,"1,91 Mrd. Kanal-Views (VERIFIED about). NexLev-AdSense-Schätzung gesamt ~191k USD (ESTIMATED). Selbstangaben: „1M on Instagram, 1M TikTok, 800k Facebook“ (CLAIMED; IG laut Viewer 616k)."
Smart Home/Home Gadgets (Eigenshop),YouTube Shorts,@WorldwideGadgets01,https://www.youtube.com/channel/UCFGlmbX9m3S-ehJwn53kLAw,EN/US,484000,VERIFIED,100k-500k,~3.7 Uploads/Woche (260 Shorts seit 2025-05-27; NexLev),"Ø 1,96 Mio./Short",3650000,80 Mio. („🔗 Link in Bio Effective Cleaning Tablets“),ESTIMATED (NexLev),Produktdemos DIY/Home/Smart Gadgets/Küche mit „🔗 Link in Bio“ im Titel,real,Linktree (linktr.ee/worldwidegadgets01),nein (Eigenshop),nein,nein,nein,"ja (eigener Shop, Rabattcode)",nein,Linktree: „We ship worldwide 🌍 Enjoy 10% off with code: WORLDWIDEGADGETS“ → Dropshipping/Eigenshop,nein,https://www.youtube.com/channel/UCFGlmbX9m3S-ehJwn53kLAw ; https://linktr.ee/worldwidegadgets01 ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"TikTok @worldwidegadgets01: 103,5k Follower (VERIFIED). IG @worldwidegadgets2 (Viewer ohne Daten). Gleiches Format wie Affiliate-Pages, aber Eigenshop-Monetarisierung."
Smart Home/Tech-Produkte (Theme-Page),Instagram,smart_tech.__,https://www.instagram.com/smart_tech.__/,EN/international,2600000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,„innovative products and tech“ – Repost-Produktclips („DM for credit/Removal“),real (Reposts),UNKNOWN,unklar,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,kein Nachweis,nein,https://insta-stories-viewer.com/smart_tech.__/ ; https://orbitvibe.com/rankings/instagram/tech,2026-09-26,"orbitvibe 2,5 Mio. (Kategorie Technology)."
Smart Home (AI),YouTube Shorts,@AdamSmartHome22,https://www.youtube.com/channel/UCLvSHHvZEV7vO0vkTlrKYgQ,EN/US,16700,ESTIMATED,10k-100k,~5.3 Uploads/Woche (61 Shorts seit 2026-07-07; NexLev),Ø 396k/Short,269500,"3,5 Mio. („Smart home ideas“)",ESTIMATED (NexLev),"„Smart home ideas“-Kompilationen (versteckte Möbel, Gadgets)",AI (NexLev isAIContent=true),keine Kanal-Links,nein,nein,nein,nein,nein,nein,Kanalbeschreibung ohne Links,nein,https://www.youtube.com/channel/UCLvSHHvZEV7vO0vkTlrKYgQ ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"Kanal erst seit Juli 2026 – schnelles Wachstum mit AI-Smart-Home-Clips, aber keine Monetarisierung jenseits Shorts-Fonds sichtbar."
Smart Home/Interior Ideas,YouTube Shorts,@LifeHacks_DreamBuilding,https://www.youtube.com/channel/UC-df3xdIx9oOTwUaph1G4wA,EN/US,120000,ESTIMATED,100k-500k,~4.7 Uploads/Woche (191 Shorts seit 2025-12-15; NexLev),Ø 581k/Short,549500,16 Mio. („Smart home ideas #06“),ESTIMATED (NexLev),Nummerierte Serie „Smart home ideas #01…#10“,real/Kompilation,keine,nein,nein,nein,nein,nein,nein,keine Links in Kanalbeschreibung,nein,https://www.youtube.com/channel/UC-df3xdIx9oOTwUaph1G4wA ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,Serienformat mit Nummerierung als Retention-Hebel.
Gadgets/Lifestyle-Produkte (Affiliate-Media),Instagram,uncrate,https://www.instagram.com/uncrate/,EN/US,140500,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"„Objects of desire“ – Produktfotos (Gadgets, Gear, Home)",real (Produktfotos),UNKNOWN,ja,"ja (amazon.com/shop/uncrate, Tag uncrate-20)",nein,UNKNOWN,ja (Storefront + Website uncrate.com),UNKNOWN,Storefront „Uncrate’s Amazon Page“ mit Associate-Tag uncrate-20,ja,https://www.amazon.com/shop/uncrate ; https://insta-stories-viewer.com/uncrate/,2026-09-26,Seit 2005 etablierte Affiliate-Media-Marke; IG nur Nebenkanal (103 Posts).
Gadgets/Lifestyle-Produkte (Media + Shop),Instagram,coolmaterial,https://www.instagram.com/coolmaterial/,EN/US,112100,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,„Quality gear. Stiff drinks. Epic adventures.“ – Produkt-/Gear-Posts,real,"Linktree (linktr.ee/coolmaterial, verlinkt instagram.com/coolmaterial)",unklar,nein,nein,UNKNOWN,"ja (shop.coolmaterial.com, Blog, „Daily Steals“)",UNKNOWN,Linktree-Links SHOP / BLOG / DAILY STEALS (Blog-Affiliate nicht direkt belegt),nein,https://linktr.ee/coolmaterial ; https://insta-stories-viewer.com/coolmaterial/,2026-09-26,Mischmodell eigener Shop + Deal-Content.
Gadgets/Geschenke (Affiliate-Media),Instagram,thisiswhyimbroke,https://www.instagram.com/thisiswhyimbroke/,EN/US,22100,ESTIMATED,10k-100k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"„unique, must-have products and gift ideas“",real,"Linktree (linktr.ee/thisiswhyimbroke, Zuordnung per Handle)",wahrscheinlich,nein,nein,UNKNOWN,Website thisiswhyimbroke.com,UNKNOWN,Linktree „@Thisiswhyimbroke“ mit amzn.to-Link „#1 Ninja Specialty Coffee Maker“ (Linktree verlinkt IG nicht explizit),nein,https://linktr.ee/thisiswhyimbroke ; https://insta-stories-viewer.com/thisiswhyimbroke/,2026-09-26,"Große Affiliate-Website, IG aber schwach → Website-first-Modell."
