kennzahl,markt,wert,einheit,jahr,quelle_titel,quelle_url,datenqualitaet,notiz
bevoelkerung,UK,69.7,Mio.,2025,DataReportal Digital 2026 United Kingdom (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-kingdom,VERIFIED,Datenstand Okt. 2025
internetnutzer,UK,68.1,Mio.,2025,DataReportal Digital 2026 United Kingdom (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-kingdom,VERIFIED,Datenstand Okt. 2025
social_media_identitaeten,UK,55.5,Mio.,2025,DataReportal Digital 2026 United Kingdom (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-kingdom,VERIFIED,Datenstand Okt. 2025
youtube_ad_reach,UK,55.5,Mio.,2025,DataReportal Digital 2026 United Kingdom (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-kingdom,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
instagram_ad_reach,UK,35.5,Mio.,2025,DataReportal Digital 2026 United Kingdom (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-kingdom,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
tiktok_ad_reach_18plus,UK,26.8,Mio.,2025,DataReportal Digital 2026 United Kingdom (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-kingdom,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
facebook_ad_reach,UK,38.8,Mio.,2025,DataReportal Digital 2026 United Kingdom (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-kingdom,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
snapchat_ad_reach,UK,23.9,Mio.,2025,DataReportal Digital 2026 United Kingdom (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-kingdom,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
pinterest_ad_reach,UK,15.5,Mio.,2025,DataReportal Digital 2026 United Kingdom (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-kingdom,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
bevoelkerung,CA,40.2,Mio.,2025,DataReportal Digital 2026 Canada (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-canada,VERIFIED,Datenstand Okt. 2025
internetnutzer,CA,38.2,Mio.,2025,DataReportal Digital 2026 Canada (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-canada,VERIFIED,Datenstand Okt. 2025
social_media_identitaeten,CA,33.0,Mio.,2025,DataReportal Digital 2026 Canada (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-canada,VERIFIED,Datenstand Okt. 2025
youtube_ad_reach,CA,33.0,Mio.,2025,DataReportal Digital 2026 Canada (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-canada,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
instagram_ad_reach,CA,21.0,Mio.,2025,DataReportal Digital 2026 Canada (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-canada,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
tiktok_ad_reach_18plus,CA,16.6,Mio.,2025,DataReportal Digital 2026 Canada (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-canada,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
pinterest_ad_reach,CA,11.1,Mio.,2025,DataReportal Digital 2026 Canada (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-canada,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
bevoelkerung,AU,27.0,Mio.,2025,DataReportal Digital 2026 Australia (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-australia,VERIFIED,Datenstand Okt. 2025
internetnutzer,AU,26.2,Mio.,2025,DataReportal Digital 2026 Australia (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-australia,VERIFIED,Datenstand Okt. 2025
social_media_identitaeten,AU,21.0,Mio.,2025,DataReportal Digital 2026 Australia (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-australia,VERIFIED,Datenstand Okt. 2025
youtube_ad_reach,AU,21.0,Mio.,2025,DataReportal Digital 2026 Australia (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-australia,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
instagram_ad_reach,AU,15.2,Mio.,2025,DataReportal Digital 2026 Australia (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-australia,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
tiktok_ad_reach_18plus,AU,10.9,Mio.,2025,DataReportal Digital 2026 Australia (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-australia,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
pinterest_ad_reach,AU,5.68,Mio.,2025,DataReportal Digital 2026 Australia (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-australia,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
bevoelkerung,IE,5.32,Mio.,2025,DataReportal Digital 2026 Ireland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-ireland,VERIFIED,Datenstand Okt. 2025
internetnutzer,IE,5.26,Mio.,2025,DataReportal Digital 2026 Ireland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-ireland,VERIFIED,Datenstand Okt. 2025
social_media_identitaeten,IE,4.26,Mio.,2025,DataReportal Digital 2026 Ireland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-ireland,VERIFIED,Datenstand Okt. 2025
youtube_ad_reach,IE,4.26,Mio.,2025,DataReportal Digital 2026 Ireland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-ireland,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
instagram_ad_reach,IE,2.6,Mio.,2025,DataReportal Digital 2026 Ireland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-ireland,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
tiktok_ad_reach_18plus,IE,2.59,Mio.,2025,DataReportal Digital 2026 Ireland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-ireland,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
pinterest_ad_reach,IE,1.28,Mio.,2025,DataReportal Digital 2026 Ireland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-ireland,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
bevoelkerung,NZ,5.26,Mio.,2025,DataReportal Digital 2026 New Zealand (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-new-zealand,VERIFIED,Datenstand Okt. 2025
internetnutzer,NZ,5.06,Mio.,2025,DataReportal Digital 2026 New Zealand (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-new-zealand,VERIFIED,Datenstand Okt. 2025
social_media_identitaeten,NZ,4.24,Mio.,2025,DataReportal Digital 2026 New Zealand (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-new-zealand,VERIFIED,Datenstand Okt. 2025
youtube_ad_reach,NZ,4.24,Mio.,2025,DataReportal Digital 2026 New Zealand (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-new-zealand,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
instagram_ad_reach,NZ,2.65,Mio.,2025,DataReportal Digital 2026 New Zealand (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-new-zealand,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
tiktok_ad_reach_18plus,NZ,2.04,Mio.,2025,DataReportal Digital 2026 New Zealand (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-new-zealand,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
pinterest_ad_reach,NZ,1.05,Mio.,2025,DataReportal Digital 2026 New Zealand (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-new-zealand,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
bevoelkerung,IN,1470,Mio.,2025,DataReportal Digital 2026 India (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-india,VERIFIED,Datenstand Okt. 2025
internetnutzer,IN,1030,Mio.,2025,DataReportal Digital 2026 India (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-india,VERIFIED,Datenstand Okt. 2025
social_media_identitaeten,IN,500,Mio.,2025,DataReportal Digital 2026 India (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-india,VERIFIED,Datenstand Okt. 2025
youtube_ad_reach,IN,500,Mio.,2025,DataReportal Digital 2026 India (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-india,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
instagram_ad_reach,IN,481,Mio.,2025,DataReportal Digital 2026 India (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-india,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025; Englisch nur Teil der Nutzerschaft, TikTok in Indien gesperrt (nicht im Report)"
instagram_ad_reach_summe,DACH,38.45,Mio.,2025,Eigene Summe aus DataReportal DE+AT+CH,siehe DataReportal DE/AT/CH,VERIFIED,"Summe inkl. franz./ital. Schweiz; deutschsprachig ca. 36,9 Mio. bei Annahme 60 % Deutsch in CH (ANNAHME)"
instagram_ad_reach_summe,EN-Kern (US+UK+CA+AU+IE+NZ),258.95,Mio.,2025,Eigene Summe aus DataReportal,siehe DataReportal Länderreports,VERIFIED,CA inkl. frankophoner Nutzer; ohne Indien (481 Mio.)
tiktok_ad_reach_18plus_summe,DACH,28.65,Mio.,2025,Eigene Summe aus DataReportal,siehe DataReportal DE/AT/CH,VERIFIED,nur 18+
tiktok_ad_reach_18plus_summe,EN-Kern (US+UK+CA+AU+IE+NZ),211.93,Mio.,2025,Eigene Summe aus DataReportal,siehe DataReportal Länderreports,VERIFIED,nur 18+
youtube_ad_reach_summe,DACH,78.95,Mio.,2025,Eigene Summe aus DataReportal,siehe DataReportal DE/AT/CH,VERIFIED,
youtube_ad_reach_summe,EN-Kern (US+UK+CA+AU+IE+NZ),372.0,Mio.,2025,Eigene Summe aus DataReportal,siehe DataReportal Länderreports,VERIFIED,
pinterest_ad_reach_summe,DACH,27.47,Mio.,2025,Eigene Summe aus DataReportal,siehe DataReportal DE/AT/CH,VERIFIED,"Pinterest in DE relativ stark (27,1 % der Bevölkerung vs. UK 22,3 %)"
pinterest_ad_reach_summe,EN-Kern (US+UK+CA+AU+IE+NZ),131.51,Mio.,2025,Eigene Summe aus DataReportal,siehe DataReportal Länderreports,VERIFIED,
website_content_language_share,Global/Englisch,49.5,% der Websites,2026,W3Techs Content Language Usage (Stand 26.09.2026),https://w3techs.com/technologies/overview/content_language,THIRD-PARTY ESTIMATE,Proxy für Content-Angebot je Sprache
website_content_language_share,Global/Deutsch,5.9,% der Websites,2026,W3Techs Content Language Usage (Stand 26.09.2026),https://w3techs.com/technologies/overview/content_language,THIRD-PARTY ESTIMATE,Proxy für Content-Angebot je Sprache
tiktok_nutzung_16_19_jahre,DE,66,% der Internetnutzer 16-19,2025,HDE Online-Monitor 2026 (IFH Köln Befragung Okt. 2025),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,+5 Pp. ggü. Vorjahr
kauf_nach_social_media_beitrag,DE,13,% der Internetnutzer 16-69,2025,HDE Online-Monitor 2026 (IFH Köln Befragung Okt. 2025),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,30-39 J.: 23 %; 16-19 J.: 17 %; 20-29 J.: 16 %; 60-69 J.: 4 %
ecommerce_umsatz_b2c_netto,DE,92.3,Mrd. EUR,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,"netto, +3,9 % ggü. 2024; inkl. digitale Güter, ohne Dienstleistungen/Reisen"
ecommerce_umsatz_b2c_prognose,DE,96.3,Mrd. EUR,2026,HDE Pressemitteilung 03.06.2026,https://einzelhandel.de/presse/aktuellemeldungen/15196-online-handel-als-wachstumstreiber-fuer-den-einzelhandel-marktplaetze-von-grosser-bedeutung-nutzer-werden-aelter,VERIFIED,"Prognose +4,3 %"
online_anteil_einzelhandel,DE,13.5,%,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,"Vorjahr 13,4 %"
ecommerce_umsatz_waren_brutto,DE,83.1,Mrd. EUR,2025,bevh Jahresbilanz 2025 (Jan. 2026),https://bevh.org/detail/wachstum-im-e-commerce-lichtblick-in-der-deutschen-wirtschaft,VERIFIED,"+3,2 %; inkl. digitaler Dienstleistungen 97,5 Mrd. EUR; Prognose 2026 +3,8 % (bevh/EHI); andere Abgrenzung als HDE"
online_umsatz_branche_netto,DE: Fashion & Accessoires,21.2,Mrd. EUR,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,"Onlineanteil 2024: 43,1 %"
online_anteil_branche,DE: Fashion & Accessoires,44.2,%,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,"Onlineanteil 2024: 43,1 %"
online_umsatz_branche_netto,DE: CE/Elektro,19.7,Mrd. EUR,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,Onlineanteil aus PDF-Layout zugeordnet (erste Spalte)
online_anteil_branche,DE: CE/Elektro,45.1,%,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,THIRD-PARTY ESTIMATE,Onlineanteil aus PDF-Layout zugeordnet (erste Spalte)
online_umsatz_branche_netto,DE: Freizeit & Hobby,14.1,Mrd. EUR,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,"Onlineanteil ca. 37,6-38,9 % (Zuordnung im PDF-Layout nicht eindeutig)"
online_umsatz_branche_netto,DE: FMCG (Lebensmittel+Drogerie),13.4,Mrd. EUR,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,"stärkstes Wachstum +10,4 %"
online_anteil_branche,DE: FMCG (Lebensmittel+Drogerie),5.0,%,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,"stärkstes Wachstum +10,4 %"
online_umsatz_branche_netto,DE: Wohnen & Einrichten,8.1,Mrd. EUR,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,Onlineanteil aus PDF-Layout rekonstruiert (mittlere Sicherheit)
online_anteil_branche,DE: Wohnen & Einrichten,21.6,%,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,THIRD-PARTY ESTIMATE,Onlineanteil aus PDF-Layout rekonstruiert (mittlere Sicherheit)
online_umsatz_branche_netto,DE: Gesundheit & Wellness,6.1,Mrd. EUR,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,Onlineanteil aus PDF-Layout rekonstruiert
online_anteil_branche,DE: Gesundheit & Wellness,17.5,%,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,THIRD-PARTY ESTIMATE,Onlineanteil aus PDF-Layout rekonstruiert
