nische,brand_haendler,url_programm,netzwerk,zielmarkt,provision,provision_datenqualitaet,cookie_dauer,cookie_datenqualitaet,aov_bekannt,social_media_erlaubt,instagram_erlaubt,deep_links,produktfeed_api,internationale_lieferung,besonderheiten,quelle_url,pruefdatum
Outdoor Living/BBQ,Blackstone Products (Griddles),https://app.impact.com/advertiser-advertiser-info/Blackstone-Products.brand,Impact,USA,5% Online Sale,VERIFIED,30 Tage,VERIFIED,UNKNOWN (Stichprobe 26.09.2026: Griddle-Bundles 299–1.399 USD),"Ja – zusätzlich ""Griddle Crew"" Creator-Programm (Stufen nach Followern lt. Drittquelle 2,5%/5%)",Ja (Griddle Crew),UNKNOWN,UNKNOWN,US,Griddle Crew-Stufen nur Drittquelle (frommichigantothetable.com),https://app.impact.com/advertiser-campaign-info/Blackstone-Products.brand,2026-09-26
Outdoor Living/BBQ,Big Green Egg,https://app.impact.com/advertiser-advertiser-info/Big-Green-Egg.brand,Impact,USA,5% Online Sale; separate Creator-Kampagne,VERIFIED,30 Tage,VERIFIED,UNKNOWN,Ja – Creator-Kampagne vorhanden,Ja (Creator-Kampagne),UNKNOWN,UNKNOWN,US,Kampagnen neu aufgesetzt 09/2026; Auszahlung 1 Monat + 21 Tage nach Monatsende,https://app.impact.com/advertiser-advertiser-info/Big-Green-Egg.brand,2026-09-26
Outdoor Living/BBQ,recteq (Pellet-Grills),https://app.impact.com/advertiser-advertiser-info/recteq.brand,Impact,USA,5% Online Sale,VERIFIED,30 Tage,VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,US,—,https://app.impact.com/advertiser-campaign-info/recteq.brand,2026-09-26
Outdoor Living/BBQ,Outer (Outdoor-Möbel),https://app.impact.com/advertiser-advertiser-info/Outer.brand,Impact,USA,5–8% Online Sale (Standardkampagne 8%),VERIFIED,90 Tage,VERIFIED,UNKNOWN (Stichprobe 26.09.2026: Median Sortiment 1.705 USD; Lounge-/Dining-Sets 7.320–17.400 USD),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,US,Langer 90-Tage-Cookie + High-Ticket-Möbel = attraktiv für Theme-Pages,https://app.impact.com/advertiser-campaign-info/Outer.brand,2026-09-26
Outdoor Living/BBQ,POLYWOOD (Outdoor-Möbel),https://www.polywood.com/pages/affiliate-program,ShareASale (Merchant 143124; ShareASale seit 2025 in Awin überführt),USA,"UNKNOWN (""competitive commission"", keine Produkt-Ausschlüsse)",UNKNOWN,7 Tage,VERIFIED,UNKNOWN (Stichprobe 26.09.2026: Median Sortiment 2.995 USD; Sets bis 6.795–10.149 USD),"Ja – Influencer, Creator, Social-Media-Accounts ausdrücklich",Ja (Social Media ausdrücklich),Ja (Linking-Tools),UNKNOWN,US (Made in USA),"Kurzes 7-Tage-Cookie trotz Werbung mit ""Longer Tracking Windows""",https://www.polywood.com/pages/affiliate-program,2026-09-26
Outdoor Living/BBQ,Gozney (DE),https://ui.awin.com/merchant-profile/125006,Awin,DE,bis 5%,VERIFIED,30 Tage,VERIFIED,">600 USD / >450 GBP (globaler Brand-Wert, kein DE-spezifischer Wert)","Ja – ""engaged social following"" ausdrücklich",Ja,UNKNOWN,UNKNOWN,DE/EU,"Nur Produkte, die direkt auf gozney.com kaufbar sind; monatliche Auszahlung",https://ui.awin.com/merchant-profile/125006,2026-09-26
Outdoor Living/BBQ,"360° BBQ (DE, Grillhändler)",https://www.adcell.de/partnerprogramme/360-bbq,Adcell (ID 8304),DE,3–8% Sale,VERIFIED,30 Tage (+ Postview),VERIFIED,"334,28 EUR (Ø Warenkorb bei Adcell)",UNKNOWN (nicht geregelt),UNKNOWN,UNKNOWN (Produktdatenfeed lt. Adcell-News 2022),Ja (Feed-News 06/2022),DE,SEM nicht erlaubt; Cashback/Gutscheine erlaubt; Stornoquote 0%; Ø Freigabe 44 Tage (max. 63),https://www.adcell.de/partnerprogramme/360-bbq,2026-09-26
Outdoor Living/BBQ,grill-profi-shop (DE),https://www.adcell.de/partnerprogramme/grill-profi-shop,Adcell (ID 9953),DE,"2,25–7% Sale",VERIFIED,14 Tage (+ Postview),VERIFIED,"234,90 EUR (Ø Warenkorb bei Adcell)",UNKNOWN,UNKNOWN,Ja (Direct Linking erlaubt),UNKNOWN,DE,Stornoquote 5%; Freigabe 42 Tage; SEM ohne Brand-Bidding,https://www.adcell.de/partnerprogramme/grill-profi-shop,2026-09-26
Outdoor Living/BBQ,"Kuppelofen (DE, Pizza-/Holzbacköfen)",https://www.adcell.de/partnerprogramme/kuppelofen,Adcell (ID 15113),DE,5% Sale,VERIFIED,90 Tage (+ Postview),VERIFIED,"766,22 EUR (Ø Warenkorb bei Adcell)",UNKNOWN (keine Einschränkung; incentivierter Traffic erlaubt),UNKNOWN,Ja (Deeplink-Tag),UNKNOWN,DE,Hoher AOV + 90-Tage-Cookie; Stornoquote 2%; Ø Freigabe 27 Tage,https://www.adcell.de/partnerprogramme/kuppelofen,2026-09-26
Outdoor Living/BBQ,"Petromax (DE, Outdoor-Kochen/Feuertöpfe)",https://www.adcell.de/partnerprogramme/petromax,Adcell (ID 11578),DE,4–12% Sale,VERIFIED,60 Tage (+ Postview),VERIFIED,"96,22 EUR (Ø Warenkorb bei Adcell)",UNKNOWN,UNKNOWN,Ja (Direct Linking erlaubt),UNKNOWN,DE,SEM nicht erlaubt; Stornoquote 0%; Freigabe 42 Tage,https://www.adcell.de/partnerprogramme/petromax,2026-09-26
Outdoor Living/BBQ,Czaja Feuerschalen (DE),https://www.adcell.de/partnerprogramme/czaja-feuerschalen,Adcell (ID 16286),DE,"7,5% Sale",VERIFIED,90 Tage (+ Postview),VERIFIED,"125,84 EUR (Ø Warenkorb bei Adcell)",UNKNOWN,UNKNOWN,Ja (Deeplink-Tag),UNKNOWN,DE,SEM/PLA nicht erlaubt; Stornoquote 17%,https://www.adcell.de/partnerprogramme/czaja-feuerschalen,2026-09-26
Outdoor Living/BBQ,"Gartenhausfabrik (DE, Gartenhäuser/Saunen/Terrassen)",https://ui.awin.com/merchant-profile/76696,Awin,DE/EU,7% Standard; höher für Top-Publisher,VERIFIED,30 Tage,VERIFIED,UNKNOWN,"UNKNOWN (Adware, Gutscheinportale, Paid Content ausgeschlossen)",UNKNOWN,UNKNOWN,UNKNOWN,Europa (Spedition 3–5 Wochen),Gutscheinportale ausgeschlossen; lange Lieferzeit → späte Validierung wahrscheinlich,https://ui.awin.com/merchant-profile/76696,2026-09-26
Outdoor Living/BBQ,"OTTO (DE, Marktplatz inkl. Garten/Grill)",https://ui.awin.com/merchant-profile/14336,Awin,DE,"Content-Publisher: Living 12%, Fashion 15%, Haushaltselektronik 7%, Multimedia 2% (Stand 01.03.2024); Deal-Seiten/Logopartner niedriger",VERIFIED,30 Tage,VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,Ja (Produktdatenfeeds),Ja (Feed via Awin),DE,Dynamische Attribution (Provision wird zwischen Publishern aufgeteilt); Berechnung auf Warenkorb-Ebene; Provision: Tabelle gültig ab 01.03.2024,https://ui.awin.com/merchant-profile/14336,2026-09-26
Outdoor Living/BBQ,"Wayfair (US, Outdoor-Möbel u.a.)",https://app.impact.com/advertiser-advertiser-info/Wayfair.brand,Impact,USA,10% Online Sale,VERIFIED,7 Tage,VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,US,Nur kurz geprüft; kurzes 7-Tage-Fenster,https://app.impact.com/advertiser-campaign-info/Wayfair.brand,2026-09-26
Pools/Spas/Sauna,Sun Home Saunas (Sauna/Cold Plunge),https://app.impact.com/advertiser-advertiser-info/Sun-Home.brand,Impact,USA,5% Online Sale,VERIFIED,30 Tage,VERIFIED,UNKNOWN (Stichprobe 26.09.2026: Median Sortiment 3.899 USD; Saunen 11.999–45.399 USD; Cold Plunge Pro 15.199 USD),"Ja – ausdrücklich TikTok, Facebook, Instagram, YouTube, SMS ""no limits""",Ja (ausdrücklich genannt),Ja (Tracking-Links),UNKNOWN,US,Programm für Fitness/Wellness/Biohacking-Creator; Links + Promo-Codes; Auszahlung monatlich (PayPal/Venmo lt. FAQ); Impact-Payout 27 Tage nach Monatsende,https://app.impact.com/advertiser-campaign-info/Sun-Home.brand ; https://sunhomesaunas.com/pages/become-an-affiliate,2026-09-26
Pools/Spas/Sauna,Plunge (Cold Plunge & Sauna),https://app.impact.com/advertiser-advertiser-info/Plunge.brand,Impact,USA,3% Online Sale,VERIFIED,30 Tage,VERIFIED,UNKNOWN (Stichprobe 26.09.2026: Infrared Sauna 7.690 USD; All-In + Sauna-Bundle 15.680 USD),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,US,"Niedrige Rate, aber hoher Stückpreis",https://app.impact.com/advertiser-campaign-info/Plunge.brand,2026-09-26
Pools/Spas/Sauna,Sunlighten (Infrarot-Saunen),https://app.impact.com/advertiser-advertiser-info/Sunlighten.brand,Impact,USA/UK/international,"6% auf ""Opportunity Closed"" (abgeschlossener Deal nach Beratung); Lead-Kampagne (Wert 0 GBP) + ""Advocate""-Kampagne",VERIFIED,30 Tage,VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Residential + Commercial, international",Provision erst bei Vertriebsabschluss (Lead→Sale) – lange Validierung; Payout 1 Monat + 2 Tage nach Monatsende,https://app.impact.com/advertiser-advertiser-info/Sunlighten.brand,2026-09-26
Pools/Spas/Sauna,Renu Therapy (Cold Plunge),https://app.impact.com/advertiser-advertiser-info/Renu-Therapy.brand,Impact,USA,7% Online Sale (Standard + Creator-Kampagne),VERIFIED,30 Tage,VERIFIED,UNKNOWN,Ja – separate Creator-Kampagne (Creator Post/Gift),Ja (Creator-Kampagne),UNKNOWN,UNKNOWN,US (Made in California),Kampagnen 2026 neu aufgesetzt,https://app.impact.com/advertiser-advertiser-info/Renu-Therapy.brand,2026-09-26
Pools/Spas/Sauna,"RecoSauna (Saunen/Cold Plunges, Nordamerika)",https://ui.awin.com/merchant-profile/128491,Awin,USA/Kanada,7%,VERIFIED,30 Tage,VERIFIED,"Produkte ca. 2.000–16.000+ USD; ""commissions that can exceed $1,000 per order"" (Brand)","Ja – ""wellness influencers"" ausdrücklich Zielgruppe","UNKNOWN (Influencer genannt, keine Plattform-Details)",UNKNOWN,UNKNOWN,Nordamerika,High-Ticket-Händler mehrerer Sauna-Marken,https://ui.awin.com/merchant-profile/128491,2026-09-26
Pools/Spas/Sauna,Sweat Kingdom Saunas,https://ui.awin.com/merchant-profile/125462,Awin,USA,5–10%,VERIFIED,30 Tage,VERIFIED,4.000–25.000 USD (vom Brand genannt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,US (Direktlieferung),Made-to-order Outdoor-/Indoor-Saunen aus Idaho,https://ui.awin.com/merchant-profile/125462,2026-09-26
Pools/Spas/Sauna,Peak Saunas (US),https://ui.awin.com/merchant-profile/118291,Awin,USA,3–5% (meist Start bei 5%),VERIFIED,30 Tage,VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Nur USA (Lower 48); internationale Bestellungen nicht provisionsberechtigt,—,https://ui.awin.com/merchant-profile/118291,2026-09-26
Pools/Spas/Sauna,Bast Sauna UK (Sauna-Zelte),https://ui.awin.com/merchant-profile/119247,Awin,UK,6%,VERIFIED,30 Tage,VERIFIED,UNKNOWN,"Ja – arbeitet mit ""leading influencers"" (Red Bull, Nike, Athleten)",UNKNOWN,UNKNOWN,UNKNOWN,Versand europaweit,100-Tage-Zufriedenheitsgarantie → Retourenrisiko; Media-Folder für Affiliates,https://ui.awin.com/merchant-profile/119247,2026-09-26
Pools/Spas/Sauna,Bast Sauna DE (Sauna-Zelte),https://ui.awin.com/merchant-profile/119243,Awin,DE,6%,VERIFIED,30 Tage,VERIFIED,UNKNOWN,Ja (Influencer-Kooperationen genannt),UNKNOWN,UNKNOWN,UNKNOWN,Europaweit,100-Tage-Zufriedenheitsgarantie,https://ui.awin.com/merchant-profile/119243,2026-09-26
Pools/Spas/Sauna,Saunaloft (DE),https://ui.awin.com/merchant-profile/25645,Awin,DE,UNKNOWN (nicht öffentlich im Profil),UNKNOWN,30 Tage,VERIFIED,UNKNOWN (Swimspas/Whirlpools/Saunen hochpreisig),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DE,"Sortiment: Infrarotkabinen, Saunen, Whirlpools, SwimSpas; ""geringe Stornierungsquoten"" lt. Händler",https://ui.awin.com/merchant-profile/25645,2026-09-26
Pools/Spas/Sauna,"GartenHaus GmbH / gartenhaus.com (Saunen, Hot & Cold Tubs, Gartenhäuser)",https://ui.awin.com/merchant-profile/22747,Awin + eigenes Empfehlungsprogramm,DE (+NL/AT-Shops),"Awin: Standard 5%, Top-Partner 7%, Content 7%; Empfehlungsprogramm: 8% Umsatzbeteiligung (Kunde 2% Rabatt)",VERIFIED,30 Tage,VERIFIED,"UNKNOWN (""attraktive Warenkorbwerte"" ohne Zahl)",UNKNOWN (keine Social-Einschränkung; Adware/Paid Content ausgeschlossen),UNKNOWN,UNKNOWN,"Ja – ""aktuelle Produktdaten""","DE, NL u.a.","Brand betont ""starke saisonale Nachfrage""; Adware + Paid Content nicht zugelassen",https://ui.awin.com/merchant-profile/22747 ; https://www.gartenhaus.com/page/partnerprogramm,2026-09-26
Pools/Spas/Sauna,"Hansagarten24 (DE, Gartenhäuser/Saunen)",https://ui.awin.com/merchant-profile/119819,Awin,DE/EU,Basis 3% netto; Gutschein 4%; Content/Influencer bis 7–8% (leistungsabhängig),VERIFIED,90 Tage,VERIFIED,"""hohe durchschnittliche Bestellwerte"" (keine Zahl)",Ja – Content- und Influencer-Partner eigene Stufe,Ja (Influencer-Stufe),UNKNOWN,UNKNOWN,DE + Europa,"PPC nur ohne Brand-Bidding; Sales abgelehnt, wenn Kunde vorher schon Kontakt hatte",https://ui.awin.com/merchant-profile/119819,2026-09-26
Pools/Spas/Sauna,"Wave Spas (UK, aufblasbare Hot Tubs)",https://ui.awin.com/merchant-profile/125982,Awin,UK,UNKNOWN (nicht öffentlich),UNKNOWN,30 Tage,VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UK (separates US-Programm 125991),Programm seit 05/2026 im Awin-Verzeichnis,https://ui.awin.com/merchant-profile/125982,2026-09-26
Pools/Spas/Sauna,Wave Spas (US),https://ui.awin.com/merchant-profile/125991,Awin,USA,UNKNOWN (nicht öffentlich),UNKNOWN,30 Tage,VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,US,—,https://ui.awin.com/merchant-profile/125991,2026-09-26
Pools/Spas/Sauna,"Poolwonder (DE, Poolroboter)",https://ui.awin.com/merchant-profile/44061,Awin,DE/AT,UNKNOWN (nicht öffentlich),UNKNOWN,30 Tage,VERIFIED,UNKNOWN,"Ja – Zielgruppe ausdrücklich ""Blogs & Influencer""",Ja (Influencer),UNKNOWN,UNKNOWN,DE/AT,Kein SEA/SEM; keine vergleichende Werbung; Testprodukte bei Reichweite; stark saisonal (Poolsaison),https://ui.awin.com/merchant-profile/44061,2026-09-26
Pools/Spas/Sauna,"AIDA Whirlpools (DE, Outdoor-Whirlpools)",https://www.adcell.de/partnerprogramme/aida-whirlpools,Adcell (ID 11586),DE,10% Sale,VERIFIED,30 Tage (+ Postview),VERIFIED,"386,52 EUR (Ø Warenkorb bei Adcell)",UNKNOWN,UNKNOWN,"Ja (Deeplink-Tag, Direct Linking erlaubt)",UNKNOWN,DE,SEM nicht erlaubt; Stornoquote 10%; Ø Freigabe 59 Tage (max. 70) – lange Validierung,https://www.adcell.de/partnerprogramme/aida-whirlpools,2026-09-26
Pools/Spas/Sauna,Sauna24 (DE),https://www.adcell.de/partnerprogramme/sauna24,"Adcell (ID 10533, exklusiv)",DE,8% Sale,VERIFIED,90 Tage (+ Postview),VERIFIED,"517,18 EUR (Ø Warenkorb bei Adcell)",UNKNOWN,UNKNOWN,Ja (Direct Linking erlaubt),UNKNOWN,DE,SEM/PLA erlaubt; Stornoquote 3%; Freigabe 42 Tage,https://www.adcell.de/partnerprogramme/sauna24,2026-09-26
Pools/Spas/Sauna,Mein-Saunashop (DE),https://www.adcell.de/partnerprogramme/mein-saunashop,"Adcell (ID 13383, exklusiv)",DE,4–6% Sale,VERIFIED,60 Tage (+ Postview),VERIFIED,"851,21 EUR (Ø Warenkorb bei Adcell)",UNKNOWN,UNKNOWN,Ja (Direct Linking erlaubt),UNKNOWN,DE,SEM nur auf Anfrage; Stornoquote 7%; Ø Freigabe 49 Tage,https://www.adcell.de/partnerprogramme/mein-saunashop,2026-09-26
Pools/Spas/Sauna,SAUNA Total (DE),https://www.adcell.de/partnerprogramme/saunatotal,Adcell (ID 19230),DE,5% Sale,VERIFIED,14 Tage (+ Postview),VERIFIED,"99,00 EUR (Ø Warenkorb bei Adcell – Zubehör-lastig)",UNKNOWN,UNKNOWN,Ja (Direct Linking erlaubt),Ja (Produkt-Datenfeeds lt. FAQ),DE,Cashback nicht erlaubt; Gutscheine nur nach Absprache,https://www.adcell.de/partnerprogramme/saunatotal,2026-09-26
Pools/Spas/Sauna,"primepool.de (DE, Fertigbecken/Pools)",https://www.adcell.de/partnerprogramme/primepool.de,Adcell (ID 17484),DE,7% Sale,VERIFIED,45 Tage (+ Postview),VERIFIED,"628,30 EUR (Ø Warenkorb bei Adcell)",UNKNOWN,UNKNOWN,Ja (Direct Linking erlaubt),UNKNOWN,DE,Gutscheinmarketing nicht erlaubt; Ø Freigabe 40 Tage; stark saisonal (Poolsaison Frühjahr/Sommer),https://www.adcell.de/partnerprogramme/primepool.de,2026-09-26
Pools/Spas/Sauna,"poolmondo.de (DE, Poolroboter/-zubehör)",https://www.adcell.de/partnerprogramme/poolmondo.de,Adcell (ID 15670),DE,5% Sale,VERIFIED,60 Tage (+ Postview),VERIFIED,"394,95 EUR (Ø Warenkorb bei Adcell)",UNKNOWN,UNKNOWN,Ja (Direct Linking erlaubt),UNKNOWN,DE,Gutscheinmarketing nicht erlaubt; Programm aktiv seit 08/2025,https://www.adcell.de/partnerprogramme/poolmondo.de,2026-09-26
Pools/Spas/Sauna,mein-poolroboter.de (DE),https://www.adcell.de/partnerprogramme/mein-poolroboter.de,Adcell (ID 12556),DE,3% lt. Provisionstabelle; FAQ nennt Mindestprovision 5% (widersprüchlich),VERIFIED,60 Tage (+ Postview),VERIFIED,"754,62 EUR (Ø Warenkorb bei Adcell)",UNKNOWN,UNKNOWN,Ja (Direct Linking erlaubt),UNKNOWN,DE,SEM ohne Brand-Bidding auf Anfrage; Stornoquote 4%; Provision: widersprüchlich auf Primärseite,https://www.adcell.de/partnerprogramme/mein-poolroboter.de,2026-09-26
Pools/Spas/Sauna,"POOL Total (DE, Poolzubehör/Wärmepumpen)",https://www.adcell.de/partnerprogramme/pool-total,Adcell (ID 6643),DE,4–6% Sale,VERIFIED,5 Tage (+ Postview),VERIFIED,"165,35 EUR (Ø Warenkorb bei Adcell)",UNKNOWN,UNKNOWN,Ja (Direct Linking erlaubt),UNKNOWN,DE,Sehr kurzes 5-Tage-Cookie; Gutscheinmarketing nicht erlaubt,https://www.adcell.de/partnerprogramme/pool-total,2026-09-26
Garten,STIHL (DE),https://ui.awin.com/merchant-profile/20646,Awin (Agentur xpose360),DE,8% CPO Standard; 5% bei Gutschein-Sales und für Gutschein-/Schnäppchenpartner; Sonderkonditionen für redaktionellen Content,VERIFIED,30 Tage,VERIFIED,"""hoher durchschnittlicher Warenkorb"" (keine Zahl)",UNKNOWN,UNKNOWN,Eingeschränkt: Startseite + einige Kategorie-Deeplinks (Awin); STIHL-Seite nennt Deeplinks auf jedes Produkt über Produktliste,Ja – vollständiger Produktdatenfeed,DE (Lieferung nach Hause oder zum Fachhändler),"Ja, STIHL hat ein Programm. Keywordbuying untersagt; nicht freigegebene Gutscheine vom Tracking ausgeschlossen",https://ui.awin.com/merchant-profile/20646 ; https://www.stihl.de/de/service-events/kooperationsprogramm,2026-09-26
Garten,Pflanzen-Kölle (DE),https://ui.awin.com/merchant-profile/28417,Awin,DE,8% Standard; 6% Gutschein/Gutschein-Publisher,VERIFIED,30 Tage,VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Ja – vollständiger Datenfeed,DE,Online + Gartencenter; Saisonware (Pflanzen) Frühjahrsspitze,https://ui.awin.com/merchant-profile/28417,2026-09-26
Garten,BALDUR-Garten (DE),https://ui.awin.com/merchant-profile/13634,Awin (Agentur sunnysales),DE,8% Standard; 4% Gutschein-/Schnäppchenpartner und Sales mit Gutschein,VERIFIED,90 Tage,VERIFIED,UNKNOWN,UNKNOWN (Programm richtet sich an Blogs/redaktionelle Websites),UNKNOWN,Ja (Deeplinks in Rubriken),UNKNOWN,DE,SEM/Suchmaschinenmarketing verboten (Ausschluss); langer 90-Tage-Cookie,https://ui.awin.com/merchant-profile/13634 ; https://www.baldur-garten.de/onion/content/affiliate-partnerprogramm,2026-09-26
Garten,Plantura (DE),https://www.adcell.de/partnerprogramme/plantura-shop,Adcell (ID 16890),DE,10% Sale,VERIFIED,30 Tage,VERIFIED,"69,15 EUR (Ø Warenkorb bei Adcell)",UNKNOWN,UNKNOWN,"Ja (Deeplink, Direct Linking erlaubt)",Ja (CSV-Tag),DE,Stornoquote 41% (hoch!); SEM/PLA nicht erlaubt; Ø Freigabe 9 Tage,https://www.adcell.de/partnerprogramme/plantura-shop,2026-09-26
