shortcode,url,handle,posted_at_utc,is_new,seen_last_week,age_days,views,metric,topic_index,topic_pct,in_top_quartile,followers,followers_source,vpf,tier,likes,comments,likes_per_view,n_topics,topics,topic_group,kw_room,kw_style,kw_setting,kw_combo,hook,hook_source,hook_h,ai_disclosed_kw,caption_first_line,code_room,code_style,code_hook,code_production,code_realism
CxH3K5IL2w6,https://www.instagram.com/reel/CxH3K5IL2w6/,lk4id,2023-09-13T07:00:33.513000+00:00,False,,1107.7,13000000,views,44.905,1.0,True,2000000,embed_reel,6.5,4_VIRAL,888774,2064,0.0684,1,futuristic-interior,future_arch,living_room,futuristic,none,futuristic × living_room,descriptive,code,aspirational,False,Modern urban #penthouse living area 🥂 #housetour #walkthrough #virtualreality #render #livingroom #condo #virtualtour #l,living_room,dark_luxury,descriptive,3d_render,stylized_dreamy
C87NQHRtm6B,https://www.instagram.com/reel/C87NQHRtm6B/,drcozyvibes,2024-07-02T15:20:06.780000+00:00,False,,814.4,155000000,views,40.2597,1.0,True,584000,account_lookup,265.411,5_EXTREME_OUTLIER,6100000,18000,0.0394,1,cozy-rain,cozy_ambience,bedroom,cozy_rustic,rain,cozy_rustic × bedroom,descriptive,code,aspirational,False,"Rainy Day Reflections: Comfort Bed, Melodic Drops, and a Scenic Window #cozycabin #RainyDayVibes",bedroom,biophilic,descriptive,ai_generated,stylized_dreamy
DQzx59pEsqO,https://www.instagram.com/reel/DQzx59pEsqO/,lisi.quietdiaries,2025-11-08T20:34:21.483000+00:00,False,,320.1,22700000,views,40.2482,1.0,True,153000,embed_reel,148.366,5_EXTREME_OUTLIER,2000000,2600,0.0881,1,quiet-luxury,luxury_room,whole_home,modern_luxury,none,modern_luxury × whole_home,aspirational,heuristic,aspirational,False,a quiet life feels like home #aesthetic #quietlife #slowlife,living_room,modern_luxury,,real_footage,aspirational_realistic
C_5u72pxVBx,https://www.instagram.com/reel/C_5u72pxVBx/,elarch.studio,2024-09-14T15:10:08.684000+00:00,False,,740.4,15500000,views,40.0517,1.0,True,540000,embed_reel,28.7037,5_EXTREME_OUTLIER,896610,1720,0.0578,1,ultra-modern-luxury-house-design,luxury_home,whole_home,modern_luxury,none,modern_luxury × whole_home,descriptive,code,descriptive,False,"Renderizado por @elarch.studio, este projeto noturno para @arquiteturash é uma verdadeira obra de arte moderna.",whole_home,modern_luxury,descriptive,3d_render,aspirational_realistic
DLI3AbXsnNC,https://www.instagram.com/reel/DLI3AbXsnNC/,archibible,2025-06-20T21:54:37.064000+00:00,False,,461.1,14300000,views,34.5828,1.0,True,220000,embed_reel,65.0,5_EXTREME_OUTLIER,859802,6252,0.0601,1,midjourney-architecture,ai,whole_home,futuristic,mountain_snow,futuristic × whole_home,fantasy,code,descriptive,False,Alpine Future .,whole_home,futuristic,fantasy,ai_generated,fantasy_impossible
DSNLwLZCKcD,https://www.instagram.com/reel/DSNLwLZCKcD/,architect_hitesh,2025-12-13T13:52:37.259000+00:00,False,,285.4,14900000,views,32.6039,1.0,True,262000,embed_reel,56.8702,5_EXTREME_OUTLIER,503072,392,0.0338,1,modern-villa,luxury_home,whole_home,modern_luxury,none,modern_luxury × whole_home,descriptive,code,descriptive,False,Ultra Luxury Morden villa || #explore #home #luxurylifestyle,whole_home,modern_luxury,descriptive,ai_generated,aspirational_realistic
Da_rdPUj1jN,https://www.instagram.com/reel/Da_rdPUj1jN/,sandiwara_multiverse.99,2026-07-20T00:42:50.114000+00:00,False,,67.0,85200000,views,32.1509,1.0,True,402000,embed_reel,211.9403,5_EXTREME_OUTLIER,1948148,18776,0.0229,1,treehouse,unusual_home,whole_home,tropical,rain,tropical × whole_home,descriptive,code,descriptive,False,TreeHouse #GiantTree #TreeTopHouse #JungleLife #Rainforest,whole_home,other,descriptive,ai_generated,stylized_dreamy
CvNKxqDtAj1,https://www.instagram.com/reel/CvNKxqDtAj1/,homeofmerve,2023-07-27T15:25:17.408000+00:00,False,,1155.4,13100000,views,30.5361,1.0,True,459000,embed_reel,28.5403,5_EXTREME_OUTLIER,587961,700,0.0449,2,bedroom-design;cozy-bedroom-ideas,cozy_ambience,bedroom,cozy_rustic,none,cozy_rustic × bedroom,none,code,descriptive,False,liebs💓🫶🏽 #bedroom • • • • • • • • • • • • • • • #interior #inspohome #interiorhome #bedroominspiration #schlafzimmerinsp,bedroom,scandinavian,none,real_footage,real_existing
DQostfIDLYr,https://www.instagram.com/reel/DQostfIDLYr/,siyad_abdali,2025-11-04T13:17:19.081000+00:00,False,,324.4,5100000,views,29.9296,1.0,True,4000000,embed_reel,1.275,2_GOOD,215644,566,0.0423,1,cozy-winter-cabin,cozy_ambience,whole_home,cozy_rustic,mountain_snow,cozy_rustic × whole_home,descriptive,code,aspirational,False,"Cozy Cabin on a Snowy Day | Reading, Music & Peaceful Alone Time 🕯📖🎶",bedroom,cozy_rustic,descriptive,ai_generated,stylized_dreamy
DP0eKr0joHI,https://www.instagram.com/reel/DP0eKr0joHI/,ghstudio._,2025-10-15T06:29:43.490000+00:00,False,,344.7,19700000,views,29.2719,1.0,True,928000,embed_reel,21.2284,5_EXTREME_OUTLIER,992009,8690,0.0504,1,house-in-the-forest,unusual_home,whole_home,other,forest,other × whole_home,descriptive,code,descriptive,False,My Best Games Ever - 99 NIGHT IN THE FOREST | ROBLOX ANIMATION #roblox #nightintheforest,other,other,descriptive,unclear,fantasy_impossible
C25OoI1IRag,https://www.instagram.com/reel/C25OoI1IRag/,homebyhyla,2024-02-03T17:45:17.123000+00:00,False,,964.3,28600000,views,29.0355,1.0,True,168000,embed_reel,170.2381,5_EXTREME_OUTLIER,1634996,1488,0.0572,2,ai-home-design;ai-interior-design,ai,whole_home,other,none,other × whole_home,descriptive,code,descriptive,False,Projet L🍂 .,living_room,biophilic,descriptive,3d_render,aspirational_realistic
DNFJflNzAYj,https://www.instagram.com/reel/DNFJflNzAYj/,kerala_architectures,2025-08-08T04:21:59.028000+00:00,False,,412.8,6900000,views,28.9916,1.0,True,239000,embed_reel,28.8703,5_EXTREME_OUTLIER,191603,957,0.0278,1,tropical-house-architecture-styles,architecture,whole_home,tropical,none,tropical × whole_home,location,code,aspirational,False,🏡 Tropical Modern Bliss in the Heart of Kerala 🌴✨ This stunning 4BHK home is a perfect blend of minimal design and Keral,whole_home,tropical,location,real_footage,real_existing
C9z7ny9syhE,https://www.instagram.com/reel/C9z7ny9syhE/,reschio,2024-07-24T16:02:46.228000+00:00,False,,792.3,18800000,views,27.8932,1.0,True,2000000,embed_reel,9.4,4_VIRAL,1320822,4472,0.0703,1,luxury-pool,pool,pool,modern_luxury,none,modern_luxury × pool,descriptive,code,aspirational,False,"In the intense summer heat, Reschio remains an oasis of serenity.",pool,mediterranean,descriptive,real_footage,real_existing
DI9Q70Uo8fB,https://www.instagram.com/reel/DI9Q70Uo8fB/,luxuriatetouche,2025-04-27T16:47:30.306000+00:00,False,,515.3,9700000,views,25.0646,0.9167,True,4000000,embed_reel,2.425,3_VERY_GOOD,549064,5185,0.0566,1,ultra-modern-luxury-house-design,luxury_home,bedroom,modern_luxury,none,modern_luxury × bedroom,descriptive,code,aspirational,False,Luxury modern house exterior design 🏠 #lightingdesign #lightingdecor #lighting #lightdesign #livingarea #livingspace #be,other,classical,descriptive,ai_generated,stylized_dreamy
DOvkVSNCDEW,https://www.instagram.com/reel/DOvkVSNCDEW/,soothenests,2025-09-18T12:16:00.243000+00:00,False,,371.5,8100000,views,24.0713,1.0,True,2000000,embed_reel,4.05,3_VERY_GOOD,424989,1706,0.0525,1,ai-cozy-cabin,ai,whole_home,cozy_rustic,rain,cozy_rustic × whole_home,aspirational,code,aspirational,False,Snuggled Up & Storm Watching: The Perfect Cozy Cabin,bedroom,cozy_rustic,aspirational,ai_generated,stylized_dreamy
C1GMtBitz8c,https://www.instagram.com/reel/C1GMtBitz8c/,nicolemsunderland,2023-12-21T01:35:48.894000+00:00,False,,1008.9,21000000,views,23.6353,1.0,True,,,,,,,,1,overwater-villa,hotel_resort,whole_home,other,ocean_beach,other × whole_home,descriptive,heuristic,descriptive,False,Best overwater villas 🥰🤯 #passportbyforbes #mydomainetravels #Tastemademedoit #iamatraveler #forbestravelguide,,,,,
DS_uPLMlNwQ,https://www.instagram.com/reel/DS_uPLMlNwQ/,calm_neststudio,2026-01-02T04:55:58.578000+00:00,False,,265.8,13100000,views,23.3304,0.9167,True,156000,account_lookup,83.9744,5_EXTREME_OUTLIER,446900,3500,0.0341,2,cozy-rain;rain-cozy,cozy_ambience,other,cozy_rustic,rain,cozy_rustic × other,descriptive,code,descriptive,False,"Relaxing Gentle Rain, for longer rain videos on my Youtube #sleepingrain #asmrain #relaxingrainforsleep #relaxingforslee",bedroom,biophilic,descriptive,ai_generated,stylized_dreamy
C-ks822KeDg,https://www.instagram.com/reel/C-ks822KeDg/,abdullahaslanoglu_,2024-08-12T14:37:21.605000+00:00,False,,773.4,10200000,views,22.3195,0.9167,True,68000,embed_reel,150.0,5_EXTREME_OUTLIER,411425,2256,0.0403,1,modern-villa,luxury_home,whole_home,modern_luxury,none,modern_luxury × whole_home,descriptive,code,descriptive,False,Modernism touched by light 💥 @abdullahaslanoglu_ #REKLAM #building #buildingdesign #3dbuilding #design #bina #binatasarı,whole_home,modern_luxury,descriptive,3d_render,aspirational_realistic
DUtCMyYEVvs,https://www.instagram.com/reel/DUtCMyYEVvs/,sagephillipshome,2026-02-13T15:47:37.865000+00:00,False,,223.3,3000000,views,21.5208,1.0,True,563000,embed_reel,5.3286,4_VIRAL,181209,2623,0.0604,1,organic-modern,style,other,biophilic,none,biophilic × other,instructional,code,descriptive,False,I'm telling you… brown bedding is the move.,bedroom,biophilic,instructional,real_footage,real_existing
CpkH2qfguh_,https://www.instagram.com/reel/CpkH2qfguh_/,gabscanu,2023-03-09T10:13:55.608000+00:00,False,,1295.6,17100000,views,19.2459,0.9167,True,505000,embed_reel,33.8614,5_EXTREME_OUTLIER,915520,3503,0.0535,1,overwater-villa,hotel_resort,whole_home,other,ocean_beach,other × whole_home,question,code,question,False,Is this the ultimate villa/playground?,whole_home,tropical,question,real_footage,real_existing
DPT0PbTEwtD,https://www.instagram.com/reel/DPT0PbTEwtD/,sunt_mrr,2025-10-02T14:07:40.415000+00:00,False,,357.4,4700000,views,18.3989,1.0,True,2000000,embed_reel,2.35,3_VERY_GOOD,272076,1187,0.0579,2,overwater-villa;underwater-hotel,hotel_resort,whole_home,modern_luxury,underwater,modern_luxury × whole_home,fantasy,code,aspirational,True,Dream underwater villa .,whole_home,minimalist,fantasy,ai_generated,fantasy_impossible
DXMw4QLjB35,https://www.instagram.com/reel/DXMw4QLjB35/,lena_nichi_art,2026-04-16T16:34:45.872000+00:00,False,,161.3,6000000,views,17.8306,0.9167,True,203000,embed_reel,29.5567,5_EXTREME_OUTLIER,124614,789,0.0208,1,ai-cozy-cabin,ai,whole_home,cozy_rustic,none,cozy_rustic × whole_home,question,code,question,False,Would you dare spend the night here?,bedroom,cozy_rustic,question,ai_generated,stylized_dreamy
DOExDYCiEYm,https://www.instagram.com/reel/DOExDYCiEYm/,luxuryhouseview,2025-09-01T21:19:48.702000+00:00,False,,388.1,4700000,views,16.7558,1.0,True,389000,embed_reel,12.0823,4_VIRAL,233393,1117,0.0497,4,futuristic-home;luxury-house;luxury-penthouse;modern-luxury-house-interiors,future_arch,whole_home,futuristic,none,futuristic × whole_home,descriptive,code,descriptive,False,ULTRA Luxury House Interior Design💎✨☄️ #luxuryhouseview #luxury #Home #miamistad #miamilife #miamivice #travel #fyp #hig,living_room,modern_luxury,descriptive,3d_render,stylized_dreamy
DXC3fVijoEN,https://www.instagram.com/reel/DXC3fVijoEN/,elitebuildhq,2026-04-12T20:20:07.454000+00:00,False,,165.2,17300000,views,15.5926,1.0,True,2000000,embed_reel,8.65,4_VIRAL,609014,2338,0.0352,1,underground-house,unusual_home,whole_home,futuristic,none,futuristic × whole_home,curiosity,code,curiosity,False,The Ultimate Secret Underground Oasis 🌊💎 .,pool,modern_luxury,curiosity,ai_generated,aspirational_realistic
DX46CqWjZej,https://www.instagram.com/reel/DX46CqWjZej/,imtiazsahib33,2026-05-03T20:01:24.742000+00:00,False,,144.2,16600000,views,14.9617,0.9167,True,120000,embed_reel,138.3333,5_EXTREME_OUTLIER,428260,1558,0.0258,1,underground-house,unusual_home,whole_home,other,none,other × whole_home,curiosity,code,curiosity,False,Building a SECRET Underground Room Under My Lawn!,office_library,futuristic,curiosity,ai_generated,stylized_dreamy
C0ewp4eRrH8,https://www.instagram.com/reel/C0ewp4eRrH8/,ryanknoch,2023-12-05T18:00:20.245000+00:00,False,,1024.2,7800000,views,14.8008,1.0,True,,,,,,,,1,modern-luxury-house-interiors,luxury_home,whole_home,modern_luxury,desert,modern_luxury × whole_home,aspirational,heuristic,aspirational,False,"🔥A masterful expression of desert modern living, this new architectural luxurious home with outstanding",,,,,
DR93ufJDfjx,https://www.instagram.com/reel/DR93ufJDfjx/,serenecabin,2025-12-07T15:09:01.163000+00:00,False,,291.4,2500000,views,14.6714,0.9167,True,84000,embed_reel,29.7619,5_EXTREME_OUTLIER,70452,486,0.0282,2,cozy-winter-cabin;luxury-cabin,cozy_ambience,whole_home,cozy_rustic,mountain_snow,cozy_rustic × whole_home,aspirational,code,aspirational,False,The Alchemy of Atmosphere: Crafting Cabin Serenity ✨ #cozycabin #relaxation #heavysnowfall,bedroom,cozy_rustic,aspirational,ai_generated,stylized_dreamy
DNisARex_K2,https://www.instagram.com/reel/DNisARex_K2/,theimagehs,2025-08-19T15:41:31.158000+00:00,False,,401.3,5600000,views,13.5429,0.9167,True,137000,embed_reel,40.8759,5_EXTREME_OUTLIER,215527,2390,0.0385,1,midjourney-architecture,ai,whole_home,futuristic,none,futuristic × whole_home,fantasy,code,descriptive,True,"Unlikely future part 3 Tools; @midjourney, @magnific_ai, @hailuoai_official, @topazlabs #freepikai #freepik #scifi #midj",whole_home,futuristic,fantasy,ai_generated,fantasy_impossible
CyGpI71u_QA,https://www.instagram.com/reel/CyGpI71u_QA/,jiqbalrealtor,2023-10-07T16:10:06.660000+00:00,False,,1083.3,19500000,views,13.0,0.9167,True,110000,embed_reel,177.2727,5_EXTREME_OUTLIER,911772,3058,0.0468,1,luxury-penthouse,luxury_home,whole_home,modern_luxury,none,modern_luxury × whole_home,aspirational,code,aspirational,False,your dreamy nyc penthouse✨🌆 Follow @jiqbalrealtor for more content!,other,minimalist,aspirational,real_footage,real_existing
C6rOLbLriyx,https://www.instagram.com/reel/C6rOLbLriyx/,iz__designs,2024-05-07T17:17:34.448000+00:00,False,,870.3,21900000,views,12.7363,0.9167,True,109000,embed_reel,200.9174,5_EXTREME_OUTLIER,746889,2060,0.0341,1,ai-interior-design,ai,living_room,other,none,other × living_room,descriptive,code,aspirational,False,New reel for livingroom Design & Render : @iz__designs Tell me What your thoughts,living_room,modern_luxury,descriptive,3d_render,aspirational_realistic
DUbXaywiEol,https://www.instagram.com/reel/DUbXaywiEol/,ell.glamhome,2026-02-06T19:06:42.874000+00:00,False,,230.2,8200000,views,12.4431,1.0,True,1000000,embed_reel,8.2,4_VIRAL,450186,1699,0.0549,2,dream-bedroom;dream-room,fantasy_dream,bedroom,other,none,other × bedroom,curiosity,code,aspirational,False,When 🦋 meet 🌸 #bedroom #bedroomideas #bedroomdesign There is a tiny line between dreams and reallity,bedroom,other,curiosity,real_footage,real_existing
C3S6d8-RtGv,https://www.instagram.com/reel/C3S6d8-RtGv/,greenitecture,2024-02-13T17:09:23.157000+00:00,False,,954.3,2800000,views,12.2807,1.0,True,341000,embed_reel,8.2111,4_VIRAL,176043,650,0.0629,1,tropical-house,style,whole_home,tropical,jungle,tropical × whole_home,aspirational,code,descriptive,False,🌱 Relax at this jungle oasis!,other,tropical,aspirational,real_footage,real_existing
C-RyNNZMIaO,https://www.instagram.com/reel/C-RyNNZMIaO/,cozyzen.ai,2024-08-05T06:17:42.795000+00:00,False,,780.7,4100000,views,12.1842,0.8333,True,498000,embed_reel,8.2329,4_VIRAL,238847,1099,0.0583,1,ai-cozy-cabin,ai,bedroom,cozy_rustic,mountain_snow,cozy_rustic × bedroom,fantasy,code,descriptive,False,"Alone in a mountain cave cabin, enjoying the rain and warmth from bed.",bedroom,cozy_rustic,fantasy,ai_generated,stylized_dreamy
Ckw-qi6pNFX,https://www.instagram.com/reel/Ckw-qi6pNFX/,yesiinna,2022-11-10T03:26:47.118000+00:00,False,,1414.9,5200000,views,12.1212,0.9167,True,64000,embed_reel,81.25,5_EXTREME_OUTLIER,476076,429,0.0916,1,cozy-bedroom-ideas,cozy_ambience,bedroom,cozy_rustic,none,cozy_rustic × bedroom,aspirational,code,descriptive,False,"Maybe, true happiness is when we are happy with ourselves.",bedroom,cozy_rustic,aspirational,real_footage,real_existing
DB_v0uWR06c,https://www.instagram.com/reel/DB_v0uWR06c/,starlight_retreats,2024-11-05T16:16:08.453000+00:00,False,,688.3,5400000,views,11.6631,1.0,True,,,,,,,,1,luxury-cabin,unusual_home,whole_home,cozy_rustic,none,cozy_rustic × whole_home,fantasy,heuristic,fantasy,False,"Imagine a cozy cabin just for us, surrounded by nature and filled with little touches to make our getaway unforgettable.",,,,,
DUiv0Xige1Z,https://www.instagram.com/reel/DUiv0Xige1Z/,luxurydreamhub,2026-02-09T15:54:36.318000+00:00,False,,227.3,4000000,views,11.4943,0.9167,True,1000000,embed_reel,4.0,3_VERY_GOOD,302997,1101,0.0757,2,dream-bedrooms;luxury-bedroom,luxury_room,bedroom,modern_luxury,none,modern_luxury × bedroom,aspirational,code,aspirational,False,Sweet lavender dreams and ethereal glows.,bedroom,other,aspirational,ai_generated,stylized_dreamy
DbXmQ4LqfbJ,https://www.instagram.com/reel/DbXmQ4LqfbJ/,eloisepreen,2026-07-29T07:39:13.776000+00:00,False,,57.7,3500000,views,11.4566,1.0,True,,,,,,,,1,art-deco-interior-design,style,whole_home,art_deco,none,art_deco × whole_home,descriptive,heuristic,descriptive,False,my colourful mid century modern home 🏡🎨🪴 #apartmentaesthetic #midcenturymodern #interiordesign #fyp #boyandgirlapartment,,,,,
DUv6Hefgpjs,https://www.instagram.com/reel/DUv6Hefgpjs/,not_your_basic_build,2026-02-14T18:34:43.352000+00:00,False,,222.2,12600000,views,11.3565,0.8333,True,974000,embed_reel,12.9363,4_VIRAL,251739,895,0.02,1,underground-house,unusual_home,whole_home,other,none,other × whole_home,curiosity,code,curiosity,False,I Built a Secret Underground Bunker Alone Ever wondered what's hidden beneath a simple backyard?,other,mediterranean,curiosity,ai_generated,aspirational_realistic
DMPZzYxNF_b,https://www.instagram.com/reel/DMPZzYxNF_b/,insmultiverse,2025-07-18T07:25:30.555000+00:00,False,,433.7,604000,views,11.2792,1.0,True,79000,embed_reel,7.6456,4_VIRAL,26466,2640,0.0438,1,future-houses-2050,future_arch,whole_home,futuristic,none,futuristic × whole_home,choice,code,choice,False,Which house would you pick to live in?,whole_home,cozy_rustic,choice,ai_generated,stylized_dreamy
C2N6luRLzhO,https://www.instagram.com/reel/C2N6luRLzhO/,anderalencar,2024-01-17T22:02:51.003000+00:00,False,,981.1,4200000,views,11.1851,1.0,True,478000,embed_reel,8.7866,4_VIRAL,54499,455,0.013,1,ai-architecture,ai,whole_home,other,none,other × whole_home,descriptive,code,descriptive,False,MDJ House Visualization | @anderalencar Project | @mssm.associates + @rsigroup Location | Indonesia Soft,whole_home,biophilic,descriptive,3d_render,aspirational_realistic
C24_SYQxzLT,https://www.instagram.com/reel/C24_SYQxzLT/,astralserenity,2024-02-03T15:31:14.554000+00:00,False,,964.4,7200000,views,10.9256,0.9167,True,222000,embed_reel,32.4324,5_EXTREME_OUTLIER,384044,12161,0.0533,2,dream-bedroom;dream-bedrooms,luxury_room,bedroom,other,mountain_snow,other × bedroom,choice,code,descriptive,False,Choose a bedroom 🌟 #reels #fyp #rain #snow #dark #mystery,bedroom,cozy_rustic,choice,ai_generated,stylized_dreamy
DQX8TJxD0km,https://www.instagram.com/reel/DQX8TJxD0km/,divaa.finds,2025-10-29T01:06:26.619000+00:00,False,,331.0,4600000,views,10.7226,0.8333,True,764000,embed_reel,6.0209,4_VIRAL,332195,633,0.0722,1,cozy-bedroom-ideas,cozy_ambience,bedroom,cozy_rustic,none,cozy_rustic × bedroom,descriptive,code,aspirational,False,"My cozy neutral room 🤍 Soft lighting, fluffy bedding, and calm neutral tones — everything about this space feels peacefu",bedroom,modern_luxury,descriptive,real_footage,real_existing
DZqhf_pAUW6,https://www.instagram.com/reel/DZqhf_pAUW6/,relaxationreflections_,2026-06-16T23:00:23.083000+00:00,False,,100.0,6000000,views,10.6857,0.8333,True,12000,embed_reel,500.0,5_EXTREME_OUTLIER,219912,569,0.0367,1,rain-cozy,cozy_ambience,other,cozy_rustic,rain,cozy_rustic × other,question,code,question,False,Still awake?,bedroom,cozy_rustic,question,ai_generated,stylized_dreamy
DE7Rnh-vZQf,https://www.instagram.com/reel/DE7Rnh-vZQf/,siriorsinterior,2025-01-17T12:09:24.950000+00:00,False,,615.5,3700000,views,10.6322,0.8333,True,547000,embed_reel,6.7642,4_VIRAL,57039,291,0.0154,1,luxury-bedroom,luxury_room,bedroom,modern_luxury,none,modern_luxury × bedroom,descriptive,code,question,False,"Modern Luxury Bedroom ❤️✨ Kalau punya kamar tidur kayak gini, terasa nyaman ya?",bedroom,modern_luxury,descriptive,3d_render,aspirational_realistic
DJWtQMBNGl3,https://www.instagram.com/reel/DJWtQMBNGl3/,whatif.real,2025-05-07T13:55:58.043000+00:00,False,,505.4,195000,views,10.6267,0.6667,False,385000,embed_reel,0.5065,2_GOOD,6761,112,0.0347,1,cliff-house,unusual_home,whole_home,modern_luxury,cliff,modern_luxury × whole_home,aspirational,code,descriptive,False,Add someone with whom you would want to be stuck here 😏😉 .,whole_home,modern_luxury,aspirational,ai_generated,stylized_dreamy
DFJrYmZJDx7,https://www.instagram.com/reel/DFJrYmZJDx7/,quaintandsimple,2025-01-23T02:23:56.171000+00:00,False,,609.9,2800000,views,10.3704,1.0,True,26000,embed_reel,107.6923,5_EXTREME_OUTLIER,70719,464,0.0253,1,indoor-pool,pool,pool,other,mountain_snow,other × pool,aspirational,code,descriptive,False,Many of our evenings look like this even in the dead of winter.,pool,cozy_rustic,aspirational,real_footage,real_existing
DQ2vN1BCCZn,https://www.instagram.com/reel/DQ2vN1BCCZn/,luxuryhouseview,2025-11-10T00:08:34.651000+00:00,False,,319.0,2900000,views,10.0173,0.9167,True,389000,embed_reel,7.455,4_VIRAL,211034,308,0.0728,1,futuristic-interior,future_arch,other,futuristic,none,futuristic × other,fantasy,code,aspirational,False,"Sukoon under the stars — where dreams meet the galaxy."" 🌌🪐💫✨ #GalaxyHome #FuturisticLiving #LuxuryVibes #StarryNights #M",bedroom,futuristic,fantasy,ai_generated,stylized_dreamy
