shortcode,url,handle,posted_at_utc,is_new,topics,views,topic_index,followers,vpf,tier,hook,hook_source,kw_room,kw_style,kw_setting,caption_first_line,principle_own_words,pillar_fit,test_idea,similarity_risk,decision
DQostfIDLYr,https://www.instagram.com/reel/DQostfIDLYr/,siyad_abdali,2025-11-04T13:17:19.081000+00:00,False,cozy-winter-cabin,5100000,29.9296,4000000,1.275,2_GOOD,descriptive,code,whole_home,cozy_rustic,mountain_snow,"Cozy Cabin on a Snowy Day | Reading, Music & Peaceful Alone Time 🕯📖🎶",,,,,
DP0eKr0joHI,https://www.instagram.com/reel/DP0eKr0joHI/,ghstudio._,2025-10-15T06:29:43.490000+00:00,False,house-in-the-forest,19700000,29.2719,928000,21.2284,5_EXTREME_OUTLIER,descriptive,code,whole_home,other,forest,My Best Games Ever - 99 NIGHT IN THE FOREST | ROBLOX ANIMATION #roblox #nightintheforest,,,,,
C25OoI1IRag,https://www.instagram.com/reel/C25OoI1IRag/,homebyhyla,2024-02-03T17:45:17.123000+00:00,False,ai-home-design;ai-interior-design,28600000,29.0355,168000,170.2381,5_EXTREME_OUTLIER,descriptive,code,whole_home,other,none,Projet L🍂 .,,,,,
DNFJflNzAYj,https://www.instagram.com/reel/DNFJflNzAYj/,kerala_architectures,2025-08-08T04:21:59.028000+00:00,False,tropical-house-architecture-styles,6900000,28.9916,239000,28.8703,5_EXTREME_OUTLIER,location,code,whole_home,tropical,none,🏡 Tropical Modern Bliss in the Heart of Kerala 🌴✨ This stunning 4BHK home is a perfect blend of minimal design and Keral,,,,,
C9z7ny9syhE,https://www.instagram.com/reel/C9z7ny9syhE/,reschio,2024-07-24T16:02:46.228000+00:00,False,luxury-pool,18800000,27.8932,2000000,9.4,4_VIRAL,descriptive,code,pool,modern_luxury,none,"In the intense summer heat, Reschio remains an oasis of serenity.",,,,,
DI9Q70Uo8fB,https://www.instagram.com/reel/DI9Q70Uo8fB/,luxuriatetouche,2025-04-27T16:47:30.306000+00:00,False,ultra-modern-luxury-house-design,9700000,25.0646,4000000,2.425,3_VERY_GOOD,descriptive,code,bedroom,modern_luxury,none,Luxury modern house exterior design 🏠 #lightingdesign #lightingdecor #lighting #lightdesign #livingarea #livingspace #be,,,,,
DOvkVSNCDEW,https://www.instagram.com/reel/DOvkVSNCDEW/,soothenests,2025-09-18T12:16:00.243000+00:00,False,ai-cozy-cabin,8100000,24.0713,2000000,4.05,3_VERY_GOOD,aspirational,code,whole_home,cozy_rustic,rain,Snuggled Up & Storm Watching: The Perfect Cozy Cabin,,,,,
C1GMtBitz8c,https://www.instagram.com/reel/C1GMtBitz8c/,nicolemsunderland,2023-12-21T01:35:48.894000+00:00,False,overwater-villa,21000000,23.6353,,,,descriptive,heuristic,whole_home,other,ocean_beach,Best overwater villas 🥰🤯 #passportbyforbes #mydomainetravels #Tastemademedoit #iamatraveler #forbestravelguide,,,,,
DS_uPLMlNwQ,https://www.instagram.com/reel/DS_uPLMlNwQ/,calm_neststudio,2026-01-02T04:55:58.578000+00:00,False,cozy-rain;rain-cozy,13100000,23.3304,156000,83.9744,5_EXTREME_OUTLIER,descriptive,code,other,cozy_rustic,rain,"Relaxing Gentle Rain, for longer rain videos on my Youtube #sleepingrain #asmrain #relaxingrainforsleep #relaxingforslee",,,,,
C-ks822KeDg,https://www.instagram.com/reel/C-ks822KeDg/,abdullahaslanoglu_,2024-08-12T14:37:21.605000+00:00,False,modern-villa,10200000,22.3195,68000,150.0,5_EXTREME_OUTLIER,descriptive,code,whole_home,modern_luxury,none,Modernism touched by light 💥 @abdullahaslanoglu_ #REKLAM #building #buildingdesign #3dbuilding #design #bina #binatasarı,,,,,
DUtCMyYEVvs,https://www.instagram.com/reel/DUtCMyYEVvs/,sagephillipshome,2026-02-13T15:47:37.865000+00:00,False,organic-modern,3000000,21.5208,563000,5.3286,4_VIRAL,instructional,code,other,biophilic,none,I'm telling you… brown bedding is the move.,,,,,
CpkH2qfguh_,https://www.instagram.com/reel/CpkH2qfguh_/,gabscanu,2023-03-09T10:13:55.608000+00:00,False,overwater-villa,17100000,19.2459,505000,33.8614,5_EXTREME_OUTLIER,question,code,whole_home,other,ocean_beach,Is this the ultimate villa/playground?,,,,,
DPT0PbTEwtD,https://www.instagram.com/reel/DPT0PbTEwtD/,sunt_mrr,2025-10-02T14:07:40.415000+00:00,False,overwater-villa;underwater-hotel,4700000,18.3989,2000000,2.35,3_VERY_GOOD,fantasy,code,whole_home,modern_luxury,underwater,Dream underwater villa .,,,,,
DXMw4QLjB35,https://www.instagram.com/reel/DXMw4QLjB35/,lena_nichi_art,2026-04-16T16:34:45.872000+00:00,False,ai-cozy-cabin,6000000,17.8306,203000,29.5567,5_EXTREME_OUTLIER,question,code,whole_home,cozy_rustic,none,Would you dare spend the night here?,,,,,
DOExDYCiEYm,https://www.instagram.com/reel/DOExDYCiEYm/,luxuryhouseview,2025-09-01T21:19:48.702000+00:00,False,futuristic-home;luxury-house;luxury-penthouse;modern-luxury-house-interiors,4700000,16.7558,389000,12.0823,4_VIRAL,descriptive,code,whole_home,futuristic,none,ULTRA Luxury House Interior Design💎✨☄️ #luxuryhouseview #luxury #Home #miamistad #miamilife #miamivice #travel #fyp #hig,,,,,
DXC3fVijoEN,https://www.instagram.com/reel/DXC3fVijoEN/,elitebuildhq,2026-04-12T20:20:07.454000+00:00,False,underground-house,17300000,15.5926,2000000,8.65,4_VIRAL,curiosity,code,whole_home,futuristic,none,The Ultimate Secret Underground Oasis 🌊💎 .,,,,,
DX46CqWjZej,https://www.instagram.com/reel/DX46CqWjZej/,imtiazsahib33,2026-05-03T20:01:24.742000+00:00,False,underground-house,16600000,14.9617,120000,138.3333,5_EXTREME_OUTLIER,curiosity,code,whole_home,other,none,Building a SECRET Underground Room Under My Lawn!,,,,,
C0ewp4eRrH8,https://www.instagram.com/reel/C0ewp4eRrH8/,ryanknoch,2023-12-05T18:00:20.245000+00:00,False,modern-luxury-house-interiors,7800000,14.8008,,,,aspirational,heuristic,whole_home,modern_luxury,desert,"🔥A masterful expression of desert modern living, this new architectural luxurious home with outstanding",,,,,
DR93ufJDfjx,https://www.instagram.com/reel/DR93ufJDfjx/,serenecabin,2025-12-07T15:09:01.163000+00:00,False,cozy-winter-cabin;luxury-cabin,2500000,14.6714,84000,29.7619,5_EXTREME_OUTLIER,aspirational,code,whole_home,cozy_rustic,mountain_snow,The Alchemy of Atmosphere: Crafting Cabin Serenity ✨ #cozycabin #relaxation #heavysnowfall,,,,,
DNisARex_K2,https://www.instagram.com/reel/DNisARex_K2/,theimagehs,2025-08-19T15:41:31.158000+00:00,False,midjourney-architecture,5600000,13.5429,137000,40.8759,5_EXTREME_OUTLIER,fantasy,code,whole_home,futuristic,none,"Unlikely future part 3 Tools; @midjourney, @magnific_ai, @hailuoai_official, @topazlabs #freepikai #freepik #scifi #midj",,,,,
CyGpI71u_QA,https://www.instagram.com/reel/CyGpI71u_QA/,jiqbalrealtor,2023-10-07T16:10:06.660000+00:00,False,luxury-penthouse,19500000,13.0,110000,177.2727,5_EXTREME_OUTLIER,aspirational,code,whole_home,modern_luxury,none,your dreamy nyc penthouse✨🌆 Follow @jiqbalrealtor for more content!,,,,,
C6rOLbLriyx,https://www.instagram.com/reel/C6rOLbLriyx/,iz__designs,2024-05-07T17:17:34.448000+00:00,False,ai-interior-design,21900000,12.7363,109000,200.9174,5_EXTREME_OUTLIER,descriptive,code,living_room,other,none,New reel for livingroom Design & Render : @iz__designs Tell me What your thoughts,,,,,
DUbXaywiEol,https://www.instagram.com/reel/DUbXaywiEol/,ell.glamhome,2026-02-06T19:06:42.874000+00:00,False,dream-bedroom;dream-room,8200000,12.4431,1000000,8.2,4_VIRAL,curiosity,code,bedroom,other,none,When 🦋 meet 🌸 #bedroom #bedroomideas #bedroomdesign There is a tiny line between dreams and reallity,,,,,
C3S6d8-RtGv,https://www.instagram.com/reel/C3S6d8-RtGv/,greenitecture,2024-02-13T17:09:23.157000+00:00,False,tropical-house,2800000,12.2807,341000,8.2111,4_VIRAL,aspirational,code,whole_home,tropical,jungle,🌱 Relax at this jungle oasis!,,,,,
C-RyNNZMIaO,https://www.instagram.com/reel/C-RyNNZMIaO/,cozyzen.ai,2024-08-05T06:17:42.795000+00:00,False,ai-cozy-cabin,4100000,12.1842,498000,8.2329,4_VIRAL,fantasy,code,bedroom,cozy_rustic,mountain_snow,"Alone in a mountain cave cabin, enjoying the rain and warmth from bed.",,,,,
Ckw-qi6pNFX,https://www.instagram.com/reel/Ckw-qi6pNFX/,yesiinna,2022-11-10T03:26:47.118000+00:00,False,cozy-bedroom-ideas,5200000,12.1212,64000,81.25,5_EXTREME_OUTLIER,aspirational,code,bedroom,cozy_rustic,none,"Maybe, true happiness is when we are happy with ourselves.",,,,,
DB_v0uWR06c,https://www.instagram.com/reel/DB_v0uWR06c/,starlight_retreats,2024-11-05T16:16:08.453000+00:00,False,luxury-cabin,5400000,11.6631,,,,fantasy,heuristic,whole_home,cozy_rustic,none,"Imagine a cozy cabin just for us, surrounded by nature and filled with little touches to make our getaway unforgettable.",,,,,
DUiv0Xige1Z,https://www.instagram.com/reel/DUiv0Xige1Z/,luxurydreamhub,2026-02-09T15:54:36.318000+00:00,False,dream-bedrooms;luxury-bedroom,4000000,11.4943,1000000,4.0,3_VERY_GOOD,aspirational,code,bedroom,modern_luxury,none,Sweet lavender dreams and ethereal glows.,,,,,
DbXmQ4LqfbJ,https://www.instagram.com/reel/DbXmQ4LqfbJ/,eloisepreen,2026-07-29T07:39:13.776000+00:00,False,art-deco-interior-design,3500000,11.4566,,,,descriptive,heuristic,whole_home,art_deco,none,my colourful mid century modern home 🏡🎨🪴 #apartmentaesthetic #midcenturymodern #interiordesign #fyp #boyandgirlapartment,,,,,
DUv6Hefgpjs,https://www.instagram.com/reel/DUv6Hefgpjs/,not_your_basic_build,2026-02-14T18:34:43.352000+00:00,False,underground-house,12600000,11.3565,974000,12.9363,4_VIRAL,curiosity,code,whole_home,other,none,I Built a Secret Underground Bunker Alone Ever wondered what's hidden beneath a simple backyard?,,,,,
DMPZzYxNF_b,https://www.instagram.com/reel/DMPZzYxNF_b/,insmultiverse,2025-07-18T07:25:30.555000+00:00,False,future-houses-2050,604000,11.2792,79000,7.6456,4_VIRAL,choice,code,whole_home,futuristic,none,Which house would you pick to live in?,,,,,
C2N6luRLzhO,https://www.instagram.com/reel/C2N6luRLzhO/,anderalencar,2024-01-17T22:02:51.003000+00:00,False,ai-architecture,4200000,11.1851,478000,8.7866,4_VIRAL,descriptive,code,whole_home,other,none,MDJ House Visualization | @anderalencar Project | @mssm.associates + @rsigroup Location | Indonesia Soft,,,,,
C24_SYQxzLT,https://www.instagram.com/reel/C24_SYQxzLT/,astralserenity,2024-02-03T15:31:14.554000+00:00,False,dream-bedroom;dream-bedrooms,7200000,10.9256,222000,32.4324,5_EXTREME_OUTLIER,choice,code,bedroom,other,mountain_snow,Choose a bedroom 🌟 #reels #fyp #rain #snow #dark #mystery,,,,,
DQX8TJxD0km,https://www.instagram.com/reel/DQX8TJxD0km/,divaa.finds,2025-10-29T01:06:26.619000+00:00,False,cozy-bedroom-ideas,4600000,10.7226,764000,6.0209,4_VIRAL,descriptive,code,bedroom,cozy_rustic,none,"My cozy neutral room 🤍 Soft lighting, fluffy bedding, and calm neutral tones — everything about this space feels peacefu",,,,,
DZqhf_pAUW6,https://www.instagram.com/reel/DZqhf_pAUW6/,relaxationreflections_,2026-06-16T23:00:23.083000+00:00,False,rain-cozy,6000000,10.6857,12000,500.0,5_EXTREME_OUTLIER,question,code,other,cozy_rustic,rain,Still awake?,,,,,
DE7Rnh-vZQf,https://www.instagram.com/reel/DE7Rnh-vZQf/,siriorsinterior,2025-01-17T12:09:24.950000+00:00,False,luxury-bedroom,3700000,10.6322,547000,6.7642,4_VIRAL,descriptive,code,bedroom,modern_luxury,none,"Modern Luxury Bedroom ❤️✨ Kalau punya kamar tidur kayak gini, terasa nyaman ya?",,,,,
DJWtQMBNGl3,https://www.instagram.com/reel/DJWtQMBNGl3/,whatif.real,2025-05-07T13:55:58.043000+00:00,False,cliff-house,195000,10.6267,385000,0.5065,2_GOOD,aspirational,code,whole_home,modern_luxury,cliff,Add someone with whom you would want to be stuck here 😏😉 .,,,,,
DFJrYmZJDx7,https://www.instagram.com/reel/DFJrYmZJDx7/,quaintandsimple,2025-01-23T02:23:56.171000+00:00,False,indoor-pool,2800000,10.3704,26000,107.6923,5_EXTREME_OUTLIER,aspirational,code,pool,other,mountain_snow,Many of our evenings look like this even in the dead of winter.,,,,,
DQ2vN1BCCZn,https://www.instagram.com/reel/DQ2vN1BCCZn/,luxuryhouseview,2025-11-10T00:08:34.651000+00:00,False,futuristic-interior,2900000,10.0173,389000,7.455,4_VIRAL,fantasy,code,other,futuristic,none,"Sukoon under the stars — where dreams meet the galaxy."" 🌌🪐💫✨ #GalaxyHome #FuturisticLiving #LuxuryVibes #StarryNights #M",,,,,
C_fqAjaMNIJ,https://www.instagram.com/reel/C_fqAjaMNIJ/,sunt_mrr,2024-09-04T12:06:50.509000+00:00,False,ai-generated-house;futuristic-houses,5400000,9.863,2000000,2.7,3_VERY_GOOD,fantasy,code,whole_home,futuristic,none,Musician Dream House .,,,,,
Ca4-MsKpA1D,https://www.instagram.com/reel/Ca4-MsKpA1D/,worldtraveladventurers,2022-03-09T16:42:41.518000+00:00,False,underwater-hotel,2400000,9.3952,216000,11.1111,4_VIRAL,curiosity,code,whole_home,other,underwater,"The Muraka is the most unique hotel villa we've ever seen, submersed 16 feet under",,,,,
DPBFz4YgeQF,https://www.instagram.com/reel/DPBFz4YgeQF/,luxurydreamhub,2025-09-25T07:35:37.738000+00:00,False,futuristic-interior,2700000,9.3264,1000000,2.7,3_VERY_GOOD,aspirational,code,other,futuristic,none,Living the grand life!,,,,,
